#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,obs_title,t_obs_release,objID,s_region,jpegURL,obsid,distance
image,HST,ACS/WFC,HLA,F814W,OPTICAL,NGC-1898,,hst_13435_05_acs_wfc_f814w,78.8943477809519,-69.6776914874906,13435,Monelli,3,56667.91429,56667.92334,600,,57033.14395,2014960534,POLYGON J2000 78.95369430 -69.71886720 78.99278940 -69.69367660 78.99198488 -69.69350052 78.99249511 -69.69316521 78.99255230 -69.69317810 79.02971990 -69.66871990 78.89459380 -69.63817080 78.89385069 -69.63865852 78.89379370 -69.63864560 78.85652240 -69.66307510 78.85657935 -69.66308802 78.96064920 -69.68663725 78.85478060 -69.66337520 78.85402641 -69.66385987 78.85397750 -69.66384910 78.81477270 -69.68900870 78.81482169 -69.68901949 78.95289140 -69.71934140 78.95364510 -69.71885643 78.95369430 -69.71886720,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13435_05_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004580441,2349.83011623801
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-1898,GLOBULAR CLUSTER;STELLAR CLUSTER,JCB005010,78.92835385628,-69.67559333514,13435,MONELLI,3,56667.91429,56667.92334,600,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.14395,2012947669,POLYGON 78.893768 -69.63817386 78.81355234 -69.68851699 78.95257811 -69.71863068 79.02708128 -69.66874724 78.893768 -69.63817386 78.893768 -69.63817386,http://archive.stsci.edu/hst/previews/JCB0/JCB005010_256.jpg,2003882305,2353.08170582333
image,HST,ACS/WFC,HLA,F555W,OPTICAL,NGC1953,,hst_9891_65_acs_wfc_f555w,81.4057466129116,-68.8416065939863,9891,Gilmore,3,52919.6866,52919.68794,115,,53102.79753,2014989765,POLYGON J2000 81.30342380 -68.86055810 81.37751980 -68.86769430 81.43073440 -68.81504350 81.35679700 -68.80793040 81.30342380 -68.86055810 POLYGON J2000 81.38017440 -68.86837680 81.45672220 -68.87593450 81.50841660 -68.82238250 81.43203580 -68.81484800 81.38017440 -68.86837680,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9891_65_acs_wfc_f555w&size=ALL&format=jpeg&output_size=256,2004609672,3248.4603174349
image,HST,ACS/WFC,HLA,F814W,OPTICAL,NGC1953,,hst_9891_65_acs_wfc_f814w,81.4058481085509,-68.8415875428109,9891,Gilmore,3,52919.69403,52919.69508,90,,53102.81765,2014989766,POLYGON J2000 81.30352880 -68.86053790 81.37762210 -68.86767340 81.43083740 -68.81502560 81.35690260 -68.80791340 81.30352880 -68.86053790 POLYGON J2000 81.45681970 -68.87591380 81.50851330 -68.82236440 81.43213630 -68.81483070 81.38027570 -68.86835680 81.45681970 -68.87591380,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9891_65_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004609673,3248.56041857845
image,HST,ACS/WFC,HLA,F814W,OPTICAL,ANY,,hst_12941_06_acs_wfc_f814w,83.4063799232877,-68.8786392391166,12941,Stephens,3,56232.67728,56232.84192,4190,,56598.02828,2014956418,POLYGON J2000 83.30582500 -68.86322050 83.30690135 -68.86358231 83.30497920 -68.86420300 83.36112540 -68.88305100 83.36114116 -68.88304591 83.36221620 -68.88340630 83.36412278 -68.88279001 83.37516729 -68.87921888 83.36341480 -68.88312240 83.36445893 -68.88347779 83.36257000 -68.88410500 83.42034260 -68.90374210 83.42036656 -68.90373414 83.42143650 -68.90409730 83.42330149 -68.90347741 83.53697790 -68.86558920 83.53486215 -68.86487250 83.53672090 -68.86425130 83.47894790 -68.84465360 83.47644895 -68.84548791 83.47565327 -68.84522171 83.47755330 -68.84460420 83.42140530 -68.82579450 83.30582500 -68.86322050,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_06_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004576325,4440.11227610557
image,HST,ACS/WFC,HLA,F555W,OPTICAL,ANY,,hst_12941_06_acs_wfc_f555w,83.421025446931,-68.8644924415337,12941,Stephens,3,56232.70302,56232.74943,1785,,56597.82892,2014956416,POLYGON J2000 83.53685220 -68.86491980 83.47907510 -68.84532100 83.36353550 -68.88379200 83.42131070 -68.90343000 83.53685220 -68.86491980 POLYGON J2000 83.36208920 -68.88273820 83.47767870 -68.84527120 83.42152770 -68.82646060 83.30594150 -68.86388940 83.36208920 -68.88273820,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_06_acs_wfc_f555w&size=ALL&format=jpeg&output_size=256,2004576323,4441.79297976749
image,HST,WFC3/UVIS,HLA,F814W,OPTICAL,053342.2-684602.8,,hst_12941_06_wfc3_uvis_f814w,83.4049366021412,-68.7608411298481,12941,Stephens,3,56232.68944,56232.77495,2666,,56597.8761,2014956425,POLYGON J2000 83.36332244 -68.76216699 83.36331080 -68.76283260 83.36338262 -68.76283441 83.36294120 -68.78412910 83.36307740 -68.78413285 83.36306360 -68.78479810 83.36320020 -68.78480186 83.36318640 -68.78546720 83.48741920 -68.78883780 83.48775860 -68.76641870 83.48762134 -68.76641502 83.48762885 -68.76591813 83.48816330 -68.76593120 83.48843270 -68.74324300 83.48829760 -68.74323969 83.48830550 -68.74257410 83.48817200 -68.74257083 83.48817990 -68.74190520 83.36373044 -68.73881346 83.36346230 -68.73880670 83.36306560 -68.76149450 83.36319965 -68.76149788 83.36318800 -68.76216360 83.36332244 -68.76216699,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_06_wfc3_uvis_f814w&size=ALL&format=jpeg&output_size=256,2004576332,4703.05764816869
image,HST,WFC3/UVIS,HLA,F555W,OPTICAL,053342.2-684602.8,,hst_12941_06_wfc3_uvis_f555w,83.4359268697598,-68.7658442403336,12941,Stephens,3,56232.67664,56232.756,1193,,56597.82921,2014956423,POLYGON J2000 83.36307480 -68.78479390 83.36321163 -68.78479767 83.36319790 -68.78546300 83.48741600 -68.78883530 83.48743603 -68.78750480 83.48775320 -68.76641700 83.48761620 -68.76641333 83.48762366 -68.76591694 83.48815810 -68.76593000 83.48816800 -68.76509698 83.48817392 -68.76459876 83.48842750 -68.74324320 83.48829260 -68.74323990 83.48830050 -68.74257420 83.48816729 -68.74257094 83.48817520 -68.74190520 83.36346700 -68.73880770 83.36307030 -68.76149440 83.36320455 -68.76149778 83.36319290 -68.76216350 83.36332754 -68.76216689 83.36331590 -68.76283250 83.36339146 -68.76283440 83.36295220 -68.78412490 83.36308853 -68.78412865 83.36307480 -68.78479390,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12941_06_wfc3_uvis_f555w&size=ALL&format=jpeg&output_size=256,2004576330,4703.07889100044
image,HST,WFC3/UVIS,DADS,F555W,OPTICAL,053342.2-684602.8,EXT-STAR;YSO,IC2O06040,83.425625,-68.76744444444,12941,STEPHENS,3,56232.67664,56232.756,1193,Probing Isolated Massive Star Formation in the LMC,56597.82921,2012918915,POLYGON 83.48909214 -68.74304717 83.36392409 -68.7400317 83.36368271 -68.78537659 83.48758498 -68.78887842 83.48909214 -68.74304717 83.48909214 -68.74304717,http://archive.stsci.edu/hst/previews/IC2O/IC2O06040_256.jpg,2003853551,4703.7277081012
image,HST,WFC3/UVIS,DADS,F814W,OPTICAL,053342.2-684602.8,EXT-STAR;YSO,IC2O06060,83.425625,-68.76744444444,12941,STEPHENS,3,56232.68944,56232.77495,2666,Probing Isolated Massive Star Formation in the LMC,56597.8761,2012918917,POLYGON 83.48909235 -68.74304724 83.36392433 -68.74003162 83.36368252 -68.78537651 83.48758475 -68.78887849 83.48909235 -68.74304724 83.48909235 -68.74304724,http://archive.stsci.edu/hst/previews/IC2O/IC2O06060_256.jpg,2003853553,4703.72776372471
image,HST,WFC3/UVIS,DADS,F555W,OPTICAL,DEML249,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,ICCO07020,84.03083333333,-70.64501666667,13282,CHU,3,56705.95591,56706.01164,1170,A Search for Surviving Companions of Type Ia Supernovae in the Large Magellanic Cloud,57071.18795,2012921594,POLYGON 83.99337042 -70.6165997 83.93846957 -70.65770188 84.06834644 -70.67345078 84.1222079 -70.63162076 83.99337042 -70.6165997 83.99337042 -70.6165997,http://archive.stsci.edu/hst/previews/ICCO/ICCO07020_256.jpg,2003856230,4890.37386166067
