#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,obs_title,t_obs_release,objID,s_region,jpegURL,obsid,distance
image,HST,ACS/WFC,DADS,F814W,OPTICAL,SMCJ005257-725714,GALAXY;UNDESIGNATED,J90606010,13.24125,-73.06208333333,10126,OLSZEWSKI,3,53322.00632,53322.01845,560,The 3-D Shape of the SMC: Is It Tidally Distorted?,53687.01141,2012931746,POLYGON 13.33952589 -73.06649363 13.18578546 -73.03371555 13.13556579 -73.05749198 13.29303427 -73.09019008 13.33952589 -73.06649363 13.33952589 -73.06649363,http://archive.stsci.edu/hst/previews/J906/J90606010_256.jpg,2003866382,738.42397724902
image,HST,ACS/WFC,DADS,F555W,OPTICAL,SMCJ005257-725714,GALAXY;UNDESIGNATED,J90606020,13.24125,-73.06208333333,10126,OLSZEWSKI,3,53321.99215,53322.00428,560,The 3-D Shape of the SMC: Is It Tidally Distorted?,53686.99725,2012931747,POLYGON 13.33952589 -73.06649363 13.18578546 -73.03371555 13.13556579 -73.05749198 13.29303427 -73.09019008 13.33952589 -73.06649363 13.33952589 -73.06649363,http://archive.stsci.edu/hst/previews/J906/J90606020_256.jpg,2003866383,738.42397724902
image,HST,ACS/WFC,HLA,F435W,OPTICAL,SMCJ005257-725714,,hst_10126_06_acs_wfc_f435w,13.2157065230305,-73.0744541875274,10126,Olszewski,3,53321.98493,53321.99003,440,,53687.753,2014881258,POLYGON J2000 13.29512410 -73.09036080 13.34347740 -73.06655550 13.18754190 -73.03377550 13.13906690 -73.05754400 13.29512410 -73.09036080 POLYGON J2000 13.08498220 -73.08274100 13.24452350 -73.11536750 13.29532880 -73.09086540 13.13591640 -73.05827820 13.08498220 -73.08274100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10126_06_acs_wfc_f435w&size=ALL&format=jpeg&output_size=256,2004501165,738.639997337739
image,HST,ACS/WFC,HLA,F555W,OPTICAL,SMCJ005257-725714,,hst_10126_06_acs_wfc_f555w,13.2157059800105,-73.0744546866384,10126,Olszewski,3,53321.99215,53322.00428,560,,53686.99725,2014881259,POLYGON J2000 13.24452090 -73.11536690 13.29532600 -73.09086520 13.13591890 -73.05827880 13.08498500 -73.08274120 13.24452090 -73.11536690 POLYGON J2000 13.18754460 -73.03377780 13.13907000 -73.05754560 13.29511930 -73.09036050 13.34347230 -73.06655600 13.18754460 -73.03377780,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10126_06_acs_wfc_f555w&size=ALL&format=jpeg&output_size=256,2004501166,738.648281393067
image,HST,ACS/WFC,HLA,F814W,OPTICAL,SMCJ005257-725714,,hst_10126_06_acs_wfc_f814w,13.2157040123497,-73.0744552104216,10126,Olszewski,3,53322.00632,53322.01845,560,,53687.01141,2014881260,POLYGON J2000 13.24451780 -73.11536560 13.29531870 -73.09086520 13.13592210 -73.05828020 13.08499220 -73.08274110 13.24451780 -73.11536560 POLYGON J2000 13.29511110 -73.09036060 13.34346020 -73.06655700 13.18754480 -73.03377970 13.13907410 -73.05754650 13.29511110 -73.09036060,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10126_06_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004501167,738.655121814478
image,HST,ACS/WFC,HLA,F814W,OPTICAL,ANY,,hst_13009_61_acs_wfc_f814w,13.2241672078695,-73.0751422829575,13009,De Marchi,3,56409.16964,56409.17367,347,,56774.30688,2014957466,POLYGON J2000 13.16527050 -73.03706540 13.13420110 -73.06420320 13.31436040 -73.08576410 13.34518790 -73.05859920 13.16527050 -73.03706540 POLYGON J2000 13.10533440 -73.09097600 13.28263010 -73.11300280 13.31183710 -73.08668250 13.13477200 -73.06468090 13.10533440 -73.09097600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13009_61_acs_wfc_f814w&size=ALL&format=jpeg&output_size=256,2004577373,750.821556197756
image,HST,ACS/WFC,HLA,F606W,OPTICAL,ANY,,hst_13009_61_acs_wfc_f606w,13.2242887261557,-73.0751877594561,13009,De Marchi,3,56409.10491,56409.10608,100,,56774.17168,2014957464,POLYGON J2000 13.34531720 -73.05864370 13.16538960 -73.03710970 13.13431780 -73.06424870 13.31448740 -73.08580970 13.34531720 -73.05864370 POLYGON J2000 13.10544870 -73.09102240 13.28275400 -73.11304940 13.31196280 -73.08672800 13.13488810 -73.06472630 13.10544870 -73.09102240,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13009_61_acs_wfc_f606w&size=ALL&format=jpeg&output_size=256,2004577371,750.977198507937
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_9w_acs_wfc_f475w,14.3788795561019,-72.8935032953788,9488,Ratnatunga,3,52546.80425,52546.833,2191,,52547.59213,2014981048,POLYGON J2000 14.45455090 -72.86267320 14.26547450 -72.86885160 14.28403300 -72.89596140 14.47339340 -72.88976560 14.45455090 -72.86267320 POLYGON J2000 14.28339970 -72.89712110 14.30193150 -72.92520580 14.49352990 -72.91816680 14.47470050 -72.89009960 14.28339970 -72.89712110,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_9w_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004600955,1155.15179954212
image,HST,ACS/WFC,HLA,F475W,OPTICAL,HIGH-GALACTIC-LATITUDE,,hst_9488_a8_acs_wfc_f475w,13.6707558232692,-72.3291965987001,9488,Ratnatunga,3,52649.85738,52649.88138,1800,,52651.00003,2014981070,POLYGON J2000 13.67419720 -72.30090080 13.58012710 -72.30165520 13.57203810 -72.35830980 13.66640100 -72.35755920 13.67419720 -72.30090080 POLYGON J2000 13.75888550 -72.35625700 13.76876690 -72.30029080 13.67785950 -72.30127450 13.66769840 -72.35723610 13.75888550 -72.35625700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_9488_a8_acs_wfc_f475w&size=ALL&format=jpeg&output_size=256,2004600977,1743.19975925585
image,HST,ACS/WFC,HLA,F606W,OPTICAL,ANY,,hst_13009_71_acs_wfc_f606w,14.8230687766383,-72.4231164029398,13009,De Marchi,3,56505.71182,56505.71299,100,,56870.91463,2014957470,POLYGON J2000 14.87788020 -72.45836770 14.94898680 -72.40587980 14.85914220 -72.39690230 14.78781080 -72.44935800 14.87788020 -72.45836770 POLYGON J2000 14.77058220 -72.38855230 14.69757480 -72.44007280 14.78477100 -72.44862180 14.85756540 -72.39706950 14.77058220 -72.38855230,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_13009_71_acs_wfc_f606w&size=ALL&format=jpeg&output_size=256,2004577377,2143.5366288013
