instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs filename
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20fxq_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20fyq_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20fzq_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20g0q_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20g1q_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20g2q_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20g3q_flt.fits
ACS HRC 10832 MACHO-LMC-25 75.566083 -68.015306 CLEAR1S F814W Patten 300 2006-11-07 added/lmc/ACS/10832_NGC1806/j9pb20g4q_flt.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F435W Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605qyq_flc.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F435W Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605qyq_flt.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F435W Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605qyq_raw.fits
ACS WFC 10126 K-29 12.971667 -72.954028 F555W CLEAR2L Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605qzq_flc.fits
ACS WFC 10126 K-29 12.971667 -72.954028 F555W CLEAR2L Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605qzq_flt.fits
ACS WFC 10126 K-29 12.971667 -72.954028 F555W CLEAR2L Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605qzq_raw.fits
ACS WFC 10126 K-29 12.971667 -72.954028 F555W CLEAR2L Olszewski 120 2004-09-02 added/smc/ACS/10126_K-29/j90605r2q_flc.fits
ACS WFC 10126 K-29 12.971667 -72.954028 F555W CLEAR2L Olszewski 120 2004-09-02 added/smc/ACS/10126_K-29/j90605r2q_flt.fits
ACS WFC 10126 K-29 12.971667 -72.954028 F555W CLEAR2L Olszewski 120 2004-09-02 added/smc/ACS/10126_K-29/j90605r2q_raw.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F814W Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605r3q_flc.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F814W Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605r3q_flt.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F814W Olszewski 440 2004-09-02 added/smc/ACS/10126_K-29/j90605r3q_raw.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F814W Olszewski 120 2004-09-02 added/smc/ACS/10126_K-29/j90605r6q_flc.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F814W Olszewski 120 2004-09-02 added/smc/ACS/10126_K-29/j90605r6q_flt.fits
ACS WFC 10126 K-29 12.971667 -72.954028 CLEAR1L F814W Olszewski 120 2004-09-02 added/smc/ACS/10126_K-29/j90605r6q_raw.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F435W Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601a7q_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F435W Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601a7q_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F435W Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601a7q_raw.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601a8q_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601a8q_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601a8q_raw.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 120 2004-11-08 added/smc/ACS/10126_NGC-265/j90601abq_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 120 2004-11-08 added/smc/ACS/10126_NGC-265/j90601abq_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 120 2004-11-08 added/smc/ACS/10126_NGC-265/j90601abq_raw.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601acq_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601acq_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 440 2004-11-08 added/smc/ACS/10126_NGC-265/j90601acq_raw.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 120 2004-11-08 added/smc/ACS/10126_NGC-265/j90601afq_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 120 2004-11-08 added/smc/ACS/10126_NGC-265/j90601afq_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 120 2004-11-08 added/smc/ACS/10126_NGC-265/j90601afq_raw.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F435W Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604ksq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F435W Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604ksq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F435W Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604ksq_raw.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604ktq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604ktq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604ktq_raw.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 120 2004-10-30 added/smc/ACS/10126_NGC-290/j90604kwq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 120 2004-10-30 added/smc/ACS/10126_NGC-290/j90604kwq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 120 2004-10-30 added/smc/ACS/10126_NGC-290/j90604kwq_raw.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604kxq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604kxq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 440 2004-10-30 added/smc/ACS/10126_NGC-290/j90604kxq_raw.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 120 2004-10-30 added/smc/ACS/10126_NGC-290/j90604l0q_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 120 2004-10-30 added/smc/ACS/10126_NGC-290/j90604l0q_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 120 2004-10-30 added/smc/ACS/10126_NGC-290/j90604l0q_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 35 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2feq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 35 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2feq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 35 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2ffq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 35 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2ffq_raw.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fgq_flt.fits
ACS HRC 10396 NGC419-CENTERED 17.074167 -72.884128 F555W CLEAR2S Gallagher 300 2005-04-25 added/smc/ACS/10396_NGC419-CENTERED/j961a2fgq_raw.fits
