instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs filename
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F435W Olszewski 440 2004-11-08 clusters/ACS/10126_NGC-265/j90601a7q_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F435W Olszewski 440 2004-11-08 clusters/ACS/10126_NGC-265/j90601a7q_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 440 2004-11-08 clusters/ACS/10126_NGC-265/j90601a8q_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 440 2004-11-08 clusters/ACS/10126_NGC-265/j90601a8q_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 120 2004-11-08 clusters/ACS/10126_NGC-265/j90601abq_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 F555W CLEAR2L Olszewski 120 2004-11-08 clusters/ACS/10126_NGC-265/j90601abq_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 440 2004-11-08 clusters/ACS/10126_NGC-265/j90601acq_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 440 2004-11-08 clusters/ACS/10126_NGC-265/j90601acq_flt.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 120 2004-11-08 clusters/ACS/10126_NGC-265/j90601afq_flc.fits
ACS WFC 10126 NGC-265 11.796250 -73.477806 CLEAR1L F814W Olszewski 120 2004-11-08 clusters/ACS/10126_NGC-265/j90601afq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 440 2004-10-30 clusters/ACS/10126_NGC-290/j90604ktq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 440 2004-10-30 clusters/ACS/10126_NGC-290/j90604ktq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 120 2004-10-30 clusters/ACS/10126_NGC-290/j90604kwq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 F555W CLEAR2L Olszewski 120 2004-10-30 clusters/ACS/10126_NGC-290/j90604kwq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 440 2004-10-30 clusters/ACS/10126_NGC-290/j90604kxq_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 440 2004-10-30 clusters/ACS/10126_NGC-290/j90604kxq_flt.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 120 2004-10-30 clusters/ACS/10126_NGC-290/j90604l0q_flc.fits
ACS WFC 10126 NGC-290 12.813333 -73.162194 CLEAR1L F814W Olszewski 120 2004-10-30 clusters/ACS/10126_NGC-290/j90604l0q_flt.fits
ACS WFC 10248 ANY 14.677939 -72.329355 F555W CLEAR2L Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04gsq_flc.fits
ACS WFC 10248 ANY 14.677939 -72.329355 F555W CLEAR2L Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04gsq_flt.fits
ACS WFC 10248 ANY 14.678706 -72.329631 F555W CLEAR2L Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04haq_flc.fits
ACS WFC 10248 ANY 14.678706 -72.329631 F555W CLEAR2L Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04haq_flt.fits
ACS WFC 10248 ANY 14.677796 -72.329863 CLEAR1L F814W Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04hsq_flc.fits
ACS WFC 10248 ANY 14.677796 -72.329863 CLEAR1L F814W Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04hsq_flt.fits
ACS WFC 10248 ANY 14.677030 -72.329587 F555W CLEAR2L Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04i8q_flc.fits
ACS WFC 10248 ANY 14.677030 -72.329587 F555W CLEAR2L Nota 400 2004-07-17 clusters/ACS/10248_ANY/j92f04i8q_flt.fits
ACS WFC 10248 ANY 22.317286 -73.708161 F555W CLEAR2L Nota 515 2004-07-18 clusters/ACS/10248_ANY/j92f07rhq_flc.fits
ACS WFC 10248 ANY 22.317286 -73.708161 F555W CLEAR2L Nota 515 2004-07-18 clusters/ACS/10248_ANY/j92f07rhq_flt.fits
ACS WFC 10248 ANY 22.318207 -73.708413 F555W CLEAR2L Nota 595 2004-07-18 clusters/ACS/10248_ANY/j92f07s6q_flc.fits
ACS WFC 10248 ANY 22.318207 -73.708413 F555W CLEAR2L Nota 595 2004-07-18 clusters/ACS/10248_ANY/j92f07s6q_flt.fits
ACS WFC 10248 ANY 22.317308 -73.708671 CLEAR1L F814W Nota 556 2004-07-18 clusters/ACS/10248_ANY/j92f07soq_flc.fits
ACS WFC 10248 ANY 22.317308 -73.708671 CLEAR1L F814W Nota 556 2004-07-18 clusters/ACS/10248_ANY/j92f07soq_flt.fits
ACS WFC 10248 ANY 22.316387 -73.708419 F555W CLEAR2L Nota 555 2004-07-18 clusters/ACS/10248_ANY/j92f07t4q_flc.fits
ACS WFC 10248 ANY 22.316387 -73.708419 F555W CLEAR2L Nota 555 2004-07-18 clusters/ACS/10248_ANY/j92f07t4q_flt.fits
ACS WFC 10248 ANY 15.455802 -72.877673 F555W CLEAR2L Nota 515 2004-09-12 clusters/ACS/10248_ANY/j92f10nhq_flc.fits
ACS WFC 10248 ANY 15.455802 -72.877673 F555W CLEAR2L Nota 515 2004-09-12 clusters/ACS/10248_ANY/j92f10nhq_flt.fits
ACS WFC 10248 ANY 15.455410 -72.878015 F555W CLEAR2L Nota 595 2004-09-12 clusters/ACS/10248_ANY/j92f10nzq_flc.fits
ACS WFC 10248 ANY 15.455410 -72.878015 F555W CLEAR2L Nota 595 2004-09-12 clusters/ACS/10248_ANY/j92f10nzq_flt.fits
ACS WFC 10248 ANY 15.454248 -72.877900 CLEAR1L F814W Nota 556 2004-09-12 clusters/ACS/10248_ANY/j92f10ooq_flc.fits
ACS WFC 10248 ANY 15.454248 -72.877900 CLEAR1L F814W Nota 556 2004-09-12 clusters/ACS/10248_ANY/j92f10ooq_flt.fits
ACS WFC 10248 ANY 15.454639 -72.877558 F555W CLEAR2L Nota 555 2004-09-12 clusters/ACS/10248_ANY/j92f10p4q_flc.fits
ACS WFC 10248 ANY 15.454639 -72.877558 F555W CLEAR2L Nota 555 2004-09-12 clusters/ACS/10248_ANY/j92f10p4q_flt.fits
ACS WFC 10248 ANY 12.848399 -72.245793 F555W CLEAR2L Nota 515 2004-09-11 clusters/ACS/10248_ANY/j92f13glq_flc.fits
ACS WFC 10248 ANY 12.848399 -72.245793 F555W CLEAR2L Nota 515 2004-09-11 clusters/ACS/10248_ANY/j92f13glq_flt.fits
ACS WFC 10248 ANY 12.847988 -72.246132 F555W CLEAR2L Nota 595 2004-09-11 clusters/ACS/10248_ANY/j92f13h3q_flc.fits
ACS WFC 10248 ANY 12.847988 -72.246132 F555W CLEAR2L Nota 595 2004-09-11 clusters/ACS/10248_ANY/j92f13h3q_flt.fits
ACS WFC 10248 ANY 12.846878 -72.246006 CLEAR1L F814W Nota 556 2004-09-11 clusters/ACS/10248_ANY/j92f13hlq_flc.fits
ACS WFC 10248 ANY 12.846878 -72.246006 CLEAR1L F814W Nota 556 2004-09-11 clusters/ACS/10248_ANY/j92f13hlq_flt.fits
ACS WFC 10248 ANY 12.847289 -72.245668 F555W CLEAR2L Nota 555 2004-09-11 clusters/ACS/10248_ANY/j92f13i1q_flc.fits
ACS WFC 10248 ANY 12.847289 -72.245668 F555W CLEAR2L Nota 555 2004-09-11 clusters/ACS/10248_ANY/j92f13i1q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11hqq_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11hqq_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11hrq_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11hrq_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11htq_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11htq_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11hvq_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11hvq_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11hxq_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 463 2004-09-07 clusters/ACS/10248_NGC299/j92f11hxq_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11i0q_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 F555W CLEAR2L Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11i0q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11i2q_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11i2q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i3q_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i3q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i5q_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i5q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i7q_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i7q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i9q_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 490 2004-09-07 clusters/ACS/10248_NGC299/j92f11i9q_flt.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11icq_flc.fits
ACS WFC 10248 NGC299 13.354167 -72.197583 CLEAR1L F814W Nota 3 2004-09-07 clusters/ACS/10248_NGC299/j92f11icq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-13 clusters/ACS/10248_NGC346/j92f01krq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-13 clusters/ACS/10248_NGC346/j92f01krq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01ksq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01ksq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01kuq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01kuq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01kwq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01kwq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01kyq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 456 2004-07-13 clusters/ACS/10248_NGC346/j92f01kyq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-13 clusters/ACS/10248_NGC346/j92f01l1q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-13 clusters/ACS/10248_NGC346/j92f01l1q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-13 clusters/ACS/10248_NGC346/j92f01l3q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-13 clusters/ACS/10248_NGC346/j92f01l3q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01l4q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01l4q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01l6q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01l6q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01l8q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01l8q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01laq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 484 2004-07-13 clusters/ACS/10248_NGC346/j92f01laq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-13 clusters/ACS/10248_NGC346/j92f01ldq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-13 clusters/ACS/10248_NGC346/j92f01ldq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-18 clusters/ACS/10248_NGC346/j92f02luq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-18 clusters/ACS/10248_NGC346/j92f02luq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02lvq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02lvq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02lyq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02lyq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02m0q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02m0q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02m5q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 450 2004-07-18 clusters/ACS/10248_NGC346/j92f02m5q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-18 clusters/ACS/10248_NGC346/j92f02m8q_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 CLEAR1L F814W Nota 2 2004-07-18 clusters/ACS/10248_NGC346/j92f02m8q_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-18 clusters/ACS/10248_NGC346/j92f02mbq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-18 clusters/ACS/10248_NGC346/j92f02mbq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02mcq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02mcq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02meq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02meq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02mgq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02mgq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02miq_flc.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 483 2004-07-18 clusters/ACS/10248_NGC346/j92f02miq_flt.fits
ACS WFC 10248 NGC346 14.775750 -72.175333 F555W CLEAR2L Nota 3 2004-07-18 clusters/ACS/10248_NGC346/j92f02mlq_flc.fits
