# This is a cull of mast.csv to only inlcude *_fl*fits entries. NGC2070 and other entries were cleaned up.
#@string, string, string, string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument_,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
WFC3,UVIS,13435,NGC-1898,79.171833,-69.656778,...,...,Monelli,200,2014-01-10,clusters/WFC3/13435_NGC-1898/icb005gyq_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
WFC3,UVIS,13435,NGC-1898,79.171833,-69.656778,...,...,Monelli,1035,2014-01-10,clusters/WFC3/13435_NGC-1898/icb005h0q_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
WFC3,UVIS,13435,NGC-1898,79.171833,-69.656778,...,...,Monelli,100,2014-01-10,clusters/WFC3/13435_NGC-1898/icb005h5q_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
WFC3,UVIS,13435,NGC-1898,79.171833,-69.656778,...,...,Monelli,1035,2014-01-10,clusters/WFC3/13435_NGC-1898/icb005h6q_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
WFC3,UVIS,13435,NGC-1898,79.171833,-69.656778,...,...,Monelli,200,2014-01-10,clusters/WFC3/13435_NGC-1898/icb005haq_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
ACS,WFC,13435,NGC-1898,79.171833,-69.656778,F475W,CLEAR2L,Monelli,500,2014-01-10,clusters/ACS/13435_NGC-1898/jcb005h7q_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
ACS,WFC,13435,NGC-1898,79.171833,-69.656778,F475W,CLEAR2L,Monelli,90,2014-01-10,clusters/ACS/13435_NGC-1898/jcb005hbq_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
ACS,WFC,13435,NGC-1898,79.171833,-69.656778,CLEAR1L,F814W,Monelli,100,2014-01-10,clusters/ACS/13435_NGC-1898/jcb005gzq_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
ACS,WFC,13435,NGC-1898,79.171833,-69.656778,CLEAR1L,F814W,Monelli,500,2014-01-10,clusters/ACS/13435_NGC-1898/jcb005h1q_flt.fits,image,3,HST,ICB005H5Q,NGC-1898,79.17103802879,-69.65725320232,56667.93154,56667.9327,100,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,"Multiple populations in external globular glusters: the Fornax dSph, the LMC, and the SMC",57033.13972,WFC3/UVIS,MONELLI,13435,2012735846,POLYGON ICRS  79.18988012 -69.63231609  79.21492943 -69.67669673  79.15206385 -69.68233992  79.12799921 -69.63814839  79.18988012 -69.63231609,http://archive.stsci.edu/hst/previews/ICB0/ICB005H5Q_256.jpg,2002975829,DADS,0
ACS,WFC,10396,SFH-1,12.916667,-73.116944,CLEAR1L,F814W,Gallagher,1,2006-01-17,clusters/ACS/10396_SFH-1/j96110djq_flt.fits,image,3,HST,J96110DTQ,SFH-1,12.91666666667,-73.11694444444,53752.1253,53752.12587,48,OPTICAL,F814W,GALAXY;MAGELLANIC IRREGULAR,"Star Clusters, Stellar Populations, and the Evolution of the Small Magellanic Cloud",54117.47125,ACS/WFC,GALLAGHER,10396,2012756777,POLYGON GSC1  12.78921373 -73.14034866  12.82459787 -73.08443074  13.02082865 -73.09171385  12.98196018 -73.14608210  12.78921373 -73.14034866,http://archive.stsci.edu/hst/previews/J961/J96110DTQ_256.jpg,2003083922,DADS,0
