#@string, string, string, string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument_,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,300,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g1q_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g2q_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,300,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g3q_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2010-02-06,clusters/WFC3/11714_NGC1786/ib7781g4q_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,0,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789tsq_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789ttq_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,0,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789tuq_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC1786,74.782333,-67.745306,...,...,Bond,60,2009-12-17,clusters/WFC3/11714_NGC1786/ib7789tvq_flt.fits,image,3,HST,IB7789020,NGC1786,74.77052346807,-67.72777765273,55182.33778,55182.34521,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55182.44101,WFC3/UVIS,BOND,11714,2012906599,POLYGON 74.7631383 -67.70216317 74.71564137 -67.71532198 74.7780727 -67.75357492 74.8265373 -67.74047498 74.7631383 -67.70216317 74.7631383 -67.70216317,http://archive.stsci.edu/hst/previews/IB77/IB7789020_256.jpg,2003841235,DADS,0
WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,300,2009-12-05,clusters/WFC3/11714_NGC2005/ib7790zbq_flt.fits,image,3,HST,IB7790020,NGC2005,82.51374905694,-69.73773083849,55170.08678,55170.09421,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55170.20998,WFC3/UVIS,BOND,11714,2012906601,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738,http://archive.stsci.edu/hst/previews/IB77/IB7790020_256.jpg,2003841237,DADS,0
WFC3,UVIS,11714,NGC2005,82.542875,-69.75275,...,...,Bond,60,2009-12-05,clusters/WFC3/11714_NGC2005/ib7790zcq_flt.fits,image,3,HST,IB7790020,NGC2005,82.51374905694,-69.73773083849,55170.08678,55170.09421,120.0,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55170.20998,WFC3/UVIS,BOND,11714,2012906601,POLYGON 82.48141303 -69.71452738 82.44510882 -69.73295173 82.54648587 -69.76108212 82.58377836 -69.74259216 82.48141303 -69.71452738 82.48141303 -69.71452738,http://archive.stsci.edu/hst/previews/IB77/IB7790020_256.jpg,2003841237,DADS,0
