i,j,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,group,galaxy,targname,s_region
79,74,ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F814W,Girardi,80,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vhq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
80,75,ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52viq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
81,76,ACS,WFC,12257,ANY,73.616311,-69.910985,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vkq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
82,77,ACS,WFC,12257,ANY,73.616175,-69.910977,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vnq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
83,78,ACS,WFC,12257,ANY,73.616175,-69.910977,CLEAR1L,F814W,Girardi,300,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vrq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
84,79,ACS,WFC,12257,ANY,73.614623,-69.91024,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vtq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
85,80,ACS,WFC,12257,ANY,73.614623,-69.91024,CLEAR1L,F814W,Girardi,340,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vvq_flt.fits,13.0,lmc,NGC1751-FIELD,POLYGON 73.60491706 -69.87570984 73.50635738 -69.91970765 73.64696644 -69.95108436 73.74425452 -69.90506663 73.60491706 -69.87570984 73.60491706 -69.87570984
191,538,ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,90,2006-10-17,clusters/ACS/10595_ESO056-SC023-COPY/j9es51huq_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387
192,539,ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,340,2006-10-17,clusters/ACS/10595_ESO056-SC023-COPY/j9es51hvq_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.50780019 -69.83576387  73.51007675 -69.77945820  73.59074332 -69.77791981  73.58666742 -69.83342946  73.50780019 -69.83576387
193,540,ACS,WFC,10595,ESO056-SC023-COPY,73.55,-69.806667,CLEAR1L,F435W,Goudfrooij,340,2006-10-17,clusters/ACS/10595_ESO056-SC023-COPY/j9es51hxq_flt.fits,64.0,lmc,NGC1751,POLYGON GSC1  73.63718774 -69.79432838  73.52814100 -69.83622355  73.46440832 -69.81899707  73.57348560 -69.77819851  73.63718774 -69.79432838
