instrument,detector,propid,target,RAJ2000,DECJ2000,filter1,filter2,pr_inv,exptime,date-obs,filename
@string,string,int,string,ra,dec,string,string,string,int,string,string
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,1,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112f9q_flc.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,1,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112f9q_flt.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,1,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112fbq_flc.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,1,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112fbq_flt.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,504,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112fcq_flc.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,504,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112fcq_flt.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,504,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112feq_flc.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,504,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112feq_flt.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,504,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112fgq_flc.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,CLEAR1L,F814W,Gallagher,504,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112fgq_flt.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,F555W,CLEAR2L,Gallagher,1,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112flq_flc.fits
ACS,WFC,10396,SFH-10A,17.165833,-72.979167,F555W,CLEAR2L,Gallagher,1,2006-01-17,smc_fields/ACS/10396_SFH-10A/j96112flq_flt.fits
