Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
"AM-3,ESO28SC4",357.2458333,-72.94527778,C,0.899999976,0.899999976,0,Old IAC,ESO 28-4
"L1,ESO28SC8",0.975,-73.47194444,C,4.599999905,4.599999905,0,Globular Cluster,ESO 28-8
L2,3.229166667,-73.4875,C,1.200000048,1.200000048,0,,Cl Lindsay 2
"L3,ESO28SC13",4.604166667,-74.31861111,C,1,1,0,,Cl Lindsay 3
HW1,4.6125,-73.395,CA,0.949999988,0.850000024,0,,HW  1
BS1,4.7375,-73.41444444,CA,0.899999976,0.899999976,0,,[BS95] 1
B2,4.825,-74.57444444,C,0.449999988,0.449999988,0,,Bruck 2
B1,4.833333333,-74.10722222,C,0.800000012,0.800000012,0,br*in or sup,Bruck 1
"K1,L4,ESO28SC15",5.3625,-73.74861111,C,2.200000048,2.200000048,0,,Cl Kron 1
BOLOGNA A,5.379166667,-71.93527778,C,0.800000012,0.800000012,0,sup 47 Tucanae,NAME BOLOGNA A
"L5,ESO28SC16",5.666666667,-75.07472222,C,1.100000024,1.100000024,0,Old IAC,Cl Lindsay 5
"K4,L6,ESO28SC17",5.766666667,-73.66972222,C,1.700000048,1.700000048,0,,Cl Kron 4
"K5,L7,ESO28SC18",6.179166667,-73.755,C,1.799999952,1.799999952,0,,Cl Kron 5
"K3,L8,ESO28SC19",6.195833333,-72.79416667,C,3.400000095,3.400000095,0,Old IAC,Cl Kron 3
B4,6.225,-73.03055556,CA,0.850000024,0.850000024,0,,Bruck 4
"K6,L9,ESO28SC20",6.358333333,-74.07583333,C,1,1,0,,Cl Kron 6
"NGC121,K2,L10,ESO50SC12",6.695833333,-71.53666667,C,3.799999952,3.099999905,80,Globular Cluster,NGC 121
"K7,L11,ESO28SC22",6.941666667,-72.78194444,C,1.700000048,1.700000048,0,,Cl Kron 7
B6,6.9875,-74.40055556,C,0.600000024,0.600000024,0,,Bruck 6
"K8,L12",7.004166667,-73.30416667,C,1.100000024,1.100000024,0,,Cl Kron 8
BS2,7.129166667,-73.01361111,C,0.550000012,0.449999988,80,,[BS95] 2
"K9,L13",7.5,-73.37916667,C,1.200000048,1.200000048,0,,Cl Kron 9
BS4,7.529166667,-73.34944444,C,0.550000012,0.449999988,70,mT,[BS95] 4
BS5,7.579166667,-73.33527778,C,0.449999988,0.349999994,60,,[BS95] 5
HW5,7.7625,-72.34305556,C,0.550000012,0.550000012,0,,HW 5
BS6,7.870833333,-73.76194444,CA,1.100000024,1.100000024,0,,[BS95] 6
H86-10,8.145833333,-73.54027778,C,0.349999994,0.349999994,0,,[H86] 10
L14,8.170833333,-72.58138889,C,1.200000048,1.200000048,0,,Cl Lindsay 14
BS7,8.179166667,-73.63305556,C,0.550000012,0.550000012,0,mP,[BS95] 7
H86-11,8.225,-73.5075,C,0.649999976,0.649999976,0,,[H86] 11
"NGC152,K10,L15,ESO28SC24",8.233333333,-73.11611111,C,3,3,0,,NGC 152
HW6,8.266666667,-72.65194444,CA,0.800000012,0.800000012,0,,HW 6
H86-13,8.358333333,-73.54555556,C,0.400000006,0.400000006,0,,[H86] 13
HW8,8.441666667,-73.63305556,C,1.700000048,1.700000048,0,,HW 8
H86-15,8.458333333,-73.00472222,C,0.400000006,0.349999994,70,,[H86] 15
H86-16,8.525,-73.05222222,C,0.649999976,0.449999988,110,,[H86] 16
H86-20,8.679166667,-73.21666667,C,0.300000012,0.300000012,0,,[H86] 20
H86-22,8.720833333,-73.03555556,C,0.300000012,0.300000012,0,mP,[H86] 22
H86-23,8.725,-72.74416667,CA,0.649999976,0.449999988,70,,[H86] 23
H86-21,8.808333333,-73.53027778,C,0.699999988,0.5,30,,[H86] 21
H86-25,8.8625,-73.47694444,C,0.449999988,0.349999994,20,,[H86] 25
H86-24,8.8625,-73.40916667,C,0.400000006,0.400000006,0,,[H86] 24
"K13,L17,ESO29SC1",8.920833333,-73.59805556,C,1.899999976,1.899999976,0,,Cl Kron 13
H86-29,8.925,-73.15944444,C,0.300000012,0.300000012,0,,[H86] 29
H86-28,8.954166667,-73.41611111,C,0.400000006,0.400000006,0,,[H86] 28
"NGC176,K12,L16,ESO29SC2",8.991666667,-73.16611111,C,1.200000048,1.200000048,0,,NGC 176
H86-31,9.008333333,-73.06777778,CA,0.75,0.75,0,,[H86] 31
H86-32,9.029166667,-73.14305556,CA,0.550000012,0.400000006,150,,[H86] 32
H86-30,9.058333333,-73.41166667,C,0.349999994,0.349999994,0,,[H86] 30
H86-33,9.075,-73.05694444,C,0.449999988,0.449999988,0,,[H86] 33
HW9,9.104166667,-73.00138889,C,0.75,0.75,0,mP,HW 9
"K11,L20",9.1125,-72.47805556,C,1.100000024,1.100000024,0,,Cl Kron 11
HW10,9.129166667,-72.98694444,C,0.949999988,0.949999988,0,mP,HW 10
"H86-35,SOGLE1",9.158333333,-73.08583333,C,0.349999994,0.349999994,0,,[H86] 35
B9,9.304166667,-72.96472222,C,0.449999988,0.449999988,0,mP in H-A1,Bruck 9
H86-41,9.370833333,-72.96333333,C,0.550000012,0.400000006,50,mP,[H86] 41
"HW11,SOGLE2",9.3875,-73.61194444,C,1.299999952,1.299999952,0,,HW 11
BS10,9.391666667,-73.025,C,0.649999976,0.649999976,0,mP,[BS95] 10
H86-42,9.420833333,-73.12111111,C,0.5,0.449999988,80,,[H86] 42
"L19,SOGLE3",9.425,-73.90833333,C,1.700000048,1.700000048,0,,Cl Lindsay 19
"B10,SOGLE4",9.433333333,-73.21111111,C,0.800000012,0.800000012,0,,Bruck 10
H86-40,9.454166667,-73.48388889,C,0.449999988,0.349999994,170,,[H86] 40
H86-43,9.4625,-73.12111111,C,0.550000012,0.550000012,0,,[H86] 43
B12,9.591666667,-73.275,C,0.449999988,0.349999994,140,,Bruck 12
