@int,ra,dec,string
HZ,ra,dec,other_names
1,0:24:18.67,-73:59:35.78,nomatch
2,0:24:43.16,-73:45:11.70,K5;L7;ESO28SC18
3,0:25:26.60,-74:04:29.70,K6;L9;ESO28SC20
4,0:27:45.17,-72:46:52.49,K7;L11;ESO28SC22
5,0:28:02.14,-73:18:13.63,K8;L12
6,0:29:55.22,-73:41:57.07,HW3
7,0:30:00.27,-73:22:40.70,K9;L13
8,0:31:01.34,-72:20:30.00,HW5
9,0:32:41.02,-72:34:50.12,L14
10,0:32:56.26,-73:06:56.61,NGC152;K10;L15;ESO28SC24
11,0:33:47.92,-73:37:58.28,HW8
12,0:35:41.70,-73:35:51.36,K13;L17;ESO29SC1
13,0:35:58.68,-73:09:56.50,NGC176;K12;L16;ESO29SC2
14,0:36:25.49,-73:00:09.01,HW9
15,0:36:26.61,-72:28:43.73,K11;L20
16,0:36:31.00,-72:59:10.79,HW10
17,0:37:16.20,-72:57:49.03,B9
18,0:37:31.74,-73:36:49.33,HW11;SMC_OGLE2
19,0:37:41.78,-73:54:19.71,L19;SMC_OGLE3
20,0:38:26.81,-73:51:08.19,nomatch
21,0:38:34.97,-73:48:21.70,B14;SMC_OGLE162
22,0:40:12.67,-72:41:54.93,K15;L21
23,0:40:14.82,-73:52:10.47,HW14
24,0:40:33.39,-72:44:24.18,K16;L23
25,0:40:42.11,-73:23:00.79,NGC222;K19;L24;ESO29SC4
26,0:40:48.39,-74:01:19.77,HW15
27,0:40:55.96,-73:24:10.06,B23;SMC_OGLE170
28,0:41:02.04,-72:34:25.07,K17;L26
29,0:41:07.25,-73:20:58.42,NGC231;K20;L25;ESO29SC5
30,0:41:20.58,-72:58:50.95,B24
31,0:41:23.83,-72:53:32.00,K21;L27;SMC_OGLE12
32,0:42:37.22,-73:43:52.50,HW16;SMC_OGLE13
33,0:42:38.01,-72:27:26.16,H86-68
34,0:42:59.87,-72:35:20.98,L28
35,0:43:00.77,-73:10:01.30,BS16;SMC_OGLE16
36,0:43:33.84,-73:26:31.35,NGC241;K22w;L29W;
37,0:43:42.26,-72:58:40.69,H86-70;SMC_OGLE21
38,0:44:29.09,-72:48:57.05,SMC_OGLE28
39,0:44:47.97,-74:21:47.00,HW20
40,0:45:10.64,-73:13:17.57,H86-74;SMC_OGLE25
41,0:45:26.29,-73:42:12.03,B41
42,0:45:28.06,-73:28:50.66,B39;SMC_OGLE27
43,0:45:39.54,-72:51:43.17,B36
44,0:45:54.10,-73:30:23.90,NGC256;K23;L30;ESO29SC11
45,0:45:58.18,-72:35:53.10,H86-79
46,0:46:04.95,-73:16:38.80,BS32
47,0:46:34.71,-72:44:25.16,L31;SMC_OGLE36
48,0:46:35.54,-72:46:11.62,H86-83;SMC_OGLE35
49,0:46:45.17,-72:03:45.88,HW22
50,0:47:11.43,-73:28:40.49,NGC265;K24;L34;ESO29SC14
51,0:47:25.55,-72:50:37.52,L33;SMC_OGLE41
52,0:47:26.57,-72:28:45.35,HW24
53,0:47:53.42,-73:13:14.12,H86-97;SMC_OGLE43
54,0:48:02.85,-73:29:17.80,K25;L35;SMC_OGLE45
55,0:48:14.58,-73:51:43.54,K27;L36
56,0:48:22.25,-73:31:48.83,NGC269;K26;L37;ESO29SC16
57,0:49:16.16,-73:22:18.57,BS43
58,0:49:18.22,-72:12:28.15,BS47
59,0:50:20.54,-73:23:12.13,B55;SMC_OGLE60
60,0:50:27.83,-73:12:24.86,B54;SMC_OGLE62
61,0:50:30.07,-72:57:03.63,H86-116;SMC_OGLE64
62,0:50:32.38,-74:36:51.47,HW27
63,0:50:34.83,-72:39:01.97,H86-114
64,0:50:37.54,-72:58:42.12,BS46;SMC_OGLE200
65,0:50:41.40,-73:03:31.57,H86-115;SMC_OGLE63
66,0:50:43.13,-73:12:26.61,B56;SMC_OGLE66
67,0:50:55.15,-72:43:37.46,L41;SMC_OGLE67
68,0:51:12.33,-73:09:42.10,NGC290;L42;ESO29SC19
69,0:51:39.55,-71:59:56.59,K28;L43;ESO51SC4
70,0:51:44.13,-72:50:23.27,B59;L61-183;MA488;
71,0:51:58.17,-72:57:20.68,K29;L44;SMC_OGLE74
72,0:52:33.61,-72:40:45.23,H86-133;H86-137;SMC_OGLE81
73,0:52:36.07,-72:11:36.48,K30;L45
74,0:52:43.28,-72:55:29.70,BS60;SMC_OGLE82
75,0:52:45.25,-72:59:01.51,B65;SMC_OGLE83
76,0:52:48.37,-73:24:41.35,B67;SMC_OGLE87
77,0:52:49.02,-72:30:40.50,H86-135;SMC_OGLE86
78,0:52:50.85,-72:47:48.17,B66;SMC_OGLE85
79,0:53:00.37,-72:53:41.15,K31;L46;SMC_OGLE88
80,0:53:03.24,-73:21:15.88,NGC294;L47;ESO29SC22;
81,0:53:04.81,-72:37:25.77,B69;SMC_OGLE89
82,0:53:09.07,-71:59:48.12,SMC-DEM79
83,0:53:09.45,-72:34:25.65,H86-138;SMC_OGLE91
84,0:53:19.42,-72:46:00.89,B71;SMC_OGLE92
85,0:53:24.74,-72:11:47.58,NGC299;K32;L49;ESO51SC5
86,0:53:28.06,-71:23:55.19,L48;ESO51SC6
87,0:54:14.31,-72:14:27.32,NGC306;K33;L50;ESO29SC23
88,0:54:46.13,-72:07:32.44,B78
89,0:54:46.74,-73:13:22.94,B80;SMC_OGLE98
90,0:54:48.50,-72:27:53.64,B79;SMC_OGLE99
91,0:54:54.21,-72:06:48.00,L51;ESO51SC7
92,0:55:16.06,-71:50:31.72,B81
93,0:55:17.06,-73:30:05.41,L52
94,0:55:12.32,-73:17:52.14,H86-155;SMC_OGLE101
95,0:55:29.85,-73:04:31.77,B83;SMC_OGLE103
96,0:55:33.18,-72:50:00.09,K34;L53;SMC_OGLE104
