#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,distance
image,HST,ACS/WFC,DADS,F814W,OPTICAL,KRON-3,EXT-CLUSTER;GLOBULAR CLUSTER,J96107010,6.176280361411,-72.79665732748,10396,GALLAGHER,3,53752.88919,53752.89509,20,54118.05862,2012933918,POLYGON 6.28869701 -72.77553339 6.10076183 -72.7609706 6.04199196 -72.81510047 6.22715113 -72.82799424 6.28869701 -72.77553339 6.28869701 -72.77553339,7345.02342592501
image,HST,ACS/WFC,DADS,F814W,OPTICAL,KRON-3,EXT-CLUSTER;GLOBULAR CLUSTER,J96107020,6.176280361411,-72.79665732748,10396,GALLAGHER,3,53752.89696,53752.92447,1896,54118.12229,2012933919,POLYGON 6.28869701 -72.77553339 6.10076183 -72.7609706 6.04199196 -72.81510047 6.22715113 -72.82799424 6.28869701 -72.77553339 6.28869701 -72.77553339,7345.02342592501
image,HST,ACS/WFC,DADS,F555W,OPTICAL,KRON-3,EXT-CLUSTER;GLOBULAR CLUSTER,J96107030,6.176280361411,-72.79665732748,10396,GALLAGHER,3,53752.93056,53752.94788,40,54118.13654,2012933920,POLYGON 6.28869701 -72.77553339 6.10076183 -72.7609706 6.04199196 -72.81510047 6.22715113 -72.82799424 6.28869701 -72.77553339 6.28869701 -72.77553339,7345.02342592501
image,HST,ACS/WFC,DADS,F555W,OPTICAL,KRON-3,EXT-CLUSTER;GLOBULAR CLUSTER,J96107040,6.176280361411,-72.79665732748,10396,GALLAGHER,3,53752.94975,53752.97828,1984,54118.27779,2012933921,POLYGON 6.28869701 -72.77553339 6.10076183 -72.7609706 6.04199196 -72.81510047 6.22715113 -72.82799424 6.28869701 -72.77553339 6.28869701 -72.77553339,7345.02342592501
image,HST,ACS/WFC,DADS,F814W,OPTICAL,K-29,EXT-CLUSTER;HALO;UNDESIGNATED,J90605010,12.97166666667,-72.95402777778,10126,OLSZEWSKI,3,53250.5977,53250.60983,560,53615.60279,2012931744,POLYGON 13.08001683 -72.95116483 13.02378812 -72.92942709 12.86099139 -72.95776794 12.91606484 -72.98056261 13.08001683 -72.95116483 13.08001683 -72.95116483,401.943139837645
image,HST,ACS/WFC,DADS,F555W,OPTICAL,K-29,EXT-CLUSTER;HALO;UNDESIGNATED,J90605020,12.97166666667,-72.95402777778,10126,OLSZEWSKI,3,53250.58353,53250.59566,560,53615.58862,2012931745,POLYGON 13.08001683 -72.95116483 13.02378812 -72.92942709 12.86099139 -72.95776794 12.91606484 -72.98056261 13.08001683 -72.95116483 13.08001683 -72.95116483,401.943139837645
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-290,EXT-CLUSTER;HALO;UNDESIGNATED,J90604010,12.81333333333,-73.16219444444,10126,OLSZEWSKI,3,53308.37476,53308.3869,560,53673.37985,2012931742,POLYGON 12.91320635 -73.16078866 12.73910816 -73.13763007 12.70599589 -73.16385344 12.88379134 -73.18671425 12.91320635 -73.16078866 12.91320635 -73.16078866,1208.39484304363
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-290,EXT-CLUSTER;HALO;UNDESIGNATED,J90604020,12.81333333333,-73.16219444444,10126,OLSZEWSKI,3,53308.36059,53308.37273,560,53673.36568,2012931743,POLYGON 12.91320635 -73.16078866 12.73910816 -73.13763007 12.70599589 -73.16385344 12.88379134 -73.18671425 12.91320635 -73.16078866 12.91320635 -73.16078866,1208.39484304363
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-330,GLOBULAR CLUSTER;STELLAR CLUSTER,ICK003020,14.08431405996,-72.46808218034,13727,KALIRAI,3,57229.81118,57229.89087,3795,57596.00699,2014221955,POLYGON 14.18953261 -72.47774066 14.11261922 -72.43824885 13.97853721 -72.45906397 14.0560153 -72.49790412 14.18953261 -72.47774066 14.18953261 -72.47774066,1512.63575907762
image,HST,WFC3/UVIS,DADS,F225W,UV,NGC-330,GLOBULAR CLUSTER;STELLAR CLUSTER,ICK003010,14.08431405996,-72.46808218034,13727,KALIRAI,3,57229.69088,57229.78444,4860,57595.95205,2014221954,POLYGON 14.18953299 -72.47774029 14.112618 -72.43824876 13.97853684 -72.45906437 14.0560165 -72.49790424 14.18953299 -72.47774029 14.18953299 -72.47774029,1512.63621174988
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC299,OPEN CLUSTER;STELLAR CLUSTER,J92F11010,13.38016114316,-72.19206086564,10248,NOTA,3,53255.6647,53255.74406,1966,53620.66473,2012933218,POLYGON 13.48443781 -72.19170227 13.43627934 -72.16873622 13.27345275 -72.1932433 13.32021371 -72.21723419 13.48443781 -72.19170227 13.48443781 -72.19170227,2205.5899405717
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC299,OPEN CLUSTER;STELLAR CLUSTER,J92F11020,13.38003038898,-72.19203530417,10248,NOTA,3,53255.59078,53255.6586,1858,53620.59081,2012933219,POLYGON 13.48430699 -72.19167678 13.43614874 -72.16871071 13.27332222 -72.19321769 13.32008296 -72.2172086 13.48430699 -72.19167678 13.48430699 -72.19167678,2205.67260496874
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC-265,EXT-CLUSTER;UNDESIGNATED,J90601010,11.79625,-73.47780555556,10126,OLSZEWSKI,3,53317.07328,53317.08542,560,53682.07837,2012931736,POLYGON 11.8980807 -73.47842164 11.72685481 -73.45180176 11.68678881 -73.47729198 11.86182328 -73.50368988 11.8980807 -73.47842164 11.8980807 -73.47842164,2698.43787950188
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-265,EXT-CLUSTER;UNDESIGNATED,J90601020,11.79625,-73.47780555556,10126,OLSZEWSKI,3,53317.05911,53317.07125,560,53682.0642,2012931737,POLYGON 11.8980807 -73.47842164 11.72685481 -73.45180176 11.68678881 -73.47729198 11.86182328 -73.50368988 11.8980807 -73.47842164 11.8980807 -73.47842164,2698.43787950188
image,HST,ACS/WFC,DADS,F814W,OPTICAL,NGC346,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,J92F02010,14.76951281193,-72.18935382287,10248,NOTA,3,53204.03571,53204.08034,1804,53569.03573,2012933192,POLYGON 14.82795013 -72.16274374 14.73597639 -72.16138531 14.71117006 -72.21717587 14.80553862 -72.21918385 14.82795013 -72.16274374 14.82795013 -72.16274374,2750.24263692904
