# instrument detector propid target ra dec filter1 filter2 pr_inv exptime date-obs file
ACS WFC 12116 ANY 75.914292 -66.354701 F475W CLEAR2L Dalcanton_Julianne 1 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01o3q_flc.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 F475W CLEAR2L Dalcanton_Julianne 1 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01o3q_flt.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 F475W CLEAR2L Dalcanton_Julianne 670 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01o7q_flc.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 F475W CLEAR2L Dalcanton_Julianne 670 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01o7q_flt.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 CLEAR1L F814W Dalcanton_Julianne 670 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01oaq_flc.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 CLEAR1L F814W Dalcanton_Julianne 670 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01oaq_flt.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 CLEAR1L F814W Dalcanton_Julianne 2 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01ofq_flc.fits 
ACS WFC 12116 ANY 75.914292 -66.354701 CLEAR1L F814W Dalcanton_Julianne 2 2013-03-13 lmc_fields/ACS/12116_ANY/jbxg01ofq_flt.fits 
ACS WFC 12257 ANY 91.358779 -75.519097 F475W CLEAR2L Girardi_Leo 90 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10fvq_flt.fits 
ACS WFC 12257 ANY 91.358779 -75.519097 F475W CLEAR2L Girardi_Leo 500 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10fxq_flt.fits 
ACS WFC 12257 ANY 91.358593 -75.519107 F475W CLEAR2L Girardi_Leo 700 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10g9q_flt.fits 
ACS WFC 12257 ANY 91.358590 -75.519075 F475W CLEAR2L Girardi_Leo 700 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10gdq_flt.fits 
ACS WFC 12257 ANY 91.355529 -75.518650 F475W CLEAR2L Girardi_Leo 500 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10ghq_flt.fits 
ACS WFC 12257 ANY 91.355527 -75.518618 CLEAR1L F814W Girardi_Leo 10 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10gsq_flt.fits 
ACS WFC 12257 ANY 91.358908 -75.519097 CLEAR1L F814W Girardi_Leo 713 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10gvq_flt.fits 
ACS WFC 12257 ANY 91.355713 -75.518608 CLEAR1L F814W Girardi_Leo 690 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10gzq_flt.fits 
ACS WFC 12257 ANY 91.355715 -75.518640 CLEAR1L F814W Girardi_Leo 713 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10h3q_flt.fits 
ACS WFC 12257 ANY 91.358590 -75.519075 CLEAR1L F814W Girardi_Leo 550 2011-10-08 lmc_fields/ACS/12257_ANY/jbhy10h7q_flt.fits 
