#@string,ra,dec,float,float,float,float,int,string
Name,RA,Dec,M_V,logAge,elogAge,logMass,Source,AltName
NGC1466,3:44:32.9,-71:40:13.0,-7.59,10.10,0.01,5.31,4,NA
NGC1651,4:37:31.1,-70:35:02.0,-7.16,9.30,0.09,5.24,4,NA
NGC1644,4:37:39.0,-66:11:58.0,-5.61,9.19,0.05,4.32,4,NA
NGC1652,4:38:22.0,-68:40:21.0,-5.37,9.23,0.05,4.29,4,NA
NGC1841,4:45:23.9,-83:59:56.0,-7.80,10.09,0.01,5.12,4,NA
LW52,4:45:46.0,-71:35:40.9,-5.30,8.70,0.20,3.83,1,NA
SL37,4:46:46.0,-72:23:40.9,-4.99,8.70,0.20,3.71,1,NA
NGC1695,4:47:43.0,-69:22:26.0,-6.24,8.00,0.20,3.73,1,NA
NGC1698,4:49:04.0,-69:06:52.9,-7.09,8.00,0.20,4.07,1,NA
HS35,4:49:33.0,-69:43:40.0,-4.93,9.00,0.18,3.89,2,KMHK124
NGC1704,4:49:55.0,-69:45:19.1,-7.09,7.50,0.20,3.76,1,NA
HS37,4:50:28.9,-68:42:42.1,-4.65,9.25,0.23,4.02,2,KMHK139
NGC1711,4:50:37.3,-69:59:04.0,-8.88,7.70,0.05,4.21,4,NA
SL58,4:50:59.0,-69:38:13.0,-6.14,8.37,0.15,3.95,2,KMHK153
SL66,4:51:56.5,-70:23:25.1,-5.50,9.23,0.15,4.34,2,KMHK180
NGC1718,4:52:25.6,-67:03:06.0,-7.14,9.30,0.30,5.10,4,NA
SL75,4:52:55.7,-68:55:11.6,-6.49,8.20,0.30,3.96,2,KMHK199
KMHK208,4:53:07.2,-69:02:36.0,-6.18,8.58,0.28,4.10,2,NA
SL76,4:53:09.0,-68:12:41.0,-6.71,8.10,0.40,3.98,1,NA
NGC1732,4:53:11.8,-68:39:01.1,-6.72,7.84,0.17,3.83,2,NA
KMHK229,4:53:51.0,-69:34:19.0,-5.04,9.05,0.31,3.97,2,NA
NGC1751,4:54:12.0,-69:48:25.0,-6.83,9.15,0.05,4.60,4,NA
NGC1754,4:54:18.9,-70:26:31.0,-7.36,10.19,0.06,5.39,4,NA
NGC1735,4:54:19.0,-67:06:01.1,-7.79,7.70,0.20,4.17,1,NA
BSDL210,4:54:37.0,-68:57:33.1,-5.78,8.40,0.40,3.82,1,NA
BRHT43b,4:54:44.0,-68:57:45.0,-6.26,8.30,0.60,3.94,1,NA
NGC1756,4:54:50.0,-69:14:17.0,-6.26,8.40,0.05,4.02,4,NA
SL106,4:55:05.0,-69:40:26.0,-7.18,7.70,0.20,3.93,1,NA
NGC1755,4:55:13.0,-68:12:16.9,-9.11,7.40,0.20,4.50,1,NA
SL105,4:55:23.0,-68:32:29.0,-6.45,8.00,0.20,3.81,1,NA
HS65,4:55:31.7,-68:52:58.8,-5.02,8.97,0.09,3.91,2,H88-31
KMHK292,4:55:34.0,-69:26:53.2,-7.78,7.20,0.20,3.84,1,NA
KMHK300,4:55:39.0,-70:32:48.0,-4.68,9.06,0.28,3.83,2,NA
NGC1777,4:55:48.9,-74:17:03.0,-7.38,9.08,0.15,4.75,4,NA
SL114,4:56:07.9,-69:14:47.6,-7.27,7.35,0.10,3.73,2,KMHK305
SL117,4:56:22.0,-68:58:00.1,-6.90,8.10,0.40,4.06,1,NA
SL116,4:56:25.1,-68:48:13.9,-6.88,7.68,0.03,3.80,2,KMHK315
NGC1767,4:56:26.0,-69:24:11.9,-8.41,7.30,0.40,4.15,1,NA
SL124e,4:56:31.0,-69:58:54.0,-5.50,8.73,0.17,3.93,2,KMHK324e
HD32228,4:56:34.0,-66:28:25.0,-7.77,7.30,0.20,3.89,1,NA
BSDL285,4:56:37.0,-68:14:12.8,-5.83,8.50,0.40,3.91,1,NA
SL119,4:56:38.1,-68:09:53.3,-6.16,8.86,0.08,4.28,2,KMHK316
