#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JBP503010,85.48134526115,-69.04700008659,ROMAN-DUVAL,3,55951.13748,55951.20659,4106.5,UNIDENTIFIED,,56317.41491,12581,2001937293,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049572 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369,http://archive.stsci.edu/hst/previews/JBP5/JBP503010_256.jpg,2000987910,DADS,870.064725494649
image,HST,ACS/WFC,F475W,OPTICAL,ANY,JBP503020,85.48134526115,-69.04700008659,ROMAN-DUVAL,3,55951.20986,55951.28464,4111.5,UNIDENTIFIED,,56317.51465,12581,2001932098,POLYGON 85.46405784 -69.00874369 85.36743853 -69.05474535 85.48946273 -69.09125388 85.58049572 -69.04543696 85.46405784 -69.00874369 85.46405784 -69.00874369,http://archive.stsci.edu/hst/previews/JBP5/JBP503020_256.jpg,2000982398,DADS,870.064725494649
image,HST,ACS/WFC,F606W,OPTICAL,ANY,JBYY31MIQ,85.92974741641,-69.11733737328,DE MARCHI,2,56558.80428,56558.8058,130,UNIDENTIFIED,,56924.07846,13009,2001523223,POLYGON ICRS  85.85041355 -69.14385340  86.01186138 -69.14671466  86.02798421 -69.09015103  85.87060655 -69.08879447  85.85041355 -69.14385340,http://archive.stsci.edu/hst/previews/JBYY/JBYY31MIQ_256.jpg,2000556401,DADS,1479.21611224579
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JBYY31MVQ,85.9298401254,-69.11729060544,DE MARCHI,2,56558.86946,56558.87348,347,UNIDENTIFIED,,56924.0853,13009,2001523894,POLYGON ICRS  85.85050656 -69.14380667  86.01195406 -69.14666784  86.02807661 -69.09010420  85.87069927 -69.08874773  85.85050656 -69.14380667,http://archive.stsci.edu/hst/previews/JBYY/JBYY31MVQ_256.jpg,2000557171,DADS,1479.31940957709
image,HST,ACS/WFC,F475W,OPTICAL,ANY,JBHY20010,82.62069807104,-69.84176845888,GIRARDI,3,55846.67001,55846.70212,1000,UNIDENTIFIED,,56212.91756,12257,2001929122,POLYGON 82.5935488 -69.8075338 82.51637977 -69.8562721 82.6690481 -69.87973527 82.74396587 -69.82907249 82.5935488 -69.8075338 82.5935488 -69.8075338,http://archive.stsci.edu/hst/previews/JBHY/JBHY20010_256.jpg,2000979382,DADS,3603.54483954607
image,HST,ACS/WFC,F814W,OPTICAL,ANY,JBHY20020,82.6185883614,-69.84114806308,GIRARDI,3,55846.70635,55846.72182,1000,UNIDENTIFIED,,56212.91941,12257,2001932946,POLYGON 82.59144353 -69.80691306 82.51427206 -69.85565047 82.6669336 -69.8791154 82.74185408 -69.82845348 82.59144353 -69.80691306 82.59144353 -69.80691306,http://archive.stsci.edu/hst/previews/JBHY/JBHY20020_256.jpg,2000983310,DADS,3603.7872305512
image,HST,ACS/WFC,f475w,OPTICAL,N132D,HST_12001_01_ACS_WFC_F475W,81.257279971794,-69.6422692809599,Green,3,53025.92601,53026.06488,1520,,,53392.3255,12001,2002567986,POLYGON J2000 81.14537330 -69.64697900 81.26856520 -69.68419210 81.27000074 -69.68353067 81.31812540 -69.66132630 81.31796760 -69.66127880 81.31940020 -69.66061690 81.31886788 -69.66045666 81.31949407 -69.66016279 81.36539850 -69.63858520 81.36525615 -69.63854120 81.36667050 -69.63787550 81.24642720 -69.60060260 81.19906560 -69.62281340 81.19920794 -69.62285767 81.19778920 -69.62352210 81.24399514 -69.63787767 81.19625580 -69.62343940 81.14665270 -69.64627080 81.14681025 -69.64631853 81.14537330 -69.64697900,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_12001_01_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2001355434,HLA,4654.67188245317
image,HST,ACS/WFC,F475W,OPTICAL,N132D,J8R801010,81.25583333333,-69.64194444444,GREEN,3,53025.926,53026.06487,1520,ISM,,53392.3255,12001,2001913349,POLYGON 81.24498864 -69.60050907 81.14407896 -69.64608402 81.26819895 -69.6831241 81.36336602 -69.63770739 81.24498864 -69.60050907 81.24498864 -69.60050907,http://archive.stsci.edu/hst/previews/J8R8/J8R801010_256.jpg,2000963606,DADS,4658.25308573669
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT03IMQ,80.56725100872,-69.49963324097,DIAZ-MILLER,2,53851.13149,53851.13547,343,UNIDENTIFIED,,53851.89742,10753,2001281479,POLYGON GSC1  80.68568405 -69.50295299  80.57446583 -69.46062140  80.44931382 -69.49678292  80.56079823 -69.53721748  80.68568405 -69.50295299,http://archive.stsci.edu/hst/previews/J9IT/J9IT03IMQ_256.jpg,2000299559,DADS,5316.02156041659
image,HST,ACS/WFC,F606W,OPTICAL,LMC-FIELD-1,J9IT03IKQ,80.55839908764,-69.49635248784,DIAZ-MILLER,2,53851.12556,53851.12954,343,UNIDENTIFIED,,53851.81447,10753,2001281478,POLYGON GSC1  80.67681294 -69.49967831  80.56562934 -69.45734103  80.44048147 -69.49349616  80.55193194 -69.53393641  80.67681294 -69.49967831,http://archive.stsci.edu/hst/previews/J9IT/J9IT03IKQ_256.jpg,2000299558,DADS,5324.08435157394
