#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Release Date, Object ID, s_region, Product Group ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, string, string, string, float
dataproduct_type,obs_collection,instrument,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,t_obs_release,objID,s_region,obsid,distance
image,HST,WFC3/UVIS,DADS,F555W,OPTICAL,NGC1466,GLOBULAR CLUSTER;STELLAR CLUSTER,IB7788020,56.08377605542,-71.67527607361,11714,BOND,3,55075.25451,55075.26194,120,55083.66667,2012906597,POLYGON 56.12660758 -71.65453638 56.00202469 -71.67711387 56.04172799 -71.6956099 56.1660995 -71.67335407 56.12660758 -71.65453638 56.12660758 -71.65453638,2003841233,29992.3521332022
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07F010,84.3641151294,-69.24214073366,12939,SABBI,3,56559.93638,56559.97757,2270,56560.58721,2012945836,POLYGON 84.32317436 -69.20975513 84.27019308 -69.26200931 84.4270867 -69.27708784 84.47701635 -69.22305499 84.32317436 -69.20975513 84.32317436 -69.20975513,2003880472,4614.10691396484
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07L010,84.3058126671,-69.19816312506,12939,SABBI,3,56556.80394,56556.87487,2270,56557.00815,2012945842,POLYGON 84.26495504 -69.16577745 84.21208024 -69.21803156 84.36865613 -69.23311041 84.4184863 -69.17907773 84.26495504 -69.16577745 84.26495504 -69.16577745,2003880478,4614.68355946905
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,JBY07R010,84.26445453028,-69.13545926703,12939,SABBI,3,56392.44097,56392.51531,2270,56393.15417,2012945848,POLYGON 84.2135123 -69.09819196 84.14658968 -69.14980358 84.29473066 -69.16927633 84.36349128 -69.11943617 84.2135123 -69.09819196 84.2135123 -69.09819196,2003880484,4655.59522735343
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7F,STAR FORMING REGION;STELLAR CLUSTER,IBY07F020,84.2420718326,-69.15290926166,12939,SABBI,3,56559.9354,56559.96223,1408,56560.58141,2012916456,POLYGON 84.26957771 -69.12346605 84.15368817 -69.14254845 84.21457693 -69.18234199 84.32989436 -69.16391191 84.26957771 -69.12346605 84.26957771 -69.12346605,2003851092,4675.46629150587
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,IBY07R020,84.35761732249,-69.22897201461,12939,SABBI,3,56392.44,56392.46034,1408,56392.98637,2012916480,POLYGON 84.39407931 -69.20078554 84.2735382 -69.21456016 84.32097397 -69.25715358 84.44266477 -69.24268518 84.39407931 -69.20078554 84.39407931 -69.20078554,2003851116,4680.36827833375
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,JBY013010,84.21378354699,-69.09042736747,12939,SABBI,3,56388.14252,56388.18778,2270,56390.63755,2012945796,POLYGON 84.16303201 -69.0531451 84.09612831 -69.1047371 84.24391893 -69.12425331 84.31265376 -69.07443345 84.16303201 -69.0531451 84.16303201 -69.0531451,2003880432,4682.14084630368
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-V7L,STAR FORMING REGION;STELLAR CLUSTER,IBY07L020,84.18401638171,-69.10893149584,12939,SABBI,3,56556.80296,56556.8233,1408,56556.94817,2012916468,POLYGON 84.2114957 -69.07949132 84.09582063 -69.09855951 84.15654851 -69.13836049 84.27165171 -69.11994463 84.2114957 -69.07949132 84.2114957 -69.07949132,2003851104,4687.07721796403
image,HST,WFC3/UVIS,DADS,F336W,OPTICAL,NGC-2070-2,STAR FORMING REGION;STELLAR CLUSTER,IBY013020,84.30653660336,-69.18396752112,12939,SABBI,3,56388.14155,56388.16189,1408,56388.21203,2012916376,POLYGON 84.34298922 -69.15579183 84.22266482 -69.16953089 84.2699029 -69.21213826 84.39137597 -69.19770584 84.34298922 -69.15579183 84.34298922 -69.15579183,2003851012,4690.3558983423
image,HST,ACS/WFC,DADS,F555W,OPTICAL,NGC-2070,STAR FORMING REGION;STELLAR CLUSTER,JBY07E010,84.47098066707,-69.22741581258,12939,SABBI,3,56556.91207,56556.9888,2270,56557.10568,2012945835,POLYGON 84.43006807 -69.19503014 84.37712258 -69.24728431 84.53390969 -69.26236292 84.58380589 -69.20833011 84.43006807 -69.19503014 84.43006807 -69.19503014,2003880471,4760.29804693348
