#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,f555w,OPTICAL,NGC376,HST_10248_08_ACS_WFC_F555W,16.02501955,-72.83242028,Nota,3,53260.57831,53260.61187,1806,,,53625.57833,10248,2002396424,POLYGON J2000 16.11221871 -72.82050727 16.11218510 -72.82048940 15.93807000 -72.84448890 15.93813734 -72.84452489 15.98501510 -72.86954280 15.98507869 -72.86953407 15.98514650 -72.86957020 15.98527534 -72.86955251 15.98530930 -72.86957060 16.15947998 -72.84554805 16.15960740 -72.84553040 16.11247900 -72.82051690 16.11241376 -72.82052593 16.11237951 -72.82050773 16.11234560 -72.82048970 16.11221871 -72.82050727 POLYGON J2000 16.06473030 -72.79621530 16.06460317 -72.79623228 16.06457000 -72.79621490 15.89161060 -72.81921290 15.89167769 -72.81924824 15.93748430 -72.84333940 15.93754731 -72.84333105 15.93761500 -72.84336660 15.93774409 -72.84334950 15.93777780 -72.84336720 16.11078545 -72.82034677 16.11091320 -72.82032970 16.06486320 -72.79624240 16.06479852 -72.79625104 16.06476451 -72.79623322 16.06473030 -72.79621530,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_08_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001183872,HLA,0
image,HST,ACS/WFC,f814w,OPTICAL,NGC376,HST_10248_08_ACS_WFC_F814W,16.02502069,-72.83242102,Nota,3,53260.61797,53260.67184,1966,,,53625.618,10248,2002396425,POLYGON J2000 15.93814075 -72.84452480 15.98501730 -72.86954140 15.98508150 -72.86953258 15.98514910 -72.86956860 15.98527825 -72.86955087 15.98531210 -72.86956890 16.15947572 -72.84554812 16.15960290 -72.84553050 16.11247610 -72.82051850 16.11241109 -72.82052750 16.11237691 -72.82050933 16.11234300 -72.82049130 16.11221673 -72.82050878 16.11218290 -72.82049080 15.93807340 -72.84448880 15.93814075 -72.84452480 POLYGON J2000 16.06460291 -72.79623561 16.06456930 -72.79621800 15.89161560 -72.81921360 15.89168318 -72.81924919 15.93748910 -72.84333910 15.93755266 -72.84333068 15.93762050 -72.84336630 15.93774991 -72.84334916 15.93778370 -72.84336690 16.11078450 -72.82034900 16.11091170 -72.82033200 16.06486230 -72.79624590 16.06479785 -72.79625451 16.06476371 -72.79623662 16.06472950 -72.79621870 16.06460291 -72.79623561,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_08_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001183873,HLA,0
image,HST,ACS/WFC,F814W,OPTICAL,NGC419,J96103010,17.0550534,-72.88820092,GALLAGHER,3,53750.82659,53750.83249,20,EXT-CLUSTER,,54116.00906,10396,2001916313,POLYGON 17.14915929 -72.86018137 16.95399341 -72.85840616 16.93747928 -72.91505292 17.12872373 -72.9153823 17.14915929 -72.86018137 17.14915929 -72.86018137,http://archive.stsci.edu/hst/previews/J961/J96103010_256.jpg,2000966570,DADS,991.3147288
image,HST,ACS/WFC,F814W,OPTICAL,NGC419,J96103020,17.0550534,-72.88820092,GALLAGHER,3,53750.83435,53750.86186,1896,EXT-CLUSTER,,54116.04493,10396,2001920505,POLYGON 17.14915929 -72.86018137 16.95399341 -72.85840616 16.93747928 -72.91505292 17.12872373 -72.9153823 17.14915929 -72.86018137 17.14915929 -72.86018137,http://archive.stsci.edu/hst/previews/J961/J96103020_256.jpg,2000970765,DADS,991.3147288
image,HST,ACS/WFC,F555W,OPTICAL,NGC419,J96103030,17.0550534,-72.88820092,GALLAGHER,3,53750.86795,53750.89058,40,EXT-CLUSTER,,54116.0597,10396,2001916314,POLYGON 17.14915929 -72.86018137 16.95399341 -72.85840616 16.93747928 -72.91505292 17.12872373 -72.9153823 17.14915929 -72.86018137 17.14915929 -72.86018137,http://archive.stsci.edu/hst/previews/J961/J96103030_256.jpg,2000966571,DADS,991.3147288
image,HST,ACS/WFC,F555W,OPTICAL,NGC419,J96103040,17.0550534,-72.88820092,GALLAGHER,3,53750.89244,53750.89819,0,EXT-CLUSTER,,54116.05991,10396,2001915961,POLYGON 17.14915929 -72.86018137 16.95399341 -72.85840616 16.93747928 -72.91505292 17.12872373 -72.9153823 17.14915929 -72.86018137 17.14915929 -72.86018137,http://archive.stsci.edu/hst/previews/J961/J96103040_256.jpg,2000966218,DADS,991.3147288
image,HST,ACS/WFC,f555w,OPTICAL,NGC419,HST_10396_23_ACS_WFC_F555W,17.10329951,-72.87866468,Gallagher,3,53924.73111,53924.82537,2024,,,54290.34179,10396,2002396461,POLYGON J2000 17.19085109 -72.84587099 17.19069120 -72.84532110 17.09478010 -72.84969850 17.09493706 -72.85024850 17.09500261 -72.85047820 17.09420730 -72.85051430 17.09423227 -72.85060180 17.09377463 -72.85062363 17.09364130 -72.85006740 17.00099130 -72.85446360 17.00112177 -72.85501996 17.00117414 -72.85524327 17.00041310 -72.85527920 17.01356790 -72.91120620 17.01582289 -72.91109993 17.01595430 -72.91165650 17.01671616 -72.91162059 17.10890210 -72.90725340 17.10875191 -72.90663109 17.10926830 -72.90660650 17.10923028 -72.90644898 17.10947550 -72.90643730 17.10557428 -72.89025962 17.11038810 -72.90703740 17.11261819 -72.90693631 17.11277630 -72.90748660 17.11357363 -72.90745045 17.20899810 -72.90310050 17.20881600 -72.90247846 17.20936070 -72.90245350 17.20931452 -72.90229577 17.20956690 -72.90228420 17.19307340 -72.84576900 17.19085109 -72.84587099,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_23_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001183909,HLA,1039.627942
image,HST,ACS/WFC,f814w,OPTICAL,NGC419,HST_10396_23_ACS_WFC_F814W,17.10330251,-72.87866462,Gallagher,3,53924.59915,53924.72502,1916,,,54290.29244,10396,2002396460,POLYGON J2000 17.00100130 -72.85446490 17.00113173 -72.85502129 17.00118413 -72.85524483 17.00042430 -72.85528070 17.01357380 -72.91120470 17.01582926 -72.91109839 17.01596060 -72.91165490 17.01672114 -72.91161905 17.10890350 -72.90725150 17.10875343 -72.90662947 17.10926930 -72.90660490 17.10923129 -72.90644738 17.10947650 -72.90643570 17.10557925 -72.89026876 17.11038930 -72.90703600 17.11261954 -72.90693490 17.11277760 -72.90748510 17.11357452 -72.90744897 17.20899340 -72.90309900 17.20881142 -72.90247728 17.20935650 -72.90245230 17.20931030 -72.90229447 17.20956270 -72.90228290 17.19307240 -72.84577020 17.19085020 -72.84587219 17.19069030 -72.84532220 17.09478420 -72.84969970 17.09494117 -72.85024981 17.09500674 -72.85047962 17.09421180 -72.85051570 17.09423671 -72.85060300 17.09378081 -72.85062475 17.09364750 -72.85006840 17.00100130 -72.85446490,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_23_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001183908,HLA,1039.64017
image,HST,ACS/WFC,F814W,OPTICAL,NGC419,J96123010,17.09060146,-72.87914544,GALLAGHER,3,53924.59915,53924.61277,20,EXT-CLUSTER,,54290.25038,10396,2001915973,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789275 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,http://archive.stsci.edu/hst/previews/J961/J96123010_256.jpg,2000966230,DADS,1041.867617
image,HST,ACS/WFC,F814W,OPTICAL,NGC419,J96123020,17.09060146,-72.87914544,GALLAGHER,3,53924.65293,53924.72502,1896,EXT-CLUSTER,,54290.29244,10396,2001915974,POLYGON 17.19020691 -72.84667079 17.00234126 -72.85608053 17.01410541 -72.91149996 17.20789275 -72.90328659 17.19020691 -72.84667079 17.19020691 -72.84667079,http://archive.stsci.edu/hst/previews/J961/J96123020_256.jpg,2000966231,DADS,1041.867617
