#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,f555w,OPTICAL,NGC1983,HST_9891_68_ACS_WFC_F555W,81.9752480516357,-68.9899488368696,Gilmore,3,52919.82753,52919.82778,20,,,53103.0695,9891,2002506720,POLYGON J2000 81.94181560 -69.01527460 82.00552680 -68.96408060 81.93262220 -68.95511550 81.86876730 -69.00628220 81.94181560 -69.01527460 POLYGON J2000 82.08212010 -68.97336030 82.00683660 -68.96391310 81.94431330 -69.01601720 82.01974840 -69.02549190 82.08212010 -68.97336030,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_68_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001294168,HLA,0
image,HST,ACS/WFC,f814w,OPTICAL,NGC1983,HST_9891_68_ACS_WFC_F814W,81.9753533969284,-68.9899328361754,Gilmore,3,52919.83387,52919.83412,20,,,53103.07125,9891,2002506719,POLYGON J2000 81.93273090 -68.95510170 81.86887590 -69.00626550 81.94192180 -69.01525700 82.00563310 -68.96406600 81.93273090 -68.95510170 POLYGON J2000 82.00694110 -68.96389840 81.94441890 -69.01600000 82.01985050 -69.02547380 82.08222100 -68.97334480 82.00694110 -68.96389840,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_68_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001294167,HLA,0
image,HST,ACS/WFC,f814w,OPTICAL,NGC1953,HST_9891_65_ACS_WFC_F814W,81.4052102896123,-68.8412425975244,Gilmore,3,52919.69403,52919.69509,90,,,53102.81765,9891,2002568074,POLYGON J2000 81.43021350 -68.81468060 81.35624520 -68.80756400 81.30286390 -68.86020230 81.37699090 -68.86734210 81.43021350 -68.81468060 POLYGON J2000 81.50788970 -68.82201880 81.43147800 -68.81448060 81.37961030 -68.86802070 81.45618910 -68.87558220 81.50788970 -68.82201880,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_65_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001355522,HLA,790.582780818857
image,HST,ACS/WFC,f555w,OPTICAL,NGC1953,HST_9891_65_ACS_WFC_F555W,81.4051089193084,-68.8412612731266,Gilmore,3,52919.6866,52919.68795,115,,,53102.79753,9891,2002568075,POLYGON J2000 81.45609140 -68.87560280 81.50779270 -68.82203690 81.43137730 -68.81449790 81.37950890 -68.86804060 81.45609140 -68.87560280 POLYGON J2000 81.35614000 -68.80758040 81.30275930 -68.86022180 81.37688900 -68.86736230 81.43011100 -68.81469780 81.35614000 -68.80758040,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_65_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001355523,HLA,790.65113664125
image,HST,ACS/WFC,f814w,OPTICAL,NGC1928,HST_9891_62_ACS_WFC_F814W,80.2772576572916,-69.4725639342105,Gilmore,3,52874.30861,52874.31094,200,,,53057.83147,9891,2002568211,POLYGON J2000 80.25058210 -69.44575690 80.30463600 -69.49921590 80.37954520 -69.48779180 80.32533380 -69.43435610 80.25058210 -69.44575690 POLYGON J2000 80.17782820 -69.45738200 80.22907330 -69.51048390 80.30132190 -69.49927930 80.24992500 -69.44619860 80.17782820 -69.45738200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_62_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001355659,HLA,2645.32890326687
image,HST,ACS/WFC,f555w,OPTICAL,NGC1928,HST_9891_62_ACS_WFC_F555W,80.2772093322272,-69.4726014091788,Gilmore,3,52874.29874,52874.30257,330,,,53057.75836,9891,2002568210,POLYGON J2000 80.24987280 -69.44623500 80.17777180 -69.45741850 80.22902350 -69.51052310 80.30127640 -69.49931840 80.24987280 -69.44623500 POLYGON J2000 80.32528830 -69.43439180 80.25053160 -69.44579300 80.30459020 -69.49925450 80.37950450 -69.48783010 80.32528830 -69.43439180,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_62_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001355658,HLA,2645.45144062111
image,HST,ACS/WFC,f814w,OPTICAL,NGC1917,HST_9891_61_ACS_WFC_F814W,79.7961917443684,-69.0057494041033,Gilmore,3,52920.55509,52920.55742,200,,,53104.30637,9891,2002568184,POLYGON J2000 79.68757270 -69.02022840 79.75937390 -69.03046810 79.82992380 -68.98043430 79.75825300 -68.97022420 79.68757270 -69.02022840 POLYGON J2000 79.83125390 -68.98028940 79.76177020 -69.03125330 79.83589420 -69.04201590 79.90524020 -68.99102200 79.83125390 -68.98028940,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_61_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001355632,HLA,2673.97320710041
image,HST,ACS/WFC,f555w,OPTICAL,NGC1917,HST_9891_61_ACS_WFC_F555W,79.796084174393,-69.0057636049615,Gilmore,3,52920.54557,52920.54906,300,,,53104.30463,9891,2002568183,POLYGON J2000 79.90513740 -68.99103580 79.83114750 -68.98030220 79.76166210 -69.03126870 79.83578980 -69.04203230 79.90513740 -68.99103580 POLYGON J2000 79.82981560 -68.98044700 79.75814230 -68.97023590 79.68746150 -69.02024330 79.75926520 -69.03048390 79.82981560 -68.98044700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_61_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001355631,HLA,2674.10513985856
image,HST,ACS/WFC,f555w,OPTICAL,NGC1903,HST_9891_60_ACS_WFC_F555W,79.3355433832241,-69.3234441986579,Gilmore,3,53158.04642,53158.04701,50,,,53342.5487,9891,2002568181,POLYGON J2000 79.40043630 -69.29195720 79.24102220 -69.29834740 79.25556730 -69.32650470 79.41518450 -69.32010100 79.40043630 -69.29195720 POLYGON J2000 79.27132370 -69.35400870 79.42950230 -69.34841140 79.41462190 -69.32124640 79.25663840 -69.32683020 79.27132370 -69.35400870,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_60_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001355629,HLA,3476.1803254075
image,HST,ACS/WFC,f814w,OPTICAL,NGC1903,HST_9891_60_ACS_WFC_F814W,79.3354507109283,-69.3234191964411,Gilmore,3,53158.0531,53158.05358,40,,,53342.55044,9891,2002568182,POLYGON J2000 79.25654980 -69.32680410 79.27123560 -69.35398110 79.42940470 -69.34838560 79.41452400 -69.32122200 79.25654980 -69.32680410 POLYGON J2000 79.25547930 -69.32647920 79.41508780 -69.32007660 79.40033980 -69.29193470 79.24093440 -69.29832370 79.25547930 -69.32647920,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_60_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001355630,HLA,3476.27432703931
