#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, RA, Dec, M_V, logAge, elogAge, logMass, Source, AltName, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, float, float, float, float, int, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
Name,RA,Dec,M_V,logAge,elogAge,logMass,Source,AltName,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_11714_88_wfc3_uvis_total,NGC1466,56.1409590771034,-71.6739324729115,55075.24972,55075.26194,720,,DETECTION,,,55083.66667,WFC3/UVIS,Bond,11714,2013641306,POLYGON J2000 56.16574610 -71.67335570 56.14595760 -71.66405830 56.14578931 -71.66408871 56.14569060 -71.66404230 56.11454834 -71.66966462 56.11454400 -71.66966540 56.13432210 -71.67896520 56.13432730 -71.67896530 56.13449202 -71.67893558 56.13458910 -71.67898120 56.13459440 -71.67898120 56.16557775 -71.67338612 56.16574610 -71.67335570,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_11714_88_wfc3_uvis_total&size=ALL&format=jpeg&output_size=256,2004244808,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_11714_88_wfc3_uvis_f555w,NGC1466,56.1485976326249,-71.6721300097425,55075.25451,55075.26194,120,OPTICAL,F555W,,,55083.66667,WFC3/UVIS,Bond,11714,2013641305,POLYGON J2000 56.14578078 -71.66409029 56.14568210 -71.66404390 56.11454400 -71.66966540 56.13432210 -71.67896520 56.13449042 -71.67893483 56.13458910 -71.67898120 56.16556826 -71.67338682 56.16573660 -71.67335640 56.14594900 -71.66405990 56.14578078 -71.66409029,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_11714_88_wfc3_uvis_f555w&size=ALL&format=jpeg&output_size=256,2004244807,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,IB7788020,NGC1466,56.08377605542,-71.67527607361,55075.25451,55075.26194,120,OPTICAL,F555W,GLOBULAR CLUSTER;STELLAR CLUSTER,Snapshot Survey for Planetary Nebulae in Local Group Globular Clusters,55083.66667,WFC3/UVIS,BOND,11714,2012906597,POLYGON 56.12660758 -71.65453638 56.00202469 -71.67711387 56.04172799 -71.6956099 56.1660995 -71.67335407 56.12660758 -71.65453638 56.12660758 -71.65453638,http://archive.stsci.edu/hst/previews/IB77/IB7788020_256.jpg,2003841233,DADS,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_05897_01_wfpc2_total_wf,NGC1466,56.1426970934478,-71.6786324259718,50012.15922,50012.2826,8040,,DETECTION,,,50379.59735,WFPC2/WFC,BOLTE,5897,2013480456,POLYGON J2000 56.19557400 -71.70231800 56.19559112 -71.70229832 56.19552658 -71.70229279 56.13392869 -71.69700248 56.19562400 -71.70230100 56.21198236 -71.68348171 56.21254600 -71.68352900 56.21256285 -71.68350922 56.21259600 -71.68351200 56.21451076 -71.68126334 56.23076794 -71.66215008 56.23078500 -71.66213000 56.23072050 -71.66212459 56.23073800 -71.66210400 56.16279656 -71.65639036 56.16273300 -71.65638500 56.16271555 -71.65640553 56.16265001 -71.65640000 56.16263300 -71.65642000 56.15341322 -71.66725632 56.12661800 -71.66491800 56.12659987 -71.66493858 56.12653600 -71.66493300 56.11961986 -71.67278059 56.08534421 -71.66971883 56.08527900 -71.66971300 56.08526029 -71.66973375 56.08519603 -71.66972800 56.08517800 -71.66974800 56.06597000 -71.69102900 56.06600218 -71.69103188 56.06598400 -71.69105200 56.06608037 -71.69106062 56.13374066 -71.69709527 56.13380500 -71.69710100 56.13382295 -71.69708115 56.13375860 -71.69707542 56.06609900 -71.69104000 56.13385500 -71.69708400 56.13391033 -71.69702279 56.19550946 -71.70231247 56.19557400 -71.70231800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05897_01_wfpc2_total_wf&size=ALL&format=jpeg&output_size=256,2004083958,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_05897_01_wfpc2_total_pc,NGC1466,56.1312549698649,-71.6738754195633,50012.15922,50012.2826,8040,,DETECTION,,,50379.59735,WFPC2/PC,BOLTE,5897,2013480455,POLYGON J2000 56.11794466 -71.67467997 56.11792700 -71.67470000 56.11795976 -71.67470286 56.11794200 -71.67472300 56.11800700 -71.67472900 56.14901500 -71.67743200 56.14903332 -71.67741124 56.14906500 -71.67741400 56.14910095 -71.67737366 56.15767800 -71.66765000 56.15761307 -71.66764434 56.15763100 -71.66762400 56.12661800 -71.66491800 56.12659987 -71.66493858 56.12653600 -71.66493300 56.11794466 -71.67467997,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05897_01_wfpc2_total_pc&size=ALL&format=jpeg&output_size=256,2004083957,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_05897_01_wfpc2_f814w_wf,NGC1466,56.1602508682524,-71.6846008746602,50012.15922,50012.2826,4520,OPTICAL,F814W,,,50379.59735,WFPC2/WFC,BOLTE,5897,2013480454,POLYGON J2000 56.12661800 -71.66491800 56.12659987 -71.66493858 56.12653600 -71.66493300 56.11961986 -71.67278059 56.08527900 -71.66971300 56.08526029 -71.66973375 56.08519603 -71.66972800 56.08517800 -71.66974800 56.06597000 -71.69102900 56.06600218 -71.69103188 56.06598400 -71.69105200 56.13374000 -71.69709600 56.13380434 -71.69710173 56.13382247 -71.69708167 56.13385920 -71.69704104 56.13387820 -71.69702003 56.19550900 -71.70231300 56.19557354 -71.70231853 56.19559112 -71.70229832 56.19562640 -71.70225778 56.21195023 -71.68347902 56.21254600 -71.68352900 56.21446005 -71.68128128 56.21447739 -71.68126091 56.21451219 -71.68122004 56.23071700 -71.66216800 56.23068584 -71.66216539 56.23073800 -71.66210400 56.16273300 -71.65638500 56.16271555 -71.65640553 56.16265001 -71.65640000 56.16263300 -71.65642000 56.15341322 -71.66725632 56.12661800 -71.66491800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05897_01_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004083956,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_05897_01_wfpc2_f814w_pc,NGC1466,56.1287060738663,-71.6733755674968,50012.15922,50012.2826,4520,OPTICAL,F814W,,,50379.59735,WFPC2/PC,BOLTE,5897,2013480453,POLYGON J2000 56.11800700 -71.67472900 56.14901500 -71.67743200 56.14906895 -71.67737087 56.15761000 -71.66768800 56.15757710 -71.66768513 56.15763100 -71.66762400 56.12661800 -71.66491800 56.12659987 -71.66493858 56.12653600 -71.66493300 56.11794466 -71.67467997 56.11792700 -71.67470000 56.11795976 -71.67470286 56.11794200 -71.67472300 56.11800700 -71.67472900,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05897_01_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004083955,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_05897_01_wfpc2_f555w_wf,NGC1466,56.1596216676054,-71.6733896482444,50012.16964,50012.22149,3520,OPTICAL,F555W,,,50379.58325,WFPC2/WFC,BOLTE,5897,2013480452,POLYGON J2000 56.13392869 -71.69700248 56.19562400 -71.70230100 56.21199952 -71.68346195 56.21259600 -71.68351200 56.21451076 -71.68126334 56.23076794 -71.66215008 56.23078500 -71.66213000 56.23072050 -71.66212459 56.23073800 -71.66210400 56.16279656 -71.65639036 56.16273300 -71.65638500 56.15347857 -71.66726202 56.12661800 -71.66491800 56.11968436 -71.67278635 56.08534421 -71.66971883 56.08527900 -71.66971300 56.06607000 -71.69099400 56.06613529 -71.69099984 56.06609900 -71.69104000 56.13385500 -71.69708400 56.13392869 -71.69700248,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05897_01_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004083954,HLA,0
NGC1466,56.1370833333333,-71.6702777777778,-7.59,10.1,0.01,5.31,4,NA,image,3,HST,hst_05897_01_wfpc2_f555w_pc,NGC1466,56.1415878815331,-71.6732317668071,50012.16964,50012.22149,3520,OPTICAL,F555W,,,50379.58325,WFPC2/PC,BOLTE,5897,2013480451,POLYGON J2000 56.12661800 -71.66491800 56.11802800 -71.67466500 56.11809259 -71.67467064 56.11805700 -71.67471100 56.14906500 -71.67741400 56.14910095 -71.67737366 56.15767800 -71.66765000 56.15761307 -71.66764434 56.15763100 -71.66762400 56.12661800 -71.66491800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05897_01_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004083953,HLA,0
NGC1651,69.3795833333333,-70.5838888888889,-7.16,9.3,0.09,5.24,4,NA,image,3,HST,hst_12257_23_wfc3_uvis_total,NGC-1651,69.3857524793866,-70.5820178191619,55850.30049,55850.34171,2870,,DETECTION,,,56216.48058,WFC3/UVIS,Girardi,12257,2014093952,POLYGON J2000 69.44949503 -70.56083613 69.44936490 -70.56010850 69.44922553 -70.56010833 69.44922350 -70.56009700 69.31439165 -70.55988265 69.31317088 -70.55988025 69.31304330 -70.55988000 69.31694440 -70.58252710 69.31707220 -70.58252735 69.31707500 -70.58254360 69.31821950 -70.58254581 69.31825245 -70.58273677 69.31748308 -70.58273363 69.31735280 -70.58273310 69.32114000 -70.60511570 69.32126914 -70.60511622 69.32127240 -70.60513550 69.32242028 -70.60514014 69.32254180 -70.60585720 69.32262080 -70.60585752 69.32262900 -70.60590590 69.32271230 -70.60590624 69.32271480 -70.60592100 69.45845740 -70.60641840 69.45831998 -70.60563832 69.45451890 -70.58403740 69.45443527 -70.58403712 69.45443068 -70.58402249 69.45443010 -70.58401920 69.45434524 -70.58401892 69.45433790 -70.58397720 69.45319990 -70.58397340 69.45312356 -70.58353894 69.45486500 -70.58354100 69.45481438 -70.58325868 69.45472463 -70.58275815 69.45080850 -70.56089300 69.45072495 -70.56089290 69.45072230 -70.56087810 69.45063294 -70.56087799 69.45062570 -70.56083750 69.44949503 -70.56083613,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_12257_23_wfc3_uvis_total&size=ALL&format=jpeg&output_size=256,2004289928,HLA,0
