#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, RA, Dec, M_V, logAge, elogAge, logMass, Source, AltName, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, float, float, float, float, int, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
Name,RA,Dec,M_V,logAge,elogAge,logMass,Source,AltName,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
SL423,80.5554166666667,-69.5135555555556,-6.3,8.4,0.1,4.03,3,NA,image,3,HST,J9IT07CYQ,LMC-FIELD-1,80.49007274606,-69.49816319096,53924.94631,53924.94669,32,OPTICAL,F606W,HIGH LATITUDE FIELD;UNIDENTIFIED,An Astrometric Calibration Field Near the Ecliptic Pole,53925.59818,ACS/WFC,DIAZ-MILLER,10753,2012759212,POLYGON GSC1  80.46748691 -69.45752326  80.59952293 -69.49052549  80.51134537 -69.53909832  80.38468722 -69.50563343  80.46748691 -69.45752326,http://archive.stsci.edu/hst/previews/J9IT/J9IT07CYQ_256.jpg,2003110288,DADS,0
SL423,80.5554166666667,-69.5135555555556,-6.3,8.4,0.1,4.03,3,NA,image,3,HST,J9IT07CZQ,LMC-FIELD-1,80.49007274606,-69.49816319096,53924.94828,53924.95318,423,OPTICAL,F606W,HIGH LATITUDE FIELD;UNIDENTIFIED,An Astrometric Calibration Field Near the Ecliptic Pole,53925.60132,ACS/WFC,DIAZ-MILLER,10753,2012759213,POLYGON GSC1  80.46748691 -69.45752326  80.59952293 -69.49052549  80.51134537 -69.53909832  80.38468722 -69.50563343  80.46748691 -69.45752326,http://archive.stsci.edu/hst/previews/J9IT/J9IT07CZQ_256.jpg,2003110289,DADS,0
SL423,80.5554166666667,-69.5135555555556,-6.3,8.4,0.1,4.03,3,NA,image,3,HST,J9IT07D3Q,LMC-FIELD-1,80.5016997879,-69.51538095503,53924.96249,53924.9674,423,OPTICAL,F606W,HIGH LATITUDE FIELD;UNIDENTIFIED,An Astrometric Calibration Field Near the Ecliptic Pole,53925.60759,ACS/WFC,DIAZ-MILLER,10753,2012759215,POLYGON GSC1  80.47907377 -69.47474253  80.61123380 -69.50773592  80.52301187 -69.55631466  80.39623351 -69.52285819  80.47907377 -69.47474253,http://archive.stsci.edu/hst/previews/J9IT/J9IT07D3Q_256.jpg,2003110291,DADS,0
SL423,80.5554166666667,-69.5135555555556,-6.3,8.4,0.1,4.03,3,NA,image,3,HST,J9IT07D5Q,LMC-FIELD-1,80.53918709199,-69.494095502,53925.01256,53925.01747,423,OPTICAL,F606W,HIGH LATITUDE FIELD;UNIDENTIFIED,An Astrometric Calibration Field Near the Ecliptic Pole,53925.61042,ACS/WFC,DIAZ-MILLER,10753,2012759216,POLYGON GSC1  80.51651251 -69.45346192  80.64859886 -69.48642700  80.56054967 -69.53502462  80.43383865 -69.50159537  80.51651251 -69.45346192,http://archive.stsci.edu/hst/previews/J9IT/J9IT07D5Q_256.jpg,2003110292,DADS,0
NGC1844,76.8708333333333,-67.3233055555556,-6.31,7.9,0.4,3.7,1,NA,image,3,HST,JBJT01AWQ,NGC1846-OUT,76.89886653181,-67.35249410221,55668.28087,55668.28465,326,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,Multiple stellar generations in the Large Magellanic Cloud Star Cluster NGC 1846,56034.46458,ACS/WFC,MILONE,12219,2012760743,POLYGON ICRS  76.78431553 -67.35648932  76.87605257 -67.31196118  76.99788034 -67.34522605  76.90545645 -67.38786672  76.78431553 -67.35648932,http://archive.stsci.edu/hst/previews/JBJT/JBJT01AWQ_256.jpg,2003146988,DADS,0
NGC1844,76.8708333333333,-67.3233055555556,-6.31,7.9,0.4,3.7,1,NA,image,3,HST,JBJT01020,NGC1846-OUT,76.88241811934,-67.34772959987,55667.99863,55668.15494,6300,OPTICAL,F475W,GLOBULAR CLUSTER;STELLAR CLUSTER,Multiple stellar generations in the Large Magellanic Cloud Star Cluster NGC 1846,56034.30444,ACS/WFC,MILONE,12219,2012943713,POLYGON 76.86771425 -67.30923927 76.77597224 -67.35376269 76.89708845 -67.38514632 76.98951665 -67.3425104 76.86771425 -67.30923927 76.86771425 -67.30923927,http://archive.stsci.edu/hst/previews/JBJT/JBJT01020_256.jpg,2003878349,DADS,0
NGC1844,76.8708333333333,-67.3233055555556,-6.31,7.9,0.4,3.7,1,NA,image,3,HST,JBJT01011,NGC1846-OUT,76.88127464873,-67.34740016863,55667.95919,55667.96867,680,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,Multiple stellar generations in the Large Magellanic Cloud Star Cluster NGC 1846,56034.10242,ACS/WFC,MILONE,12219,2014200413,POLYGON   76.77483008 -67.35343249  76.86657302 -67.30890974  76.98837211 -67.34218178  76.89594306 -67.38481701  76.77483008 -67.35343249,http://archive.stsci.edu/hst/previews/JBJT/JBJT01011_256.jpg,2004328048,DADS,0
NGC1844,76.8708333333333,-67.3233055555556,-6.31,7.9,0.4,3.7,1,NA,image,3,HST,JBJT01031,NGC1846-OUT,76.89042351831,-67.35003518375,55668.15839,55668.16787,680,OPTICAL,F814W,GLOBULAR CLUSTER;STELLAR CLUSTER,Multiple stellar generations in the Large Magellanic Cloud Star Cluster NGC 1846,56034.35616,ACS/WFC,MILONE,12219,2014200414,POLYGON   76.78396955 -67.35607356  76.87570561 -67.31154561  76.99753081 -67.34481072  76.90510794 -67.38745121  76.78396955 -67.35607356,http://archive.stsci.edu/hst/previews/JBJT/JBJT01031_256.jpg,2004328049,DADS,0
SL492,81.9291666666667,-68.9856111111111,-7.47,7.7,0.2,4.04,1,NA,image,3,HST,HST_9891_68_ACS_WFC_F555W,NGC1983,81.9752480516357,-68.9899488368696,52919.82753,52919.82778,20,OPTICAL,F555W,,,53103.0695,ACS/WFC,Gilmore,9891,2013676482,POLYGON J2000 81.94181560 -69.01527460 82.00552680 -68.96408060 81.93262220 -68.95511550 81.86876730 -69.00628220 81.94181560 -69.01527460 POLYGON J2000 82.08212010 -68.97336030 82.00683660 -68.96391310 81.94431330 -69.01601720 82.01974840 -69.02549190 82.08212010 -68.97336030,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_68_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004279984,HLA,0
SL492,81.9291666666667,-68.9856111111111,-7.47,7.7,0.2,4.04,1,NA,image,3,HST,HST_9891_68_ACS_WFC_F814W,NGC1983,81.9753533969284,-68.9899328361754,52919.83387,52919.83412,20,OPTICAL,F814W,,,53103.07125,ACS/WFC,Gilmore,9891,2013676483,POLYGON J2000 81.93273090 -68.95510170 81.86887590 -69.00626550 81.94192180 -69.01525700 82.00563310 -68.96406600 81.93273090 -68.95510170 POLYGON J2000 82.00694110 -68.96389840 81.94441890 -69.01600000 82.01985050 -69.02547380 82.08222100 -68.97334480 82.00694110 -68.96389840,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9891_68_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004279985,HLA,0
