#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, RA, Dec, M_V, logAge, elogAge, logMass, Source, AltName, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, float, float, float, float, int, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
Name,RA,Dec,M_V,logAge,elogAge,logMass,Source,AltName,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,J8DJ02020,ANY,74.14640148981,-66.47572698557,52635.36027,52635.37656,1164,OPTICAL,F502N,EXT-CLUSTER;EXT-MEDIUM;HII REGION;OB ASSOCIATION,The Complete IMF of a Massive Young Cluster,53000.367,ACS/HRC,MAIZ APELLANIZ,9419,2012925981,POLYGON 74.13949936 -66.4708432 74.13446296 -66.47762667 74.15333303 -66.48066217 74.15819482 -66.47387292 74.13949936 -66.4708432 74.13949936 -66.4708432,http://archive.stsci.edu/hst/previews/J8DJ/J8DJ02020_256.jpg,2003860617,DADS,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,J8DJ05030,N11-POS5,74.12191666667,-66.47015277778,52807.12345,52807.13045,466,OPTICAL,F435W,EXT-CLUSTER;EXT-MEDIUM;HII REGION;OB ASSOCIATION,The Complete IMF of a Massive Young Cluster,53173.12346,ACS/WFC,MAIZ APELLANIZ,9419,2012925997,POLYGON 74.20453189 -66.44399008 74.06512241 -66.43272149 74.04792941 -66.4884863 74.18361442 -66.50092758 74.20453189 -66.44399008 74.20453189 -66.44399008,http://archive.stsci.edu/hst/previews/J8DJ/J8DJ05030_256.jpg,2003860633,DADS,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,J8DJ05040,N11-POS5,74.12191666667,-66.47015277778,52807.164,52807.19791,813,OPTICAL,F660N,EXT-CLUSTER;EXT-MEDIUM;HII REGION;OB ASSOCIATION,The Complete IMF of a Massive Young Cluster,53173.16803,ACS/WFC,MAIZ APELLANIZ,9419,2012925998,POLYGON 74.20453189 -66.44399008 74.06512241 -66.43272149 74.04792941 -66.4884863 74.18361442 -66.50092758 74.20453189 -66.44399008 74.20453189 -66.44399008,http://archive.stsci.edu/hst/previews/J8DJ/J8DJ05040_256.jpg,2003860634,DADS,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,J8DJ05050,N11-POS5,74.12191666667,-66.47015277778,52807.02536,52807.03237,467,OPTICAL,F814W,EXT-CLUSTER;EXT-MEDIUM;HII REGION;OB ASSOCIATION,The Complete IMF of a Massive Young Cluster,53173.02538,ACS/WFC,MAIZ APELLANIZ,9419,2012925999,POLYGON 74.20453189 -66.44399008 74.06512241 -66.43272149 74.04792941 -66.4884863 74.18361442 -66.50092758 74.20453189 -66.44399008 74.20453189 -66.44399008,http://archive.stsci.edu/hst/previews/J8DJ/J8DJ05050_256.jpg,2003860635,DADS,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,J8DJ05060,N11-POS5,74.12191666667,-66.47015277778,52807.1326,52807.16198,813,OPTICAL,F658N,EXT-CLUSTER;EXT-MEDIUM;HII REGION;OB ASSOCIATION,The Complete IMF of a Massive Young Cluster,53173.13663,ACS/WFC,MAIZ APELLANIZ,9419,2012926000,POLYGON 74.20453189 -66.44399008 74.06512241 -66.43272149 74.04792941 -66.4884863 74.18361442 -66.50092758 74.20453189 -66.44399008 74.20453189 -66.44399008,http://archive.stsci.edu/hst/previews/J8DJ/J8DJ05060_256.jpg,2003860636,DADS,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_F220W,ANY,74.1458376883886,-66.4755519029488,52635.40788,52635.41205,359,UV,F220W,,,53000.46873,ACS/HRC,Maiz-Apellaniz,9419,2013661431,POLYGON J2000 74.15275940 -66.48045920 74.15770370 -66.47367570 74.13891870 -66.47064430 74.13396990 -66.47742720 74.15275940 -66.48045920,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_F220W&size=ALL&format=jpeg&output_size=256,2004264933,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_F250W,ANY,74.1458377385418,-66.4755519029025,52635.34704,52635.3512,359,UV;OPTICAL,F250W,,,53000.44065,ACS/HRC,Maiz-Apellaniz,9419,2013661432,POLYGON J2000 74.13396990 -66.47742770 74.15275840 -66.48045940 74.15770370 -66.47367520 74.13891980 -66.47064410 74.13396990 -66.47742770,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_F250W&size=ALL&format=jpeg&output_size=256,2004264934,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_F330W,ANY,74.145837687887,-66.475551852987,52635.43405,52635.43822,359,OPTICAL,F330W,,,53000.67925,ACS/HRC,Maiz-Apellaniz,9419,2013661433,POLYGON J2000 74.15770620 -66.47367510 74.13891780 -66.47064310 74.13396740 -66.47742780 74.15276030 -66.48046030 74.15770620 -66.47367510,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_F330W&size=ALL&format=jpeg&output_size=256,2004264935,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_F502N,ANY,74.1458377135669,-66.4755518779001,52635.36028,52635.37656,1164,OPTICAL,F502N,,,53000.367,ACS/HRC,Maiz-Apellaniz,9419,2013661434,POLYGON J2000 74.13891980 -66.47064410 74.13397000 -66.47742770 74.15275830 -66.48045940 74.15770360 -66.47367520 74.13891980 -66.47064410,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_F502N&size=ALL&format=jpeg&output_size=256,2004264936,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_F550M,ANY,74.1458376885553,-66.4755519029022,52635.42103,52635.4252,359,OPTICAL,F550M,,,53000.67049,ACS/HRC,Maiz-Apellaniz,9419,2013661435,POLYGON J2000 74.15770370 -66.47367520 74.13891980 -66.47064410 74.13396990 -66.47742770 74.15275830 -66.48045940 74.15770370 -66.47367520,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_F550M&size=ALL&format=jpeg&output_size=256,2004264937,HLA,0
HD32228,74.1416666666667,-66.4736111111111,-7.77,7.3,0.2,3.89,1,NA,image,3,HST,HST_9419_02_ACS_HRC_total,ANY,74.1458377135669,-66.4755518779001,52635.36028,52635.37656,1164,,DETECTION,,,53000.367,ACS/HRC,Maiz-Apellaniz,9419,2013661436,POLYGON J2000 74.13397000 -66.47742770 74.15275830 -66.48045940 74.15770360 -66.47367520 74.13891980 -66.47064410 74.13397000 -66.47742770,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9419_02_ACS_HRC_total&size=ALL&format=jpeg&output_size=256,2004264938,HLA,0
