#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Names, RAJ2000, DEJ2000, Type, amaj, amin, PA, Com, SimbadName, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
NKN-N160-O7,85.1708333333333,-69.6116666666667,C,0.8299999833106995,0.8299999833106995,0,,[NKN2005] N160-O7,image,3,HST,HST_9827_13_ACS_WFC_F435W,ANY,85.140488143975,-69.5945830350121,53152.24319,53152.2513,130,OPTICAL,F435W,,,53517.37378,ACS/WFC,Bianchi,9827,2013673676,POLYGON J2000 85.09361900 -69.62895170 85.24767760 -69.61267360 85.21783730 -69.58703440 85.06394150 -69.60328640 85.09361900 -69.62895170 POLYGON J2000 85.03265540 -69.57640340 85.06269800 -69.60303980 85.21775990 -69.58587190 85.18754810 -69.55926230 85.03265540 -69.57640340,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9827_13_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2004277178,HLA,0
BSDL2757,85.0916666666667,-69.6113888888889,C,0.6000000238418579,0.5,160,"mT,in NKN-N160-O6,in LMC-N160",BSDL2757,image,3,HST,HST_9827_13_ACS_WFC_F435W,ANY,85.140488143975,-69.5945830350121,53152.24319,53152.2513,130,OPTICAL,F435W,,,53517.37378,ACS/WFC,Bianchi,9827,2013673676,POLYGON J2000 85.09361900 -69.62895170 85.24767760 -69.61267360 85.21783730 -69.58703440 85.06394150 -69.60328640 85.09361900 -69.62895170 POLYGON J2000 85.03265540 -69.57640340 85.06269800 -69.60303980 85.21775990 -69.58587190 85.18754810 -69.55926230 85.03265540 -69.57640340,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9827_13_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2004277178,HLA,0
BM14,85.8708333333333,-67.7525,CA,0.5,0.3499999940395355,40,,BMG 14,image,3,HST,hst_09827_03_wfpc2_f336w_wf,ANY,85.84153034663,-67.7548107975487,53147.66545,53147.66811,100,OPTICAL,F336W,,,53512.82948,WFPC2/WFC,BIANCHI,9827,2013583290,POLYGON J2000 85.83600083 -67.77113668 85.83962800 -67.77163600 85.84980778 -67.76105667 85.87147200 -67.76413000 85.87902460 -67.75648930 85.90677200 -67.76049300 85.92758500 -67.73982400 85.87294800 -67.73193600 85.87286692 -67.73201657 85.82307000 -67.72503700 85.80516776 -67.74335293 85.80468300 -67.74328600 85.78471000 -67.76406500 85.78486629 -67.76408658 85.83374320 -67.77082584 85.83600083 -67.77113668,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_03_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004186792,HLA,0
"SL654,KMHK1231",85.2916666666667,-69.9044444444444,CN,1.2999999523162842,1.100000023841858,120,"mP,sup?DEML282",[SL63] 654,image,3,HST,HST_9827_14_ACS_WFC_F814W,ANY,85.2092202475122,-69.9184388040048,52920.05994,52920.06706,80,OPTICAL,F814W,,,53286.51425,ACS/WFC,Bianchi,9827,2013673684,POLYGON J2000 85.19209630 -69.94614890 85.27470430 -69.95025940 85.30946450 -69.89480930 85.22706810 -69.89071510 85.19209630 -69.94614890 POLYGON J2000 85.22582150 -69.89096950 85.14611480 -69.88718360 85.10921320 -69.94178900 85.18912130 -69.94559140 85.22582150 -69.89096950,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9827_14_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004277186,HLA,0
BSDL2800,85.2833333333333,-69.9122222222222,CN,0.800000011920929,0.6499999761581421,110,"mP,sup?DEML282",BSDL2800,image,3,HST,HST_9827_14_ACS_WFC_F814W,ANY,85.2092202475122,-69.9184388040048,52920.05994,52920.06706,80,OPTICAL,F814W,,,53286.51425,ACS/WFC,Bianchi,9827,2013673684,POLYGON J2000 85.19209630 -69.94614890 85.27470430 -69.95025940 85.30946450 -69.89480930 85.22706810 -69.89071510 85.19209630 -69.94614890 POLYGON J2000 85.22582150 -69.89096950 85.14611480 -69.88718360 85.10921320 -69.94178900 85.18912130 -69.94559140 85.22582150 -69.89096950,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9827_14_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004277186,HLA,0
NKN-N159S-Y1,85.0541666666667,-69.8325,C,0.6399999856948853,0.6399999856948853,0,,[NKN2005] N159S-Y1,image,3,HST,hst_09827_14_wfpc2_f336w_wf,ANY,85.0549046952668,-69.839088368629,52920.03698,52920.0386,40,OPTICAL,F336W,,,53286.47968,WFPC2/WFC,BIANCHI,9827,2013583422,POLYGON J2000 85.09651974 -69.82427921 85.09698500 -69.82416700 85.06023700 -69.80604300 85.00761700 -69.81872000 85.02631834 -69.82795106 85.00535700 -69.83290100 85.01874934 -69.83963453 84.99172900 -69.84593200 85.02768900 -69.86425300 85.07677322 -69.85280566 85.08088300 -69.85184600 85.08074516 -69.85177583 85.12872800 -69.84034600 85.09651974 -69.82427921,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_14_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004186924,HLA,0
NKN-N159S-Y1,85.0541666666667,-69.8325,C,0.6399999856948853,0.6399999856948853,0,,[NKN2005] N159S-Y1,image,3,HST,hst_09827_14_wfpc2_f555w_wf,ANY,85.0549046952668,-69.839088368629,52920.05295,52920.05446,20,OPTICAL,F555W,,,53286.50354,WFPC2/WFC,BIANCHI,9827,2013583426,POLYGON J2000 85.12872800 -69.84034600 85.09651974 -69.82427921 85.09698500 -69.82416700 85.06023700 -69.80604300 85.00761700 -69.81872000 85.02631834 -69.82795106 85.00535700 -69.83290100 85.01874934 -69.83963453 84.99172900 -69.84593200 85.02768900 -69.86425300 85.07677322 -69.85280566 85.08088300 -69.85184600 85.08074516 -69.85177583 85.12872800 -69.84034600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_14_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004186928,HLA,0
NKN-N160-O4,85.0041666666666,-69.6808333333333,C,0.8999999761581421,0.8999999761581421,0,,[NKN2005] N160-O4,image,3,HST,hst_09827_13_wfpc2_f555w_wf,ANY,84.9975811392365,-69.6877148653695,53152.2592,53152.26071,20,OPTICAL,F555W,,,53517.81446,WFPC2/WFC,BIANCHI,9827,2013583414,POLYGON J2000 85.00495054 -69.69421796 85.02768000 -69.69801900 85.03786740 -69.69066772 85.06696400 -69.69560300 85.09494200 -69.67572900 85.03765000 -69.66600600 85.03754024 -69.66608403 84.98527000 -69.65743100 84.96106661 -69.67506115 84.96055800 -69.67497800 84.93346300 -69.69498900 84.93361961 -69.69501461 84.98495287 -69.70339669 84.98732953 -69.70378424 84.99114300 -69.70440600 85.00495054 -69.69421796,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_13_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004186916,HLA,0
"BRHT19a,NKN-N160-Y4",85.0375,-69.6722222222222,C,0.28999999165534973,0.28999999165534973,0,"mP,in NGC2085",BRHT19a,image,3,HST,hst_09827_13_wfpc2_f555w_wf,ANY,84.9975811392365,-69.6877148653695,53152.2592,53152.26071,20,OPTICAL,F555W,,,53517.81446,WFPC2/WFC,BIANCHI,9827,2013583414,POLYGON J2000 85.00495054 -69.69421796 85.02768000 -69.69801900 85.03786740 -69.69066772 85.06696400 -69.69560300 85.09494200 -69.67572900 85.03765000 -69.66600600 85.03754024 -69.66608403 84.98527000 -69.65743100 84.96106661 -69.67506115 84.96055800 -69.67497800 84.93346300 -69.69498900 84.93361961 -69.69501461 84.98495287 -69.70339669 84.98732953 -69.70378424 84.99114300 -69.70440600 85.00495054 -69.69421796,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_13_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004186916,HLA,0
BM14,85.8708333333333,-67.7525,CA,0.5,0.3499999940395355,40,,BMG 14,image,3,HST,hst_09827_03_wfpc2_f336w_pc,ANY,85.8636408250197,-67.7576206874021,53147.66545,53147.66811,100,OPTICAL,F336W,,,53512.82948,WFPC2/PC,BIANCHI,9827,2013583289,POLYGON J2000 85.85581400 -67.75111100 85.84645000 -67.76058000 85.87147200 -67.76413000 85.88083400 -67.75465800 85.85581400 -67.75111100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_09827_03_wfpc2_f336w_pc&size=ALL&format=jpeg&output_size=256,2004186791,HLA,2.49795709431511
