#@string, string, string, string, ra, dec, string, string, string, string, string, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,filename,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument_,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
ACS,WFC,12257,ANY,82.452103,-66.233273,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40eiq_flt.fits,image,3,HST,JBHY40010,ANY,82.45020584506,-66.23379850425,55788.47931,55788.50707,1000,OPTICAL,F555W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56154.56968,ACS/WFC,GIRARDI,12257,2012943545,POLYGON 82.44540069 -66.1894921 82.36215529 -66.23454128 82.46353758 -66.27217829 82.55160979 -66.22686408 82.44540069 -66.1894921 82.44540069 -66.1894921,http://archive.stsci.edu/hst/previews/JBHY/JBHY40010_256.jpg,2003878181,DADS,0
ACS,WFC,12257,ANY,82.452103,-66.233273,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40eiq_flt.fits,image,3,HST,JBHY40020,ANY,82.4521030016,-66.23327330956,55788.51204,55788.52569,700,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56154.66778,ACS/WFC,GIRARDI,12257,2012943546,POLYGON 82.4472946 -66.18896695 82.36405433 -66.23401715 82.46543737 -66.27165291 82.55350431 -66.22633762 82.4472946 -66.18896695 82.4472946 -66.18896695,http://archive.stsci.edu/hst/previews/JBHY/JBHY40020_256.jpg,2003878182,DADS,0
ACS,WFC,12257,ANY,82.452,-66.233305,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40emq_flt.fits,image,3,HST,JBHY40010,ANY,82.45020584506,-66.23379850425,55788.47931,55788.50707,1000,OPTICAL,F555W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56154.56968,ACS/WFC,GIRARDI,12257,2012943545,POLYGON 82.44540069 -66.1894921 82.36215529 -66.23454128 82.46353758 -66.27217829 82.55160979 -66.22686408 82.44540069 -66.1894921 82.44540069 -66.1894921,http://archive.stsci.edu/hst/previews/JBHY/JBHY40010_256.jpg,2003878181,DADS,0
ACS,WFC,12257,ANY,82.452,-66.233305,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40emq_flt.fits,image,3,HST,JBHY40020,ANY,82.4521030016,-66.23327330956,55788.51204,55788.52569,700,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56154.66778,ACS/WFC,GIRARDI,12257,2012943546,POLYGON 82.4472946 -66.18896695 82.36405433 -66.23401715 82.46543737 -66.27165291 82.55350431 -66.22633762 82.4472946 -66.18896695 82.4472946 -66.18896695,http://archive.stsci.edu/hst/previews/JBHY/JBHY40020_256.jpg,2003878182,DADS,0
ACS,WFC,12257,ANY,77.421712,-67.878272,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sfq_flt.fits,image,3,HST,JBHY41010,ANY,77.42171173758,-67.87827222157,55846.85295,55846.86715,1000,OPTICAL,F555W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56212.99887,ACS/WFC,GIRARDI,12257,2012943547,POLYGON 77.40484934 -67.84335364 77.32327114 -67.88959869 77.45700359 -67.91754404 77.53703499 -67.86932204 77.40484934 -67.84335364 77.40484934 -67.84335364,http://archive.stsci.edu/hst/previews/JBHY/JBHY41010_256.jpg,2003878183,DADS,0
ACS,WFC,12257,ANY,77.421712,-67.878272,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sfq_flt.fits,image,3,HST,JBHY41020,ANY,77.4234094354,-67.8789443027,55846.87212,55846.88578,700,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56213.04815,ACS/WFC,GIRARDI,12257,2012943548,POLYGON 77.4065441 -67.84402589 77.32496697 -67.8902718 77.45870537 -67.91821574 77.53873549 -67.8699929 77.4065441 -67.84402589 77.4065441 -67.84402589,http://archive.stsci.edu/hst/previews/JBHY/JBHY41020_256.jpg,2003878184,DADS,0
ACS,WFC,12257,ANY,77.421837,-67.878277,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41siq_flt.fits,image,3,HST,JBHY41010,ANY,77.42171173758,-67.87827222157,55846.85295,55846.86715,1000,OPTICAL,F555W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56212.99887,ACS/WFC,GIRARDI,12257,2012943547,POLYGON 77.40484934 -67.84335364 77.32327114 -67.88959869 77.45700359 -67.91754404 77.53703499 -67.86932204 77.40484934 -67.84335364 77.40484934 -67.84335364,http://archive.stsci.edu/hst/previews/JBHY/JBHY41010_256.jpg,2003878183,DADS,0
ACS,WFC,12257,ANY,77.421837,-67.878277,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41siq_flt.fits,image,3,HST,JBHY41020,ANY,77.4234094354,-67.8789443027,55846.87212,55846.88578,700,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56213.04815,ACS/WFC,GIRARDI,12257,2012943548,POLYGON 77.4065441 -67.84402589 77.32496697 -67.8902718 77.45870537 -67.91821574 77.53873549 -67.8699929 77.4065441 -67.84402589 77.4065441 -67.84402589,http://archive.stsci.edu/hst/previews/JBHY/JBHY41020_256.jpg,2003878184,DADS,0
ACS,WFC,12257,ANY,77.423409,-67.878944,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41smq_flt.fits,image,3,HST,JBHY41010,ANY,77.42171173758,-67.87827222157,55846.85295,55846.86715,1000,OPTICAL,F555W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56212.99887,ACS/WFC,GIRARDI,12257,2012943547,POLYGON 77.40484934 -67.84335364 77.32327114 -67.88959869 77.45700359 -67.91754404 77.53703499 -67.86932204 77.40484934 -67.84335364 77.40484934 -67.84335364,http://archive.stsci.edu/hst/previews/JBHY/JBHY41010_256.jpg,2003878183,DADS,0
ACS,WFC,12257,ANY,77.423409,-67.878944,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41smq_flt.fits,image,3,HST,JBHY41020,ANY,77.4234094354,-67.8789443027,55846.87212,55846.88578,700,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56213.04815,ACS/WFC,GIRARDI,12257,2012943548,POLYGON 77.4065441 -67.84402589 77.32496697 -67.8902718 77.45870537 -67.91821574 77.53873549 -67.8699929 77.4065441 -67.84402589 77.4065441 -67.84402589,http://archive.stsci.edu/hst/previews/JBHY/JBHY41020_256.jpg,2003878184,DADS,0
ACS,WFC,12257,ANY,77.423308,-67.878908,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sqq_flt.fits,image,3,HST,JBHY41010,ANY,77.42171173758,-67.87827222157,55846.85295,55846.86715,1000,OPTICAL,F555W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56212.99887,ACS/WFC,GIRARDI,12257,2012943547,POLYGON 77.40484934 -67.84335364 77.32327114 -67.88959869 77.45700359 -67.91754404 77.53703499 -67.86932204 77.40484934 -67.84335364 77.40484934 -67.84335364,http://archive.stsci.edu/hst/previews/JBHY/JBHY41010_256.jpg,2003878183,DADS,0
