#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
50,11.797625,-73.4779138888889,NGC265;K24;L34;ESO29SC14,image,3,HST,J90601010,NGC-265,11.79625,-73.47780555556,53317.07328,53317.08542,560,OPTICAL,F814W,EXT-CLUSTER;UNDESIGNATED,The 3-D Shape of the SMC: Is It Tidally Distorted?,53682.07837,ACS/WFC,OLSZEWSKI,10126,2012931736,POLYGON 11.8980807 -73.47842164 11.72685481 -73.45180176 11.68678881 -73.47729198 11.86182328 -73.50368988 11.8980807 -73.47842164 11.8980807 -73.47842164,http://archive.stsci.edu/hst/previews/J906/J90601010_256.jpg,2003866372,DADS,0
50,11.797625,-73.4779138888889,NGC265;K24;L34;ESO29SC14,image,3,HST,J90601020,NGC-265,11.79625,-73.47780555556,53317.05911,53317.07125,560,OPTICAL,F555W,EXT-CLUSTER;UNDESIGNATED,The 3-D Shape of the SMC: Is It Tidally Distorted?,53682.0642,ACS/WFC,OLSZEWSKI,10126,2012931737,POLYGON 11.8980807 -73.47842164 11.72685481 -73.45180176 11.68678881 -73.47729198 11.86182328 -73.50368988 11.8980807 -73.47842164 11.8980807 -73.47842164,http://archive.stsci.edu/hst/previews/J906/J90601020_256.jpg,2003866373,DADS,0
50,11.797625,-73.4779138888889,NGC265;K24;L34;ESO29SC14,image,3,HST,HST_10126_01_ACS_WFC_F435W,NGC-265,11.7759883210017,-73.4912384545187,53317.0519,53317.057,440,OPTICAL,F435W,,,53682.21918,ACS/WFC,Olszewski,10126,2013589378,POLYGON J2000 11.82422720 -73.53070440 11.86448970 -73.50446170 11.68748100 -73.47824410 11.64700720 -73.50445290 11.82422720 -73.53070440 POLYGON J2000 11.90214420 -73.47852240 11.72863980 -73.45198040 11.69031930 -73.47740730 11.86402380 -73.50398090 11.90214420 -73.47852240,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_01_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2004192880,HLA,0
50,11.797625,-73.4779138888889,NGC265;K24;L34;ESO29SC14,image,3,HST,HST_10126_01_ACS_WFC_F555W,NGC-265,11.7759883540799,-73.4912388284276,53317.05912,53317.07125,560,OPTICAL,F555W,,,53682.0642,ACS/WFC,Olszewski,10126,2013589379,POLYGON J2000 11.68748360 -73.47824450 11.64700970 -73.50445300 11.82422470 -73.53070400 11.86448730 -73.50446160 11.68748360 -73.47824450 POLYGON J2000 11.86401970 -73.50398060 11.90214030 -73.47852270 11.72864390 -73.45198220 11.69032320 -73.47740850 11.86401970 -73.50398060,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_01_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004192881,HLA,0
50,11.797625,-73.4779138888889,NGC265;K24;L34;ESO29SC14,image,3,HST,HST_10126_01_ACS_WFC_F814W,NGC-265,11.7759868133515,-73.4912396396824,53317.07329,53317.08542,560,OPTICAL,F814W,,,53682.07837,ACS/WFC,Olszewski,10126,2013589380,POLYGON J2000 11.68748690 -73.47824550 11.64701620 -73.50445260 11.82422140 -73.53070300 11.86448080 -73.50446200 11.68748690 -73.47824550 POLYGON J2000 11.72864510 -73.45198430 11.69032760 -73.47740970 11.86401250 -73.50398160 11.90212990 -73.47852470 11.72864510 -73.45198430,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_01_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004192882,HLA,0
50,11.797625,-73.4779138888889,NGC265;K24;L34;ESO29SC14,image,3,HST,HST_10126_01_ACS_WFC_total,NGC-265,11.7759875837157,-73.491239234055,53317.05912,53317.08542,1120,,DETECTION,,,53682.07837,ACS/WFC,Olszewski,10126,2013589381,POLYGON J2000 11.64700970 -73.50445300 11.82422470 -73.53070400 11.86448730 -73.50446160 11.68748360 -73.47824450 11.64700970 -73.50445300 POLYGON J2000 11.86401970 -73.50398060 11.90214030 -73.47852270 11.72864390 -73.45198220 11.69032320 -73.47740850 11.69032861 -73.47740933 11.86401200 -73.50398160 11.86401465 -73.50397983 11.86401970 -73.50398060,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_01_ACS_WFC_total&size=ALL&format=jpeg&output_size=256,2004192883,HLA,0
68,12.801375,-73.1616944444445,NGC290;L42;ESO29SC19,image,3,HST,J90604010,NGC-290,12.81333333333,-73.16219444444,53308.37476,53308.3869,560,OPTICAL,F814W,EXT-CLUSTER;HALO;UNDESIGNATED,The 3-D Shape of the SMC: Is It Tidally Distorted?,53673.37985,ACS/WFC,OLSZEWSKI,10126,2012931742,POLYGON 12.91320635 -73.16078866 12.73910816 -73.13763007 12.70599589 -73.16385344 12.88379134 -73.18671425 12.91320635 -73.16078866 12.91320635 -73.16078866,http://archive.stsci.edu/hst/previews/J906/J90604010_256.jpg,2003866378,DADS,0
68,12.801375,-73.1616944444445,NGC290;L42;ESO29SC19,image,3,HST,J90604020,NGC-290,12.81333333333,-73.16219444444,53308.36059,53308.37273,560,OPTICAL,F555W,EXT-CLUSTER;HALO;UNDESIGNATED,The 3-D Shape of the SMC: Is It Tidally Distorted?,53673.36568,ACS/WFC,OLSZEWSKI,10126,2012931743,POLYGON 12.91320635 -73.16078866 12.73910816 -73.13763007 12.70599589 -73.16385344 12.88379134 -73.18671425 12.91320635 -73.16078866 12.91320635 -73.16078866,http://archive.stsci.edu/hst/previews/J906/J90604020_256.jpg,2003866379,DADS,0
68,12.801375,-73.1616944444445,NGC290;L42;ESO29SC19,image,3,HST,HST_10126_04_ACS_WFC_F435W,NGC-290,12.7964823120534,-73.1759607844371,53308.35338,53308.35848,440,OPTICAL,F435W,,,53675.68837,ACS/WFC,Olszewski,10126,2013589390,POLYGON J2000 12.88577130 -73.18692610 12.91696490 -73.16077360 12.74065420 -73.13773760 12.70923630 -73.16386330 12.88577130 -73.18692610 POLYGON J2000 12.70665770 -73.16475440 12.67333960 -73.19170270 12.85326200 -73.21437360 12.88634350 -73.18739640 12.70665770 -73.16475440,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2004192892,HLA,0
68,12.801375,-73.1616944444445,NGC290;L42;ESO29SC19,image,3,HST,HST_10126_04_ACS_WFC_F555W,NGC-290,12.7964822716523,-73.17596124551,53308.3606,53308.37273,560,OPTICAL,F555W,,,53673.36568,ACS/WFC,Olszewski,10126,2013589391,POLYGON J2000 12.91696050 -73.16077410 12.74065890 -73.13773960 12.70924070 -73.16386450 12.88576670 -73.18692580 12.91696050 -73.16077410 POLYGON J2000 12.85325900 -73.21437310 12.88634060 -73.18739640 12.70666060 -73.16475490 12.67334250 -73.19170270 12.85325900 -73.21437310,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004192893,HLA,0
