#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,J96104010,NGC339,14.44946191428,-74.47331354683,53702.39164,53702.44677,20,OPTICAL,F814W,EXT-CLUSTER;GLOBULAR CLUSTER,"Star Clusters, Stellar Populations, and the Evolution of the Small Magellanic Cloud",54067.64837,ACS/WFC,GALLAGHER,10396,2012933906,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,http://archive.stsci.edu/hst/previews/J961/J96104010_256.jpg,2003868542,DADS,0
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,J96104020,NGC339,14.44946191428,-74.47331354683,53702.44863,53702.52608,1896,OPTICAL,F814W,EXT-CLUSTER;GLOBULAR CLUSTER,"Star Clusters, Stellar Populations, and the Evolution of the Small Magellanic Cloud",54067.83084,ACS/WFC,GALLAGHER,10396,2012933907,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,http://archive.stsci.edu/hst/previews/J961/J96104020_256.jpg,2003868543,DADS,0
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,J96104030,NGC339,14.44946191428,-74.47331354683,53702.53216,53702.58013,40,OPTICAL,F555W,EXT-CLUSTER;GLOBULAR CLUSTER,"Star Clusters, Stellar Populations, and the Evolution of the Small Magellanic Cloud",54067.84492,ACS/WFC,GALLAGHER,10396,2012933908,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,http://archive.stsci.edu/hst/previews/J961/J96104030_256.jpg,2003868544,DADS,0
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,J96104040,NGC339,14.44946191428,-74.47331354683,53702.58199,53702.65223,1984,OPTICAL,F555W,EXT-CLUSTER;GLOBULAR CLUSTER,"Star Clusters, Stellar Populations, and the Evolution of the Small Magellanic Cloud",54067.86611,ACS/WFC,GALLAGHER,10396,2012933909,POLYGON 14.57891617 -74.47602166 14.44375862 -74.43393488 14.29222269 -74.4747052 14.43474196 -74.51690847 14.57891617 -74.47602166 14.57891617 -74.47602166,http://archive.stsci.edu/hst/previews/J961/J96104040_256.jpg,2003868545,DADS,0
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,hst_05475_02_wfpc2_f555w_pc,NGC339,14.4350458881532,-74.4693370016821,49449.75922,49449.76154,200,OPTICAL,F555W,,,49936.99013,WFPC2/PC,SHARA,5475,2013474491,POLYGON J2000 14.43591000 -74.46218800 14.40836500 -74.46910200 14.43418100 -74.47648600 14.46172700 -74.46957000 14.43591000 -74.46218800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05475_02_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004077993,HLA,1.36391946242233
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,hst_05475_02_wfpc2_f555w_wf,NGC339,14.4116838497847,-74.463105304382,49449.75922,49449.76154,200,OPTICAL,F555W,,,49936.99013,WFPC2/WFC,SHARA,5475,2013474492,POLYGON J2000 14.32451205 -74.46188688 14.37526162 -74.47613787 14.37763673 -74.47680392 14.38141400 -74.47786300 14.41183358 -74.47009467 14.43418100 -74.47648600 14.45639854 -74.47090856 14.48491800 -74.47915700 14.54551400 -74.46413000 14.48937000 -74.44788200 14.48913145 -74.44794124 14.43761600 -74.43332000 14.38460797 -74.44672827 14.38410200 -74.44658600 14.32438800 -74.46185200 14.32451205 -74.46188688,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05475_02_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004077994,HLA,0
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,HST_10396_04_ACS_WFC_F555W,NGC339,14.4400916580128,-74.4757954752159,53702.53218,53702.65225,2024,OPTICAL,F555W,,,54067.86611,ACS/WFC,Gallagher,10396,2013601197,POLYGON J2000 14.37106310 -74.45394550 14.37242805 -74.45436681 14.37258928 -74.45441657 14.37219150 -74.45452740 14.37257818 -74.45464675 14.37238920 -74.45469940 14.41213937 -74.46695507 14.37024270 -74.45438060 14.36851355 -74.45485503 14.36714200 -74.45444290 14.29242070 -74.47490400 14.29379201 -74.47531657 14.29397133 -74.47537051 14.29354770 -74.47548630 14.29394124 -74.47560469 14.29374510 -74.47565830 14.43498250 -74.51799020 14.43671653 -74.51751526 14.43809550 -74.51792700 14.43871539 -74.51775720 14.51283110 -74.49741700 14.51087666 -74.49683414 14.51149510 -74.49666410 14.51127612 -74.49659879 14.51163091 -74.49649974 14.51300330 -74.49692020 14.51359006 -74.49675638 14.58449400 -74.47692400 14.58257085 -74.47633548 14.58315640 -74.47617140 14.44563560 -74.43393160 14.44390408 -74.43441582 14.44253910 -74.43399500 14.37106310 -74.45394550,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_04_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2004204699,HLA,0
104,14.45375,-74.4667361111111,NGC339;K36;L59;ESO29SC25,image,3,HST,HST_10396_04_ACS_WFC_F814W,NGC339,14.4400892983106,-74.4757960248408,53702.39166,53702.52609,1916,OPTICAL,F814W,,,54067.83084,ACS/WFC,Gallagher,10396,2013601198,POLYGON J2000 14.29242730 -74.47490430 14.29379856 -74.47531686 14.29397791 -74.47537082 14.29355430 -74.47548660 14.29394742 -74.47560487 14.29375120 -74.47565850 14.43498080 -74.51798920 14.43671491 -74.51751423 14.43809360 -74.51792590 14.43871346 -74.51775611 14.51282460 -74.49741670 14.51087015 -74.49683382 14.51148850 -74.49666380 14.51126988 -74.49659860 14.51162311 -74.49649998 14.51299530 -74.49692040 14.51358195 -74.49675660 14.58448170 -74.47692470 14.58255868 -74.47633619 14.58314390 -74.47617220 14.44563400 -74.43393360 14.44390253 -74.43441783 14.44253760 -74.43399700 14.37106580 -74.45394700 14.37243074 -74.45436832 14.37259194 -74.45441808 14.37219420 -74.45452890 14.37258065 -74.45464818 14.37239180 -74.45470080 14.41211262 -74.46694799 14.37024460 -74.45438180 14.36851545 -74.45485624 14.36714390 -74.45444410 14.29242730 -74.47490430,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10396_04_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2004204700,HLA,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,IBY721010,SMC-ASS-45,14.77800729497,-72.17890857934,56202.15191,56202.15354,2,UV,F225W,EXT-CLUSTER;OB ASSOCIATION,The Unevolved Massive Star Content of the Magellanic Clouds,56202.24808,WFC3/UVIS,MASSEY,12940,2012916569,POLYGON 14.87898238 -72.17613204 14.76800286 -72.14592752 14.67705951 -72.18165867 14.78568485 -72.21195185 14.87898238 -72.17613204 14.87898238 -72.17613204,http://archive.stsci.edu/hst/previews/IBY7/IBY721010_256.jpg,2003851205,DADS,0
110,14.7802083333333,-72.1497611111111,BS90,image,3,HST,J92F01010,NGC346,14.77800533184,-72.16120041295,53199.86568,53199.97899,1940,OPTICAL,F814W,OPEN CLUSTER;STAR FORMING REGION;STELLAR CLUSTER,"Current star formation in young, compact clusters in the Small Magellanic Cloud",53564.86571,ACS/WFC,NOTA,10248,2012933190,POLYGON 14.82930319 -72.13345441 14.74043822 -72.13462354 14.72782121 -72.19001634 14.81911193 -72.18967896 14.82930319 -72.13345441 14.82930319 -72.13345441,http://archive.stsci.edu/hst/previews/J92F/J92F01010_256.jpg,2003867826,DADS,0
