#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#@int, ra, dec, string, Product Type, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, End Time, Exposure Time, Waveband, Filters, Target Classification, Observation Title, Release Date, Instrument, Principal Investigator, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, ra, dec, string, string, int, string, string, string, ra, dec, float, float, float, string, string, string, string, float, string, string, string, string, string, string, string, string, float
@int,ra,dec,string,dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,target_classification,obs_title,t_obs_release,instrument,proposal_pi,proposal_id,objID,s_region,jpegURL,obsid,project,distance
95,13.874375,-73.0754916666667,B83;SMC_OGLE103,image,3,HST,hst_06229_03_wfpc2_f814w_wf,BRUCK-83,13.9157729614275,-73.0760053695159,49910.29186,49910.39372,5600,OPTICAL,F814W,,,50277.03899,WFPC2/WFC,TRAUGER,6229,2013487852,POLYGON J2000 13.95386586 -73.08683557 14.00247700 -73.07255700 13.95483751 -73.05880814 13.95530900 -73.05866800 13.90108800 -73.04318500 13.84786600 -73.05898400 13.87546246 -73.06687181 13.85420000 -73.07306600 13.87404284 -73.07883548 13.84657800 -73.08673900 13.90000700 -73.10246600 13.94990498 -73.08809556 13.95406800 -73.08689500 13.95386586 -73.08683557,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_03_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004091354,HLA,0
95,13.874375,-73.0754916666667,B83;SMC_OGLE103,image,3,HST,hst_06229_03_wfpc2_f555w_wf,BRUCK-83,13.9157729614275,-73.0760053695159,49910.17381,49910.26038,5200,OPTICAL,F555W,,,50277.03397,WFPC2/WFC,TRAUGER,6229,2013487850,POLYGON J2000 13.95386586 -73.08683557 14.00247700 -73.07255700 13.95483751 -73.05880814 13.95530900 -73.05866800 13.90108800 -73.04318500 13.84786600 -73.05898400 13.87546246 -73.06687181 13.85420000 -73.07306600 13.87404284 -73.07883548 13.84657800 -73.08673900 13.90000700 -73.10246600 13.94990498 -73.08809556 13.95406800 -73.08689500 13.95386586 -73.08683557,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_03_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004091352,HLA,0
170,16.9379166666667,-71.8787666666667,HW57,image,3,HST,JBHY12010,ANY,16.97491958454,-71.86070500779,55801.32223,55801.36025,2490,OPTICAL,F475W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56167.43755,ACS/WFC,GIRARDI,12257,2012943529,POLYGON 17.11736251 -71.8612083 16.97886183 -71.82523417 16.85084506 -71.86386223 16.98969776 -71.90190551 17.11736251 -71.8612083 17.11736251 -71.8612083,http://archive.stsci.edu/hst/previews/JBHY/JBHY12010_256.jpg,2003878165,DADS,0
170,16.9379166666667,-71.8787666666667,HW57,image,3,HST,JBHY12020,ANY,16.97342357488,-71.8598836801,55801.37457,55801.42434,2700,OPTICAL,F814W,PARALLEL FIELD;UNIDENTIFIED,The Nature of Multiple Main Sequence Turn-offs and Dual Red Clumps in Magellanic Cloud Star Clusters,56167.57906,ACS/WFC,GIRARDI,12257,2012943530,POLYGON 17.11586029 -71.86038806 16.9773685 -71.82441287 16.84935429 -71.86303996 16.98819789 -71.9010843 17.11586029 -71.86038806 17.11586029 -71.86038806,http://archive.stsci.edu/hst/previews/JBHY/JBHY12020_256.jpg,2003878166,DADS,0
13,8.9945,-73.1656944444445,NGC176;K12;L16;ESO29SC2,image,3,HST,hst_05475_08_wfpc2_f555w_wf,NGC176,8.96796710559385,-73.1701110937733,49738.53421,49738.53537,100,OPTICAL,F555W,,,50105.66786,WFPC2/WFC,SHARA,5475,2013474528,POLYGON J2000 9.00949000 -73.18190100 8.99122959 -73.17196201 9.01807600 -73.16791800 9.00507019 -73.16068226 9.03961200 -73.15555000 9.00476800 -73.13586600 8.93674400 -73.14596700 8.93687987 -73.14604387 8.87541900 -73.15538900 8.90676351 -73.17268133 8.90617400 -73.17277200 8.94203200 -73.19229300 8.94231826 -73.19224897 9.00236092 -73.18300087 9.00506624 -73.18258354 9.00949000 -73.18190100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05475_08_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004078030,HLA,0
24,10.139125,-72.74005,K16;L23,image,3,HST,hst_05091_67_wfpc2_f814w_wf,PARALLEL-FIELD,10.1029833114001,-72.7381201297799,49842.04047,49842.05436,1200,OPTICAL,F814W,,,50208.55598,WFPC2/WFC,GROTH,5091,2013465978,POLYGON J2000 10.05654800 -72.74393500 10.08403947 -72.74406698 10.08319000 -72.75530700 10.08999540 -72.75535326 10.09310594 -72.75537433 10.15769600 -72.75580100 10.15870244 -72.74242765 10.15936100 -72.73366600 10.15907371 -72.73366414 10.15992400 -72.71356100 10.09413323 -72.71331680 10.09413800 -72.71312100 10.01964500 -72.71296300 10.01910500 -72.73509200 10.05703627 -72.73517792 10.05654800 -72.74393500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05091_67_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004069480,HLA,0
24,10.139125,-72.74005,K16;L23,image,3,HST,hst_05091_67_wfpc2_f606w_wf,PARALLEL-FIELD,10.1029833114001,-72.7381201297799,49841.96964,49841.98353,1200,OPTICAL,F606W,,,50208.55271,WFPC2/WFC,GROTH,5091,2013465976,POLYGON J2000 10.15936100 -72.73366600 10.15907371 -72.73366414 10.15992400 -72.71356100 10.09413323 -72.71331680 10.09413800 -72.71312100 10.01964500 -72.71296300 10.01910500 -72.73509200 10.05703627 -72.73517792 10.05654800 -72.74393500 10.08403947 -72.74406698 10.08319000 -72.75530700 10.08999540 -72.75535326 10.09310594 -72.75537433 10.15769600 -72.75580100 10.15870244 -72.74242765 10.15936100 -72.73366600,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_05091_67_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004069478,HLA,0
173,17.057375,-73.2574916666667,K57;L86,image,3,HST,hst_08196_02_wfpc2_f814w_wf,ANY,17.0613719402229,-73.2450295832582,51477.28973,51477.30686,1200,OPTICAL,F814W,,,51843.59788,WFPC2/WFC,GARNETT,8196,2013533140,POLYGON J2000 17.06304200 -73.22682100 17.03910931 -73.23118370 17.01848800 -73.22164000 16.95338600 -73.23334400 16.99401400 -73.25213200 16.99426250 -73.25208740 17.03173500 -73.26904300 17.08886177 -73.25854920 17.08922400 -73.25871100 17.09600768 -73.25745150 17.15367600 -73.24672800 17.11209000 -73.22812900 17.07927476 -73.23423193 17.06304200 -73.22682100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08196_02_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004136642,HLA,0
173,17.057375,-73.2574916666667,K57;L86,image,3,HST,hst_08196_02_wfpc2_f336w_wf,ANY,17.0613719402229,-73.2450295832582,51477.20987,51477.23094,1500,OPTICAL,F336W,,,51843.59731,WFPC2/WFC,GARNETT,8196,2013533132,POLYGON J2000 17.01848800 -73.22164000 16.95338600 -73.23334400 16.99401400 -73.25213200 16.99426250 -73.25208740 17.03173500 -73.26904300 17.08886177 -73.25854920 17.08922400 -73.25871100 17.09600768 -73.25745150 17.15367600 -73.24672800 17.11209000 -73.22812900 17.07927476 -73.23423193 17.06304200 -73.22682100 17.03910931 -73.23118370 17.01848800 -73.22164000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08196_02_wfpc2_f336w_wf&size=ALL&format=jpeg&output_size=256,2004136634,HLA,0
173,17.057375,-73.2574916666667,K57;L86,image,3,HST,hst_08059_c3_wfpc2_f814w_wf,LIST-1,17.0577755366904,-73.2421824189284,51479.86473,51479.87376,700,OPTICAL,F814W,,,51479.99351,WFPC2/WFC,CASERTANO,8059,2013524632,POLYGON J2000 17.11089100 -73.22590700 17.07722513 -73.23160982 17.06208300 -73.22401000 17.03754377 -73.22808040 17.01832600 -73.21829600 16.95159700 -73.22920600 16.98946000 -73.24846700 16.98971467 -73.24842544 17.02469000 -73.26581700 17.08327724 -73.25602130 17.08361700 -73.25618800 17.09057169 -73.25501206 17.14973800 -73.24499200 17.11089100 -73.22590700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_c3_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004128134,HLA,0
