# RA          DEC          ClstName     Target                     Detector  Spectral_Elt                        ExpTime   PropID   PI_Name          Title                                                                           
  84.704319   -69.10213    30DOR        30-DOR                     WFC3/UVIS F814W/F555W/F336W                   3978.48   11360    "O\'Connell"     "11360_d6 WFC3/UVIS F814W/F555W/F336W (color) 30-DOR"                           
  13.925007   -73.072641   BRUCK83      BRUCK-83                   WFPC2     F814W/F555W                         10800.0   6229     TRAUGER          "06229_03 WFPC2 F814W/F555W (color) BRUCK-83"                                   
  93.392796   -70.707239   ESO057-SC075 ESO057-SC075               ACS/WFC   F814W/F555W/F435W                   2135.0    10595    Goudfrooij       "10595_08 ACS/WFC F814W/F555W/F435W (color) ESO057-SC075"                       
  90.479069   -60.527286   ESO121-SC003 ESO121-SC003               ACS/WFC   F814W/F606W/F435W                   2588.0    10595    Goudfrooij       "10595_06 ACS/WFC F814W/F606W/F435W (color) ESO121-SC003"                       
  89.58089    -68.345      H10          HODGE-10                   WFPC2     F814W/F555W                         5100.0    6229     TRAUGER          "06229_02 WFPC2 F814W/F555W (color) HODGE-10"                                   
  93.556958   -69.846467   H11          H11-CEN                    WFPC2     F814W/F555W                         1395.0    7307     GILMORE          "07307_85 WFPC2 F814W/F555W (color) H11-CEN"                                    
  93.221069   -69.81882    H11          H11-HALF                   WFPC2     F555W                               2200.0    7307     GILMORE          "07307_93 WFPC2 F555W (combined) H11-HALF"                                      
  93.584941   -69.853943   H11          HODGE11                    WFPC2     F555W/F450W                         900.0     5475     SHARA            "05475_0f WFPC2 F555W/F450W (color) HODGE11"                                    
  93.929685   -69.806712   H11          H11-CEN                    WFPC2     F814W/F555W                         2000.0    7307     GILMORE          "07307_84 WFPC2 F814W/F555W (color) H11-CEN"                                    
  93.781648   -69.812112   H11          H11-HALF                   WFPC2     F555W                               2400.0    7307     GILMORE          "07307_86 WFPC2 F555W (combined) H11-HALF"                                      
  93.545296   -69.85367    H11          H11-HALF                   WFPC2     F555W                               2500.0    7307     GILMORE          "07307_91 WFPC2 F555W (combined) H11-HALF"                                      
  82.204835   -73.630703   H14          SL506                      WFPC2     F555W/F450W                         350.0     5475     SHARA            "05475_0n WFPC2 F555W/F450W (color) SL506"                                      
  82.214021   -73.506529   H14          H14-CEN                    WFPC2     F814W/F555W                         2000.0    7307     GILMORE          "07307_73 WFPC2 F814W/F555W (color) H14-CEN"                                    
  82.12039    -73.628743   H14          H14-CEN                    WFPC2     F814W/F555W                         1395.0    7307     GILMORE          "07307_74 WFPC2 F814W/F555W (color) H14-CEN"                                    
  82.44275    -73.63494    H14          H14-HALF                   WFPC2     F555W                               2400.0    7307     GILMORE          "07307_75 WFPC2 F555W (combined) H14-HALF"                                      
  82.110137   -73.632623   H14          H14-HALF                   WFPC2     F555W                               2500.0    7307     GILMORE          "07307_80 WFPC2 F555W (combined) H14-HALF"                                      
  81.829947   -73.552692   H14          H14-HALF                   WFPC2     F555W                               2200.0    7307     GILMORE          "07307_82 WFPC2 F555W (combined) H14-HALF"                                      
  79.473877   -69.644595   H2           H-2                        WFC3/UVIS F475W                               1440.0    12257    GIRARDI          "IBHY24030 WFC3/UVIS F475W (exposure) H-2"                                      
  84.571513   -69.081219   H301         NGC2070-NW-SHELL           WFPC2     F814W/F555W/F336W                   859.0     6122     CHU              "06122_01 WFPC2 F814W/F555W/F336W (color) NGC2070-NW-SHELL"                     
  85.553314   -71.592173   H6           H-6                        WFC3/UVIS F475W                               1440.0    12257    GIRARDI          "IBHY21030 WFC3/UVIS F475W (exposure) H-6"                                      
  87.551317   -67.72351    H7           HODGE7                     ACS/WFC   F814W/F555W                         530.0     9891     Gilmore          "9891_76 ACS/WFC F814W/F555W (color) HODGE7"                                    
  81.073412   -69.77906    HS275        HS-275                     WFPC2     F814W/F555W                         7600.0    6229     TRAUGER          "06229_01 WFPC2 F814W/F555W (color) HS-275"                                     
  18.199162   -71.76877    IC1660       IC1660                     ACS/WFC   F814W/F555W                         131.0     9891     Gilmore          "9891_30 ACS/WFC F814W/F555W (color) IC1660"                                    
  84.468101   -74.770093   IC2146       IC2146                     ACS/WFC   F814W/F555W                         420.0     9891     Gilmore          "9891_73 ACS/WFC F814W/F555W (color) IC2146"                                    
  5.386266    -73.761167   KRON1        KRON1                      ACS/WFC   F814W/F555W                         770.0     9891     Gilmore          "9891_02 ACS/WFC F814W/F555W (color) KRON1"                                     
  10.390263   -72.899878   KRON21       KRON21                     ACS/WFC   F814W/F555W                         770.0     9891     Gilmore          "9891_10 ACS/WFC F814W/F555W (color) KRON21"                                    
  6.216601    -72.789631   KRON3        ESO121                     WFPC2     F555W/F450W                         900.0     5475     SHARA            "05475_0g WFPC2 F555W/F450W (color) ESO121"                                     
  6.164586    -72.794474   KRON3        KRON-3                     ACS/WFC   F814W/F555W                         3940.0    10396    Gallagher        "10396_07 ACS/WFC F814W/F555W (color) KRON-3"                                   
  13.931074   -72.841541   KRON34       KRON34                     ACS/WFC   F814W/F555W                         295.0     9891     Gilmore          "9891_20 ACS/WFC F814W/F555W (color) KRON34"                                    
  81.41941    -66.284225   LH52         LH52                       WFPC2     F814W/F555W                         2820.0    8134     NOTA             "08134_12 WFPC2 F814W/F555W (color) LH52"                                       
