#@ra,dec,string
RA,DEC,ID
93.392796,-70.707239,ESO057-SC075
90.479069,-60.527286,ESO121-SC003
18.199162,-71.76877,IC1660
84.468101,-74.770093,IC2146
5.386266,-73.761167,KRON1
10.390263,-72.899878,KRON21
6.164586,-72.794474,KRON3
13.931074,-72.841541,KRON34
0.977305,-73.474603,LINDSAY1
1.020396,-73.474208,LINDSAY1
27.408153,-73.716396,LINDSAY113
12.243985,-69.870358,LINDSAY38
12.253303,-69.861361,LINDSAY38
18.259932,-73.1303,LINDSAY91
6.671359,-71.535881,NGC121
69.447644,-66.207445,NGC1644
69.626987,-68.681175,NGC1652
73.585063,-69.81655,NGC1751
73.587891,-69.816199,NGC1751
73.850121,-68.197065,NGC1755
73.746509,-69.230783,NGC1756
74.764929,-65.999045,NGC1783
74.817843,-65.995459,NGC1783
74.985796,-69.793782,NGC1795
75.181988,-69.621229,NGC1801
75.589643,-67.990373,NGC1806
75.586567,-67.978885,NGC1806
76.874703,-67.473637,NGC1846
76.924523,-67.467717,NGC1846
76.886992,-67.349047,NGC1846
77.384185,-67.78577,NGC1852
77.371015,-68.854736,NGC1854
77.528339,-68.912026,NGC1858
78.336708,-69.319094,NGC1872
79.336143,-69.322454,NGC1903
79.796158,-69.006929,NGC1917
80.280496,-69.472729,NGC1928
80.391717,-69.938375,NGC1939
80.66172,-70.160592,NGC1943
81.405246,-68.842366,NGC1953
82.221118,-66.24253,NGC1978
81.975348,-68.991092,NGC1983
81.860552,-70.742954,NGC1987
81.864784,-70.742219,NGC1987
82.621935,-66.877794,NGC2002
82.686623,-70.824801,NGC2010
84.179566,-70.661969,NGC2056
85.843795,-70.646225,NGC2107
86.026975,-69.171837,NGC2108
86.023151,-69.17289,NGC2108
89.445423,-67.265919,NGC2154
11.832536,-73.488305,NGC265
13.301886,-73.39319,NGC294
13.402098,-72.20593,NGC299
14.435541,-74.475768,NGC339
14.789092,-72.176306,NGC346
16.024698,-72.833581,NGC376
16.977802,-72.365987,NGC416
16.968869,-72.34696,NGC416
17.106686,-72.878818,NGC419
17.359262,-71.781803,NGC422
22.378951,-73.554823,NGC602
22.428818,-73.569336, NGC602
