#@int,string,string,string,string,ra,dec,string,string,string,string,string,string,string,string,string,string,string,float,float,float,string
idx,instrument_x,detector,propid,target,s_ra,s_dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,obs_id,instrument_y,filters,wavelength_region,t_min,t_max,t_exptime,s_region
0,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
1,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
2,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
3,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f5q,ACS/10396_SMC-FIELD-NE/j96114f5q_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
4,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
5,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
6,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114030,ACS/WFC,F555W,OPTICAL,53703.1831,53703.20382,40.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
7,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,10,2005-11-29,j96114f7q,ACS/10396_SMC-FIELD-NE/j96114f7q_flc.fits,J96114040,ACS/WFC,F555W,OPTICAL,53703.20568,53703.25152,1984.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
8,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114f8q,ACS/10396_SMC-FIELD-NE/j96114f8q_flc.fits,J96114010,ACS/WFC,F814W,OPTICAL,53703.12443,53703.13034,20.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
9,ACS,WFC,10396,SMC-FIELD-NE,10.45,-71.0625,CLEAR1L,F814W,Gallagher,474,2005-11-29,j96114f8q,ACS/10396_SMC-FIELD-NE/j96114f8q_flc.fits,J96114020,ACS/WFC,F814W,OPTICAL,53703.1322,53703.17701,1896.0,POLYGON 10.55596404 -71.06756598 10.45354063 -71.02310853 10.32032253 -71.06103644 10.42873662 -71.10572606 10.55596404 -71.06756598 10.55596404 -71.06756598
