#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,ACS/WFC,f475w,OPTICAL,HIGH-GALACTIC-LATITUDE,HST_9488_9w_ACS_WFC_F475W,14.3780098416247,-72.8937389619011,Ratnatunga,3,52546.80426,52546.83301,2191,,,52547.59213,9488,2002396126,POLYGON J2000 14.28315450 -72.89625630 14.47251710 -72.88995570 14.45349120 -72.86286080 14.26441250 -72.86914390 14.28315450 -72.89625630 POLYGON J2000 14.30124260 -72.92549080 14.49283670 -72.91834560 14.47381710 -72.89027550 14.28252050 -72.89740290 14.30124260 -72.92549080,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_9488_9w_ACS_WFC_F475W&size=ALL&format=jpeg&output_size=256,2001183574,HLA,367.637439642469
image,HST,ACS/WFC,F814W,OPTICAL,SFH-1,J96110020,12.91932194407,-73.11643361649,GALLAGHER,3,53752.09846,53752.11968,1512,GALAXY,,54117.46422,10396,2001920509,POLYGON 13.02347731 -73.09120166 12.8272512 -73.08392104 12.79187649 -73.1398394 12.98461813 -73.1455704 13.02347731 -73.09120166 13.02347731 -73.09120166,http://archive.stsci.edu/hst/previews/J961/J96110020_256.jpg,2000970769,DADS,1313.3561267393
image,HST,ACS/WFC,F555W,OPTICAL,SFH-1,J96110040,12.91932194407,-73.11643361649,GALLAGHER,3,53752.14992,53752.186,1617,GALAXY,,54117.64769,10396,2001915964,POLYGON 13.02347731 -73.09120166 12.8272512 -73.08392104 12.79187649 -73.1398394 12.98461813 -73.1455704 13.02347731 -73.09120166 13.02347731 -73.09120166,http://archive.stsci.edu/hst/previews/J961/J96110040_256.jpg,2000966221,DADS,1313.3561267393
image,HST,ACS/WFC,F814W,OPTICAL,SFH-1,J96110010,12.91666666667,-73.11694444444,GALLAGHER,3,53752.09087,53752.09656,2,GALAXY,,54117.28152,10396,2001915962,POLYGON 13.02082865 -73.09171385 12.82459788 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385,http://archive.stsci.edu/hst/previews/J961/J96110010_256.jpg,2000966219,DADS,1316.64559574408
image,HST,ACS/WFC,F555W,OPTICAL,SFH-1,J96110030,12.91666666667,-73.11694444444,GALLAGHER,3,53752.13198,53752.14802,2,GALAXY,,54117.61918,10396,2001915963,POLYGON 13.02082865 -73.09171385 12.82459788 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385,http://archive.stsci.edu/hst/previews/J961/J96110030_256.jpg,2000966220,DADS,1316.64559574408
image,HST,ACS/WFC,F814W,OPTICAL,SFH-1,J96110DTQ,12.91666666667,-73.11694444444,GALLAGHER,2,53752.1253,53752.12587,48,GALAXY,,54117.47125,10396,2001166123,POLYGON GSC1  13.02082865 -73.09171385  12.82459788 -73.08443074  12.78921373 -73.14034866  12.98196018 -73.14608210  13.02082865 -73.09171385,http://archive.stsci.edu/hst/previews/J961/J96110DTQ_256.jpg,2000174032,DADS,1316.64559574408
image,HST,ACS/WFC,F555W,OPTICAL,SFH-1,J96110E5Q,12.91666666667,-73.11694444444,GALLAGHER,2,53752.19162,53752.19221,50,GALAXY,,54117.61925,10396,2001171630,POLYGON GSC1  13.02082865 -73.09171385  12.82459788 -73.08443074  12.78921373 -73.14034866  12.98196018 -73.14608210  13.02082865 -73.09171385,http://archive.stsci.edu/hst/previews/J961/J96110E5Q_256.jpg,2000180093,DADS,1316.64559574408
image,HST,ACS/WFC,f814w,OPTICAL,ANY,HST_10248_10_ACS_WFC_F814W,15.4589479254655,-72.8808663327599,Nota,3,53260.79464,53260.80109,556,,,53626.73148,10248,2002396404,POLYGON J2000 15.54544710 -72.86910520 15.50037420 -72.84483810 15.32591500 -72.86714390 15.37080480 -72.89144960 15.54544710 -72.86910520 POLYGON J2000 15.37133800 -72.89260150 15.41725600 -72.91783830 15.59311570 -72.89449520 15.54700720 -72.86929800 15.37133800 -72.89260150,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_10_ACS_WFC_F814W&size=ALL&format=jpeg&output_size=256,2001183852,HLA,1484.02524193411
image,HST,ACS/WFC,f555w,OPTICAL,ANY,HST_10248_10_ACS_WFC_F555W,15.4599826478734,-72.8807141099351,Nota,3,53260.74958,53260.80979,1665,,,53626.73155,10248,2002396403,POLYGON J2000 15.37212104 -72.89247665 15.37254622 -72.89271071 15.37249630 -72.89271730 15.41841820 -72.91795540 15.41923699 -72.91784720 15.59428490 -72.89460940 15.59385688 -72.89437588 15.59467410 -72.89426690 15.54856200 -72.86906850 15.54779541 -72.86917067 15.54739940 -72.86895390 15.54637460 -72.86909047 15.54617223 -72.86898169 15.54700060 -72.86887520 15.50192540 -72.84460710 15.50116016 -72.84470541 15.50076480 -72.84449220 15.32630190 -72.86680090 15.32669545 -72.86701433 15.32713176 -72.86725095 15.32706930 -72.86725890 15.37196170 -72.89156550 15.37279184 -72.89145976 15.51295781 -72.87353989 15.37172660 -72.89225950 15.37212104 -72.89247665,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10248_10_ACS_WFC_F555W&size=ALL&format=jpeg&output_size=256,2001183851,HLA,1484.37346683947
image,HST,ACS/WFC,f435w,OPTICAL,NGC-290,HST_10126_04_ACS_WFC_F435W,12.7964823120534,-73.1759607844371,Olszewski,3,53308.35338,53308.35848,440,,,53675.68837,10126,2002396203,POLYGON J2000 12.88577130 -73.18692610 12.91696490 -73.16077360 12.74065420 -73.13773760 12.70923630 -73.16386330 12.88577130 -73.18692610 POLYGON J2000 12.70665770 -73.16475440 12.67333960 -73.19170270 12.85326200 -73.21437360 12.88634350 -73.18739640 12.70665770 -73.16475440,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=HST_10126_04_ACS_WFC_F435W&size=ALL&format=jpeg&output_size=256,2001183651,HLA,1568.81369108057
