#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Filters, Waveband, Target Name, Observation ID, RA, Dec, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Time, Classification, Observation Title, Release Date, Proposal ID, Object ID, s_region, jpegURL, Product Group ID, Project, Distance (")
#@string, string, string, string, string, string, string, ra, dec, string, int, float, float, float, string, string, float, string, string, string, string, string, string, float
dataproduct_type,obs_collection,instrument,filters,wavelength_region,target_name,obs_id,s_ra,s_dec,proposal_pi,calib_level,t_min,t_max,t_exptime,target_classification,obs_title,t_obs_release,proposal_id,objID,s_region,jpegURL,obsid,project,distance
image,HST,WFC3/UVIS,F656N,OPTICAL,LOW-NGC376,IBYY91020,16.01918,-72.831,DE MARCHI,3,56505.8341,56505.91272,2389,STELLAR CLUSTER,,56871.0075,13009,2001911888,POLYGON 16.12313393 -72.84350545 16.05713707 -72.80206727 15.91447702 -72.8191158 15.98120246 -72.85992099 16.12313393 -72.84350545 16.12313393 -72.84350545,http://archive.stsci.edu/hst/previews/IBYY/IBYY91020_256.jpg,2000962145,DADS,1653.31331508756
image,HST,WFC3/UVIS,F656N,OPTICAL,HIGH-SFH-1,IBYY61020,12.90666791667,-73.11571944444,DE MARCHI,3,56409.10425,56409.17484,2394,STELLAR CLUSTER,,56774.30786,13009,2001906314,POLYGON 13.00550837 -73.12748172 12.95190371 -73.08531463 12.80794769 -73.10387916 12.86358128 -73.14639218 13.00550837 -73.12748172 13.00550837 -73.12748172,http://archive.stsci.edu/hst/previews/IBYY/IBYY61020_256.jpg,2000956571,DADS,1653.45439486582
image,HST,WFC3/UVIS,F225W,UV,SMC-ASS-45,IBY721010,14.77800729497,-72.17890857934,MASSEY,3,56202.15191,56202.15354,2,EXT-CLUSTER,,56202.24808,12940,2001906078,POLYGON 14.87898238 -72.17613204 14.76800286 -72.14592752 14.67705952 -72.18165867 14.78568485 -72.21195185 14.87898238 -72.17613204 14.87898238 -72.17613204,http://archive.stsci.edu/hst/previews/IBY7/IBY721010_256.jpg,2000956335,DADS,2493.51380987573
image,HST,WFC3/UVIS,F814W,OPTICAL,AGNC-S1124,ICC217030,16.84021572719,-72.81155587907,KALLIVAYALIL,3,56627.37522,56627.45584,708,GALAXY,,56993.70694,13476,2001903806,POLYGON 16.87323105 -72.80342724 16.7968916 -72.80293309 16.78971986 -72.82531257 16.86655314 -72.82595067 16.87323105 -72.80342724 16.87323105 -72.80342724,http://archive.stsci.edu/hst/previews/ICC2/ICC217030_256.jpg,2000954063,DADS,2571.90255786067
image,HST,WFC3/UVIS,F606W,OPTICAL,AGNC-S1124,ICC217040,16.84345943549,-72.81213470536,KALLIVAYALIL,3,56627.3819,56627.44939,1416,GALAXY,,56993.70719,13476,2001908131,POLYGON 16.87648288 -72.80400832 16.80014102 -72.80351291 16.79296484 -72.82589228 16.86980051 -72.82653163 16.87648288 -72.80400832 16.87648288 -72.80400832,http://archive.stsci.edu/hst/previews/ICC2/ICC217040_256.jpg,2000958388,DADS,2575.09035497565
image,HST,WFC3/UVIS,F656N,OPTICAL,LOW-NGC299,IBYY82020,13.3945275,-72.20402777778,DE MARCHI,3,56508.22571,56508.2823,2394,STELLAR CLUSTER,,56873.53703,13009,2001911887,POLYGON 13.4910722 -72.21910862 13.43912838 -72.17615744 13.29709097 -72.18954906 13.34989238 -72.23188603 13.4910722 -72.21910862 13.4910722 -72.21910862,http://archive.stsci.edu/hst/previews/IBYY/IBYY82020_256.jpg,2000962144,DADS,2610.52863042634
image,HST,WFC3/UVIS,F656N,OPTICAL,LOW-NGC299,IBYY81020,13.3945275,-72.20402777778,DE MARCHI,3,56410.10056,56410.16984,2394,STELLAR CLUSTER,,56775.26789,13009,2001906763,POLYGON 13.48817082 -72.21599956 13.43823979 -72.17371948 13.30099412 -72.19198082 13.3528571 -72.23460906 13.48817082 -72.21599956 13.48817082 -72.21599956,http://archive.stsci.edu/hst/previews/IBYY/IBYY81020_256.jpg,2000957020,DADS,2617.95418819345
image,HST,WFC3/UVIS,F336W,OPTICAL,NGC-419,IBHY30030,17.09416666667,-72.87916666667,GIRARDI,3,55798.66193,55798.73084,3230,EXT-CLUSTER,,56164.8477,12257,2001895802,POLYGON 17.16651275 -72.85661288 17.01223104 -72.85648234 17.02173773 -72.90170202 17.17461794 -72.9023438 17.16651275 -72.85661288 17.16651275 -72.85661288,http://archive.stsci.edu/hst/previews/IBHY/IBHY30030_256.jpg,2000946059,DADS,2796.90558588396
image,HST,WFC3/UVIS,F336W,OPTICAL,ANY,IBP507030,17.98563263445,-72.66375291929,ROMAN-DUVAL,3,56133.02727,56133.13337,3192,UNIDENTIFIED,,56498.31545,12581,2001907371,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507030_256.jpg,2000957628,DADS,3827.7254632867
image,HST,WFC3/UVIS,F814W,OPTICAL,ANY,IBP507040,17.98563263445,-72.66375291929,ROMAN-DUVAL,3,56133.04355,56133.10047,1431.5,UNIDENTIFIED,,56498.24356,12581,2001904394,POLYGON 18.09389584 -72.67130885 18.00762109 -72.63342394 17.876937559999998 -72.65684633 17.9636686 -72.69407017 18.09389584 -72.67130885 18.09389584 -72.67130885,http://archive.stsci.edu/hst/previews/IBP5/IBP507040_256.jpg,2000954651,DADS,3827.7254632867
