#@string,string,string,string,ra,dec,string,string,string,string,string,string,string
idx,instrument,detector,propid,target,ra,dec,filter1,filter2,pr_inv,exptime,date-obs,rootname,filename,s_region
0,ACS,WFC,13901,H86-126-FIELD,13.24125,-73.062083,F555W,CLEAR2L,Olszewski,440,2004-11-12,j90606yeq,multiband/13901_H86-126-FIELD/j90606yeq_flt.fits,'POLYGON 13.33952589 -73.06649363 13.18578546 -73.03371555 13.13556579 -73.05749198 13.29303427 -73.09019008 13.33952589 -73.06649363 13.33952589 -73.06649363'
1,ACS,WFC,13901,H86-126-FIELD,13.24125,-73.062083,F555W,CLEAR2L,Olszewski,120,2004-11-13,j90606yhq,multiband/13901_H86-126-FIELD/j90606yhq_flt.fits,'POLYGON 13.33952589 -73.06649363 13.18578546 -73.03371555 13.13556579 -73.05749198 13.29303427 -73.09019008 13.33952589 -73.06649363 13.33952589 -73.06649363'
2,ACS,WFC,13901,H86-126-FIELD,13.24125,-73.062083,CLEAR1L,F814W,Olszewski,440,2004-11-13,j90606yiq,multiband/13901_H86-126-FIELD/j90606yiq_flt.fits,'POLYGON 13.33952589 -73.06649363 13.18578546 -73.03371555 13.13556579 -73.05749198 13.29303427 -73.09019008 13.33952589 -73.06649363 13.33952589 -73.06649363'
3,ACS,WFC,13901,H86-126-FIELD,13.24125,-73.062083,CLEAR1L,F814W,Olszewski,120,2004-11-13,j90606ylq,multiband/13901_H86-126-FIELD/j90606ylq_flt.fits,'POLYGON 13.33952589 -73.06649363 13.18578546 -73.03371555 13.13556579 -73.05749198 13.29303427 -73.09019008 13.33952589 -73.06649363 13.33952589 -73.06649363'
4,WFC3,UVIS,13901,H86-126,12.906668,-73.115719,F656N,...,De Marchi,700,2013-04-27,ibyy61dns,multiband/13901_H86-126/ibyy61dns_flt.fits,'POLYGON 13.00550837 -73.12748172 12.95190371 -73.08531463 12.80794769 -73.10387916 12.86358128 -73.14639218 13.00550837 -73.12748172 13.00550837 -73.12748172'
5,WFC3,UVIS,13901,H86-126,12.906668,-73.115719,F656N,...,De Marchi,712,2013-04-27,ibyy61drq,multiband/13901_H86-126/ibyy61drq_flt.fits,'POLYGON 13.00550837 -73.12748172 12.95190371 -73.08531463 12.80794769 -73.10387916 12.86358128 -73.14639218 13.00550837 -73.12748172 13.00550837 -73.12748172'
6,WFC3,UVIS,13901,H86-126,12.906668,-73.115719,F656N,...,De Marchi,982,2013-04-27,ibyy61dvq,multiband/13901_H86-126/ibyy61dvq_flt.fits,'POLYGON 13.00550837 -73.12748172 12.95190371 -73.08531463 12.80794769 -73.10387916 12.86358128 -73.14639218 13.00550837 -73.12748172 13.00550837 -73.12748172'
7,ACS,WFC,13901,H86-126,12.916667,-73.11694399999999,CLEAR1L,F814W,Gallagher,1,2006-01-17,j96110djq,multiband/13901_H86-126/j96110djq_flt.fits,'POLYGON 13.02082865 -73.09171385 12.82459787 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385'
8,ACS,WFC,13901,H86-126,12.916667,-73.11694399999999,CLEAR1L,F814W,Gallagher,1,2006-01-17,j96110dlq,multiband/13901_H86-126/j96110dlq_flt.fits,'POLYGON 13.02082865 -73.09171385 12.82459787 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385'
9,ACS,WFC,13901,H86-126,12.916667,-73.11694399999999,CLEAR1L,F814W,Gallagher,504,2006-01-17,j96110dmq,multiband/13901_H86-126/j96110dmq_flt.fits,'POLYGON 13.02082865 -73.09171385 12.82459787 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385'
10,ACS,WFC,13901,H86-126,12.916667,-73.11694399999999,CLEAR1L,F814W,Gallagher,504,2006-01-17,j96110doq,multiband/13901_H86-126/j96110doq_flt.fits,'POLYGON 13.02082865 -73.09171385 12.82459787 -73.08443074 12.78921373 -73.14034866 12.98196018 -73.1460821 13.02082865 -73.09171385 13.02082865 -73.09171385'
