#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Observation Title, Release Date, s_region, jpegURL, Product Group ID, Object ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,LMC-BAR-3,,hst_07382_15_wfpc2_f555w_wf,80.7479535889425,-69.7476335400811,7382,Smecker-Hane,3,51183.60711,51183.63789,2000,472.260009765625,595.099975585938,,51548.9647,POLYGON J2000 80.75029342 -69.76552388 80.75050500 -69.76570200 80.80959000 -69.75729900 80.80948574 -69.75721123 80.78786476 -69.73899320 80.78689061 -69.73817156 80.78529900 -69.73682900 80.75521524 -69.74110904 80.74581300 -69.73297100 80.72392120 -69.73600543 80.71204200 -69.72554000 80.65257200 -69.73363600 80.67598000 -69.75424000 80.67620744 -69.75420910 80.69799100 -69.77284700 80.75029342 -69.76552388,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_15_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004422980,2014803073,105.05318746023
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LMC-BAR-3,,hst_07382_15_wfpc2_f814w_wf,80.7285076331706,-69.7480540815571,7382,Smecker-Hane,3,51183.54322,51183.57377,2000,713.510009765625,867.450012207031,,51548.96433,POLYGON J2000 80.74553100 -69.73337700 80.74511199 -69.73343513 80.74494900 -69.73329400 80.72347814 -69.73627012 80.71176000 -69.72594700 80.71133838 -69.72600448 80.71117900 -69.72586400 80.65212964 -69.73390157 80.65170700 -69.73395900 80.67511400 -69.75456300 80.67534144 -69.75453210 80.68391377 -69.76187079 80.69712500 -69.77317000 80.69754158 -69.77311176 80.69770800 -69.77325400 80.74959612 -69.76598822 80.74964100 -69.76602600 80.75005463 -69.76596726 80.75022300 -69.76610900 80.80930900 -69.75770500 80.80920383 -69.75761646 80.78758297 -69.73939853 80.78661162 -69.73857926 80.78501800 -69.73723500 80.78460422 -69.73729391 80.78443600 -69.73715200 80.75476787 -69.74137281 80.74553100 -69.73337700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_15_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004422982,2014803075,105.470386336488
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,LMC-BAR-1,,hst_07382_12_wfpc2_f555w_wf,80.7502940426123,-69.7830484623489,7382,Smecker-Hane,3,50779.41612,50779.44691,2000,472.260009765625,595.099975585938,,51144.5366,POLYGON J2000 80.78889100 -69.79163800 80.79229535 -69.78963223 80.82124100 -69.77256000 80.76600000 -69.76136900 80.74952873 -69.77108405 80.72777300 -69.76658200 80.71564653 -69.77358829 80.68783700 -69.76775300 80.65464000 -69.78666600 80.70941200 -69.79814900 80.70953928 -69.79807658 80.75957000 -69.80833500 80.78840814 -69.79154030 80.78889100 -69.79163800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_12_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004422962,2014803055,108.050350172715
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LMC-BAR-1,,hst_07382_12_wfpc2_f814w_wf,80.7453114345097,-69.783004940542,7382,Smecker-Hane,3,50779.35293,50779.38348,2000,713.510009765625,867.450012207031,,51144.49146,POLYGON J2000 80.72765100 -69.76702000 80.71575738 -69.77389181 80.68832400 -69.76813600 80.68808937 -69.76826981 80.68771400 -69.76819100 80.65451600 -69.78710400 80.70929000 -69.79858700 80.70941602 -69.79851530 80.70979326 -69.79859274 80.75944900 -69.80877400 80.75967899 -69.80864017 80.76005900 -69.80871800 80.78866906 -69.79205538 80.78877100 -69.79207600 80.78899770 -69.79194245 80.78938100 -69.79202000 80.79278625 -69.79001374 80.82173000 -69.77294300 80.76648800 -69.76175200 80.76626159 -69.76188561 80.76587900 -69.76180800 80.74963667 -69.77138729 80.72826000 -69.76696400 80.72802809 -69.76709807 80.72765100 -69.76702000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_07382_12_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004422964,2014803057,108.305097949736
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f555w_wf,81.0869500877958,-69.7832550389817,6229,Trauger,3,50109.13144,50109.20528,3700,472.260009765625,595.099975585938,,50475.59486,POLYGON J2000 81.07689558 -69.76938695 81.07692400 -69.75814300 81.01292000 -69.75812600 81.01286900 -69.78026600 81.01311652 -69.78026612 81.01363900 -69.80037100 81.07014399 -69.80019637 81.07015200 -69.80039000 81.13412500 -69.80007200 81.13412106 -69.79997686 81.13330579 -69.78028440 81.13326901 -69.77939521 81.13320900 -69.77794400 81.10063534 -69.77810729 81.10050800 -69.76934300 81.07689558 -69.76938695,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004399684,2014779777,148.475235581063
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f814w_wf,81.0869500877958,-69.7832550389817,6229,Trauger,3,50109.20782,50109.29023,3900,713.510009765625,867.450012207031,,50475.61119,POLYGON J2000 81.07689558 -69.76938695 81.07692400 -69.75814300 81.01292000 -69.75812600 81.01286900 -69.78026600 81.01311652 -69.78026612 81.01363900 -69.80037100 81.07014399 -69.80019637 81.07015200 -69.80039000 81.13412500 -69.80007200 81.13412106 -69.79997686 81.13330579 -69.78028440 81.13326901 -69.77939521 81.13320900 -69.77794400 81.10063534 -69.77810729 81.10050800 -69.76934300 81.07689558 -69.76938695,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004399686,2014779779,148.475235581063
image,HST,WFPC2/WFC,HST,F814W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11103R,80.71840809414,-69.75106256239,7382,Smecker-Hane,3,50779.23557,50779.23558,0.5,713.510009765625,867.450012207031,The Star-Formation History of the Large Magellanic Cloud,51144.47314,POLYGON GSC1  80.71517061 -69.74796663  80.77015751 -69.75925858  80.73755098 -69.77827178  80.68252424 -69.76697035  80.71517061 -69.74796663,http://archive.stsci.edu/hst/previews/U4B1/U4B11103R_256.jpg,2003642857,2012806343,154.490912589516
image,HST,WFPC2/WFC,HST,F814W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11104R,80.71840809414,-69.75106256239,7382,Smecker-Hane,3,50779.24529,50779.2453,0.5,713.510009765625,867.450012207031,The Star-Formation History of the Large Magellanic Cloud,51144.47089,POLYGON GSC1  80.71517061 -69.74796663  80.77015751 -69.75925858  80.73755098 -69.77827178  80.68252424 -69.76697035  80.71517061 -69.74796663,http://archive.stsci.edu/hst/previews/U4B1/U4B11104R_256.jpg,2003642858,2012806344,154.490912589516
image,HST,WFPC2/WFC,HST,F555W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11105R,80.71792103035,-69.75067988212,7382,Smecker-Hane,3,50779.2814,50779.28719,500,472.260009765625,595.099975585938,The Star-Formation History of the Large Magellanic Cloud,51144.47672,POLYGON GSC1  80.71468366 -69.74758394  80.76966934 -69.75887602  80.73706303 -69.77788915  80.68203751 -69.76658758  80.71468366 -69.74758394,http://archive.stsci.edu/hst/previews/U4B1/U4B11105R_256.jpg,2003642859,2012806345,155.004822355589
image,HST,WFPC2/WFC,HST,F555W,OPTICAL,LMC-BAR-1,BAR;EXT-STAR;G V-IV;GALAXY;MAGELLANIC IRREGULAR,U4B11106R,80.71792103035,-69.75067988212,7382,Smecker-Hane,3,50779.28973,50779.29552,500,472.260009765625,595.099975585938,The Star-Formation History of the Large Magellanic Cloud,51144.46756,POLYGON GSC1  80.71468366 -69.74758394  80.76966934 -69.75887602  80.73706303 -69.77788915  80.68203751 -69.76658758  80.71468366 -69.74758394,http://archive.stsci.edu/hst/previews/U4B1/U4B11106R_256.jpg,2003642860,2012806346,155.004822355589
