#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Product Type, Mission, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Proposal ID, Principal Investigator, Calibration Level, Start Time, End Time, Exposure Length, Min. Wavelength, Max. Wavelength, Observation Title, Release Date, s_region, jpegURL, Product Group ID, Object ID, Distance (")
#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_o2_wfpc2_f606w_wf,13.0818131539726,-72.8102830995858,8805,Casertano,3,51831.35779,51831.37122,1000,510.890014648438,661.130004882813,,51831.65907,POLYGON J2000 13.11993894 -72.82155483 13.17194700 -72.80910100 13.12483000 -72.79190400 13.09523309 -72.79899203 13.07678700 -72.79212900 13.05517027 -72.79721093 13.03169000 -72.78836400 12.97282700 -72.80202500 13.01908300 -72.81943900 13.01930763 -72.81938695 13.06183500 -72.83507800 13.11340530 -72.82286928 13.11381600 -72.82301900 13.11993894 -72.82155483,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_o2_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004461572,2014841665,64.3209728326579
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08805_x5_wfpc2_f606w_wf,12.9880272866739,-72.8211712043126,8805,Casertano,3,51965.40015,51965.41589,1200,510.890014648438,661.130004882813,,51967.90792,POLYGON J2000 13.03612983 -72.81962571 13.07382500 -72.82117200 13.08413800 -72.79926200 13.00991100 -72.79621200 13.00987055 -72.79629800 12.94237900 -72.79372200 12.93391621 -72.81309207 12.93326100 -72.81306800 12.92408000 -72.83501300 12.92431266 -72.83502155 12.99047203 -72.83744092 12.99351620 -72.83755171 12.99841800 -72.83773000 13.00310214 -72.82655636 13.03249600 -72.82771200 13.03612983 -72.81962571,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_x5_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004462942,2014843035,122.821744985052
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,ANY,,hst_08805_o2_wfpc2_f606w_pc,13.074043459986,-72.7992374703351,8805,Casertano,3,51831.35779,51831.37122,1000,510.890014648438,661.130004882813,,51831.65907,POLYGON J2000 13.07130100 -72.80634200 13.09808100 -72.80005100 13.07678700 -72.79212900 13.05000700 -72.79842400 13.07130100 -72.80634200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_o2_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004461571,2014841664,139.378840734937
image,HST,WFPC2/PC,HLA,F606W,OPTICAL,ANY,,hst_08805_x5_wfpc2_f606w_pc,13.0177732805148,-72.8220330333963,8805,Casertano,3,51965.40015,51965.41589,1200,510.890014648438,661.130004882813,,51967.90792,POLYGON J2000 12.99855000 -72.82637700 13.03249600 -72.82771200 13.03700100 -72.81768600 13.00306000 -72.81635300 12.99855000 -72.82637700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08805_x5_wfpc2_f606w_pc&size=ALL&format=jpeg&output_size=256,2004462941,2014843034,162.800177410828
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_b4_wfpc2_f606w_wf,12.9394183680596,-72.8789329898641,8059,Casertano,3,51322.26751,51322.27122,240,510.890014648438,661.130004882813,,51323.50343,POLYGON J2000 12.89284231 -72.87637823 12.89318600 -72.88513600 12.92089756 -72.88503881 12.92111500 -72.89628100 12.92797810 -72.89627055 12.93111683 -72.89626569 12.99623300 -72.89615400 12.99596927 -72.88273722 12.99579800 -72.87401300 12.99550806 -72.87401354 12.99444700 -72.85391100 12.92813390 -72.85421635 12.92812000 -72.85402000 12.85304800 -72.85448400 12.85461500 -72.87660900 12.89284231 -72.87637823,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_b4_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004436172,2014816265,223.488709693968
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_b4_wfpc2_f814w_wf,12.9394183680596,-72.8789329898641,8059,Casertano,3,51322.2814,51322.28811,500,713.510009765625,867.450012207031,,51323.50617,POLYGON J2000 12.99444700 -72.85391100 12.92813390 -72.85421635 12.92812000 -72.85402000 12.85304800 -72.85448400 12.85461500 -72.87660900 12.89284231 -72.87637823 12.89318600 -72.88513600 12.92089756 -72.88503881 12.92111500 -72.89628100 12.92797810 -72.89627055 12.93111683 -72.89626569 12.99623300 -72.89615400 12.99596927 -72.88273722 12.99579800 -72.87401300 12.99550806 -72.87401354 12.99444700 -72.85391100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_b4_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004436176,2014816269,223.488709693968
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08090_gm_wfpc2_f606w_wf,12.8757326805557,-72.8841392933814,8090,Casertano,3,51315.14459,51315.17214,1400,510.890014648438,661.130004882813,,51315.65519,POLYGON J2000 12.79055100 -72.88454500 12.82847980 -72.88309730 12.83204400 -72.89179200 12.85956274 -72.89081212 12.86391700 -72.90198200 12.87074286 -72.90175257 12.87387577 -72.90164718 12.93857000 -72.89946000 12.93330051 -72.88595119 12.92999400 -72.87746400 12.92970501 -72.87747381 12.92125700 -72.85752300 12.85542498 -72.85994081 12.85533900 -72.85974600 12.78085400 -72.86260100 12.79055100 -72.88454500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08090_gm_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004440562,2014820655,300.396438324866
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,LIST-1,,hst_08059_az_wfpc2_f606w_wf,13.1403915197833,-72.7282535702874,8059,Casertano,3,51314.27237,51314.27608,240,510.890014648438,661.130004882813,,51314.70138,POLYGON J2000 13.20364500 -72.74322200 13.19756149 -72.72974198 13.19374600 -72.72127700 13.19345905 -72.72128846 13.18381700 -72.70138800 13.11872623 -72.70417157 13.11862900 -72.70397800 13.04499000 -72.70724700 13.05599800 -72.72913400 13.09349604 -72.72747494 13.09758100 -72.73614800 13.12479234 -72.73501562 13.12981900 -72.74615900 13.13657008 -72.74589158 13.13966936 -72.74576874 13.20364500 -72.74322200,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_az_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004436120,2014816213,302.190102681964
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,LIST-1,,hst_08059_az_wfpc2_f814w_wf,13.1403915197833,-72.7282535702874,8059,Casertano,3,51314.28626,51314.29529,700,713.510009765625,867.450012207031,,51314.7069,POLYGON J2000 13.09758100 -72.73614800 13.12479234 -72.73501562 13.12981900 -72.74615900 13.13657008 -72.74589158 13.13966936 -72.74576874 13.20364500 -72.74322200 13.19756149 -72.72974198 13.19374600 -72.72127700 13.19345905 -72.72128846 13.18381700 -72.70138800 13.11872623 -72.70417157 13.11862900 -72.70397800 13.04499000 -72.70724700 13.05599800 -72.72913400 13.09349604 -72.72747494 13.09758100 -72.73614800,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08059_az_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004436122,2014816215,302.190102681964
image,HST,WFPC2/WFC,HLA,F606W,OPTICAL,ANY,,hst_08090_g7_wfpc2_f606w_wf,13.1403915197833,-72.7282535702874,8090,Casertano,3,51314.22307,51314.24899,2100,510.890014648438,661.130004882813,,51314.6995,POLYGON J2000 13.19345905 -72.72128846 13.18381700 -72.70138800 13.11872623 -72.70417157 13.11862900 -72.70397800 13.04499000 -72.70724700 13.05599800 -72.72913400 13.09349604 -72.72747494 13.09758100 -72.73614800 13.12479234 -72.73501562 13.12981900 -72.74615900 13.13657008 -72.74589158 13.13966936 -72.74576874 13.20364500 -72.74322200 13.19756149 -72.72974198 13.19374600 -72.72127700 13.19345905 -72.72128846,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_08090_g7_wfpc2_f606w_wf&size=ALL&format=jpeg&output_size=256,2004440510,2014820603,302.190102681964
