#@string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,integer,float
Dataset,Target Name,RAJ2000,DEJ2000,Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,High-Level Science Products,Ang Sep (')
U2XJ010BT,NGC1466,56.15220833333333,-71.6778,7,1995-10-22 06:30:17,1995-10-22 06:46:57,1000.0,WFPC2 ,PC1-FIX,F814W,8012.0,5897,1996-10-23 14:20:11,U2XJ010BT,,0.517
U2XJ010AT,NGC1466,56.15219166666666,-71.67782222222223,7,1995-10-22 06:08:17,1995-10-22 06:24:57,1000.0,WFPC2 ,PC1-FIX,F814W,8012.0,5897,1996-10-23 14:15:25,U2XJ010AT,,0.517
U2XJ0101T,NGC1466,56.15229166666666,-71.67778611111112,7,1995-10-22 03:49:17,1995-10-22 03:53:37,260.0,WFPC2 ,PC1-FIX,F814W,8012.0,5897,1996-10-22 13:38:20,U2XJ0101T,,0.518
U2XJ0102T,NGC1466,56.15229166666666,-71.67778611111112,7,1995-10-22 03:56:17,1995-10-22 04:00:37,260.0,WFPC2 ,PC1-FIX,F814W,8012.0,5897,1996-10-22 13:43:31,U2XJ0102T,,0.518
U2XJ0103T,NGC1466,56.15229166666666,-71.67778611111112,7,1995-10-22 04:04:17,1995-10-22 04:08:37,260.0,WFPC2 ,PC1-FIX,F555W,5439.0,5897,1996-10-23 13:29:19,U2XJ0103T,,0.518
U2XJ0104T,NGC1466,56.15229166666666,-71.67778611111112,7,1995-10-22 04:11:17,1995-10-22 04:15:37,260.0,WFPC2 ,PC1-FIX,F555W,5439.0,5897,1996-10-23 13:40:33,U2XJ0104T,,0.518
U2XJ0105T,NGC1466,56.15229166666666,-71.67778611111112,7,1995-10-22 04:18:17,1995-10-22 04:34:57,1000.0,WFPC2 ,PC1-FIX,F555W,5439.0,5897,1996-10-23 13:46:22,U2XJ0105T,,0.518
U2XJ0109T,NGC1466,56.152204166666664,-71.67784444444445,7,1995-10-22 05:46:17,1995-10-22 06:02:57,1000.0,WFPC2 ,PC1-FIX,F814W,8012.0,5897,1996-10-23 14:10:41,U2XJ0109T,,0.518
U2XJ0106T,NGC1466,56.152337499999994,-71.67781111111111,7,1995-10-22 04:40:17,1995-10-22 04:56:57,1000.0,WFPC2 ,PC1-FIX,F555W,5439.0,5897,1996-10-23 13:53:59,U2XJ0106T,,0.519
U2XJ0108T,NGC1466,56.152270833333326,-71.67785,7,1995-10-22 05:24:17,1995-10-22 05:40:57,1000.0,WFPC2 ,PC1-FIX,F814W,8012.0,5897,1996-10-23 14:05:40,U2XJ0108T,,0.519
