Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,High-Level Science Products,Ang Sep (')
U26M0101T,NGC121,6.6787920,-71.5325401,21,1994-01-26 23:28:17,1994-01-26 23:38:17,600.000,WFPC2 ,PC1,F450W,4556.000,5475,1995-05-26 00:00:00,U26M0101T,,0.366
U26M0102T,NGC121,6.6787920,-71.5325401,21,1994-01-26 23:42:17,1994-01-26 23:47:17,300.000,WFPC2 ,PC1,F555W,5439.000,5475,1995-05-26 00:00:00,U26M0102T,,0.366
ICB001GEQ,NGC-121,6.7041667,-71.5361111,2,2014-10-16 21:03:29,2014-10-16 21:05:09,100.000,WFC3  ,UVIS2,F814W,8024.105,13435,2015-10-17 02:09:33,ICB001GEQ,,0.545
ICB002040,NGC-121,6.7040560,-71.5357238,2,2014-05-16 19:35:27,2014-05-16 20:36:07,2122.000,WFC3  ,UVIS1,F336W,3354.874,13435,2015-05-17 02:01:20,ICB002040,,0.549
ICB001040,NGC-121,6.7047539,-71.5355935,2,2014-10-16 20:24:55,2014-10-16 21:25:32,2122.000,WFC3  ,UVIS2,F336W,3354.874,13435,2015-10-17 02:13:33,ICB001040,,0.565
ICB002WBQ,NGC-121,6.7052789,-71.5356888,2,2014-05-16 20:14:04,2014-05-16 20:15:44,100.000,WFC3  ,UVIS1,F814W,8024.105,13435,2015-05-16 21:26:41,ICB002WBQ,,0.572
U9YV0J01M,NGC121,6.7119494,-71.5335037,2,2007-11-19 04:32:16,2007-11-19 04:32:46,30.000,WFPC2 ,WFALL-FIX,F555W,5439.000,11218,2008-11-19 20:41:43,U9YV0J01M,,0.738
U9YV0J03M,NGC121,6.7123809,-71.5333619,2,2007-11-19 04:44:16,2007-11-19 04:44:46,30.000,WFPC2 ,WFALL-FIX,F555W,5439.000,11218,2008-11-19 20:43:14,U9YV0J03M,,0.749
U3770501R,NGC121,6.7197327,-71.5299216,3,1999-05-18 17:25:13,1999-05-18 17:31:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:13:07,U3770501R,,0.971
U3770502R,NGC121,6.7197327,-71.5299216,3,1999-05-18 17:34:13,1999-05-18 17:40:53,400.000,WFPC2 ,PC1-FIX,F555W,5439.000,6604,2000-05-19 00:08:18,U3770502R,,0.971
