#@string, string, string, string, string, string, string, string, string, ra, dec, string, string, int, float, float, float, float, float, string, float, string, string, string, string, float,float,float,string,float,float,string
dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance,group,litidx,SimbadName,group1,litidx1,Dataset
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f814w_wf,81.0869500877958,-69.78325503898171,6229,Trauger,3,50109.20782,50109.29023,3900.0,713.510009765625,867.4500122070309,,50475.61119,POLYGON J2000 81.07689558 -69.76938695 81.07692400 -69.75814300 81.01292000 -69.75812600 81.01286900 -69.78026600 81.01311652 -69.78026612 81.01363900 -69.80037100 81.07014399 -69.80019637 81.07015200 -69.80039000 81.13412500 -69.80007200 81.13412106 -69.79997686 81.13330579 -69.78028440 81.13326901 -69.77939521 81.13320900 -69.77794400 81.10063534 -69.77810729 81.10050800 -69.76934300 81.07689558 -69.76938695,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004399686,2014779779,148.475235581063,2.0,2219.0,OGLE-CL LMC 434,0.0,105.0,u2o90108t
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f555w_pc,81.0859565060599,-69.774428599725,6229,Trauger,3,50109.13144,50109.20528,3700.0,472.260009765625,595.0999755859381,,50475.59486000001,POLYGON J2000 81.07139800 -69.77951300 81.10065500 -69.77946000 81.10050800 -69.76934300 81.07124600 -69.76939700 81.07139800 -69.77951300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004399683,2014779776,225.997646243566,2.0,2219.0,OGLE-CL LMC 434,0.0,105.0,u2o90108t
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,HS-275,,hst_06229_01_wfpc2_f814w_pc,81.0859565060599,-69.774428599725,6229,Trauger,3,50109.20782,50109.29023,3900.0,713.510009765625,867.4500122070309,,50475.61119,POLYGON J2000 81.07124600 -69.76939700 81.07139800 -69.77951300 81.10065500 -69.77946000 81.10050800 -69.76934300 81.07124600 -69.76939700,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_06229_01_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004399685,2014779778,225.997646243566,2.0,2219.0,OGLE-CL LMC 434,0.0,105.0,u2o90108t
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f555w_wf,79.93974813074159,-69.703895361262,10903,Rest,3,54239.06269,54239.07611,1000.0,472.260009765625,595.0999755859381,,54239.89709,POLYGON J2000 79.94830200 -69.72047300 79.95248912 -69.70930763 79.97749800 -69.71051700 79.98073606 -69.70243711 80.01280600 -69.70405200 80.02197600 -69.68216100 79.95882600 -69.67897700 79.95879021 -69.67906247 79.90136600 -69.67636400 79.89381555 -69.69571819 79.89325900 -69.69569300 79.88505100 -69.71762100 79.88525050 -69.71763003 79.94154388 -69.72016939 79.94413072 -69.72028564 79.94830200 -69.72047300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004529709,2014909802,1114.71472441105,14.0,2009.0,KMK88 47,1.0,964.0,u9px0904m
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f814w_wf,79.93974813074159,-69.703895361262,10903,Rest,3,54239.1231,54239.13653,1000.0,713.510009765625,867.4500122070309,,54239.89885,POLYGON J2000 79.89381555 -69.69571819 79.89325900 -69.69569300 79.88505100 -69.71762100 79.88525050 -69.71763003 79.94154388 -69.72016939 79.94413072 -69.72028564 79.94830200 -69.72047300 79.95248912 -69.70930763 79.97749800 -69.71051700 79.98073606 -69.70243711 80.01280600 -69.70405200 80.02197600 -69.68216100 79.95882600 -69.67897700 79.95879021 -69.67906247 79.90136600 -69.67636400 79.89381555 -69.69571819,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004529711,2014909804,1114.71472441105,14.0,2009.0,KMK88 47,1.0,964.0,u9px0904m
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f555w_pc,79.9650631522928,-69.7048114387422,10903,Rest,3,54239.06269,54239.07611,1000.0,472.260009765625,595.0999755859381,,54239.89709,POLYGON J2000 79.95263500 -69.69910500 79.94861600 -69.70912000 79.97749800 -69.71051700 79.98151200 -69.70050000 79.95263500 -69.69910500,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004529708,2014909801,1154.4341072759696,14.0,2009.0,KMK88 47,1.0,964.0,u9px0904m
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,2003-LMC-219,,hst_10903_09_wfpc2_f814w_pc,79.9650631522928,-69.7048114387422,10903,Rest,3,54239.1231,54239.13653,1000.0,713.510009765625,867.4500122070309,,54239.89885,POLYGON J2000 79.98151200 -69.70050000 79.95263500 -69.69910500 79.94861600 -69.70912000 79.97749800 -69.71051700 79.98151200 -69.70050000,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_09_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004529710,2014909803,1154.4341072759696,14.0,2009.0,KMK88 47,1.0,964.0,u9px0904m
image,HST,WFPC2/WFC,HLA,F555W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f555w_wf,80.3657585860566,-69.4358923230853,10903,Rest,3,54230.12866,54230.14208,1000.0,472.260009765625,595.0999755859381,,54230.85206000001,POLYGON J2000 80.43719100 -69.43233300 80.43701600 -69.41021200 80.37400000 -69.41027400 80.37400066 -69.41036028 80.31678200 -69.41061100 80.31747899 -69.43013963 80.31692600 -69.43014300 80.31805600 -69.45225200 80.31826968 -69.45225069 80.37431834 -69.45189930 80.37688318 -69.45188279 80.38103200 -69.45185600 80.38046197 -69.44059961 80.40539800 -69.44052400 80.40518985 -69.43236581 80.43719100 -69.43233300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f555w_wf&size=ALL&format=jpeg&output_size=256,2004529715,2014909808,1270.3616344452698,15.0,2092.0,BCD1,2.0,968.0,u9px1004m
image,HST,WFPC2/WFC,HLA,F814W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f814w_wf,80.3657585860566,-69.4358923230853,10903,Rest,3,54230.14602000001,54230.15944,1000.0,713.510009765625,867.4500122070309,,54230.85486,POLYGON J2000 80.31692600 -69.43014300 80.31805600 -69.45225200 80.31826968 -69.45225069 80.37431834 -69.45189930 80.37688318 -69.45188279 80.38103200 -69.45185600 80.38046197 -69.44059961 80.40539800 -69.44052400 80.40518985 -69.43236581 80.43719100 -69.43233300 80.43701600 -69.41021200 80.37400000 -69.41027400 80.37400066 -69.41036028 80.31678200 -69.41061100 80.31747899 -69.43013963 80.31692600 -69.43014300,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f814w_wf&size=ALL&format=jpeg&output_size=256,2004529717,2014909810,1270.3616344452698,15.0,2092.0,BCD1,2.0,968.0,u9px1004m
image,HST,WFPC2/PC,HLA,F555W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f555w_pc,80.39087061318071,-69.43551210541739,10903,Rest,3,54230.12866,54230.14208,1000.0,472.260009765625,595.0999755859381,,54230.85206000001,POLYGON J2000 80.40514000 -69.43041100 80.37635000 -69.43049900 80.37660200 -69.44061100 80.40539800 -69.44052400 80.40514000 -69.43041100,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f555w_pc&size=ALL&format=jpeg&output_size=256,2004529714,2014909807,1290.9892119652302,15.0,2092.0,BCD1,2.0,968.0,u9px1004m
image,HST,WFPC2/PC,HLA,F814W,OPTICAL,2003-LMC-282,,hst_10903_10_wfpc2_f814w_pc,80.39087061318071,-69.43551210541739,10903,Rest,3,54230.14602000001,54230.15944,1000.0,713.510009765625,867.4500122070309,,54230.85486,POLYGON J2000 80.37635000 -69.43049900 80.37660200 -69.44061100 80.40539800 -69.44052400 80.40514000 -69.43041100 80.37635000 -69.43049900,http://hla.stsci.edu/cgi-bin/fitscut.cgi?red=hst_10903_10_wfpc2_f814w_pc&size=ALL&format=jpeg&output_size=256,2004529716,2014909809,1290.9892119652302,15.0,2092.0,BCD1,2.0,968.0,u9px1004m
