dataproduct_type,obs_collection,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,proposal_id,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,s_region,jpegURL,obsid,objID,distance,group,litidx,Datasetml,group1,SimbadName
image,HST,WFPC2/WFC,,F450W,,NGC121,,,6.705,-71.535,5475,,,49378.977981,49378.984925,600.0,,,,,POLYGON J2000 6.6005871883918017 -71.519772918212382 6.6443931658373963 -71.558886039704234 6.7696691672559943 -71.544764235869749 6.7256398191647868 -71.505679940109275 6.6005871883918017 -71.519772918212382,,,,,,,u26m0101t,17,NGC121
image,HST,WFPC2/WFC,,F555W,,NGC121,,,6.705,-71.535,5475,,,49378.987703,49378.991175,300.0,,,,,POLYGON J2000 6.6005728812406446 -71.519770771527263 6.644378845784753 -71.55888389391491 6.7696548360449391 -71.544762092651453 6.7256255008765855 -71.505677795985832 6.6005728812406446 -71.519770771527263,,,,,,,u26m0102t,17,NGC121
image,HST,WFPC2/WFC,,F450W,,NGC330,,,14.075,-72.463889,5475,,,49379.206452,49379.207377,80.0,,,,,POLYGON J2000 13.9600397785103 -72.452675300668375 14.021118804168969 -72.489875253586945 14.14633514492378 -72.471162191359426 14.085062360295209 -72.434000623949501 13.9600397785103 -72.452675300668375,,,,,,,u26m0b01t,3,NGC330
image,HST,WFPC2/WFC,,F555W,,NGC330,,,14.075,-72.463889,5475,,,49379.209229,49379.209692000004,40.0,,,,,POLYGON J2000 13.960024000829597 -72.452673704569435 14.021103012149394 -72.4898736588205 14.146319346393247 -72.471160599331824 14.085046576093637 -72.433999030580523 13.960024000829597 -72.452673704569435,,,,,,,u26m0b02t,3,NGC330
image,HST,WFPC2/WFC,,F606W,,PARALLEL-FIELD,,,10.097760000000001,-72.731748,5091,,,49841.969642000004,49841.983531,1200.0,,,,,POLYGON J2000 10.163090081656096 -72.712545457198246 10.018786003042921 -72.711839726711034 10.01619838856457 -72.755277376468797 10.160854788956367 -72.755984830483257 10.163090081656096 -72.712545457198246,,,,,,,u27z6701t,12,Kron16
image,HST,WFPC2/WFC,,F814W,,PARALLEL-FIELD,,,10.097760000000001,-72.731748,5091,,,49842.040475,49842.054363999996,1200.0,,,,,POLYGON J2000 10.163114492249306 -72.7125448822012 10.018716960662326 -72.711838665241686 10.016129131858563 -72.75527631386764 10.160879213361479 -72.755984255546707 10.163114492249306 -72.7125448822012,,,,,,,u27z6702t,12,Kron16
image,HST,WFPC2/WFC,,F336W,,NGC346,,,14.75875,-72.175278,5678,,,49623.466162,49623.466209,4.0,,,,,POLYGON J2000 14.768767232482711 -72.191390444305625 14.848023077960741 -72.155990478432912 14.73118012848154 -72.131418113621677 14.65180579318208 -72.166770888709365 14.768767232482711 -72.191390444305625,,,,,,,u2i10101t,10,SSN2007Sc12
image,HST,WFPC2/WFC,,F336W,,NGC346,,,14.75875,-72.175278,5678,,,49623.467551,49623.467598,4.0,,,,,POLYGON J2000 14.768767232482711 -72.191390444305625 14.848023077960741 -72.155990478432912 14.73118012848154 -72.131418113621677 14.65180579318208 -72.166770888709365 14.768767232482711 -72.191390444305625,,,,,,,u2i10102t,10,SSN2007Sc12
image,HST,WFPC2/WFC,,F336W,,NGC346,,,14.75875,-72.175278,5678,,,49623.46894,49623.469033,8.0,,,,,POLYGON J2000 14.768767232482711 -72.191390444305625 14.848023077960741 -72.155990478432912 14.73118012848154 -72.131418113621677 14.65180579318208 -72.166770888709365 14.768767232482711 -72.191390444305625,,,,,,,u2i10103t,10,SSN2007Sc12
image,HST,WFPC2/WFC,,F439W,,NGC346,,,14.75875,-72.175278,5678,,,49623.471023000006,49623.47107,4.0,,,,,POLYGON J2000 14.768772595604167 -72.191397344351373 14.848028468985106 -72.155997378107145 14.731110866314733 -72.131409280379458 14.6517364277544 -72.166762025643251 14.768772595604167 -72.191397344351373,,,,,,,u2i10104t,10,SSN2007Sc12
image,HST,WFPC2/WFC,,F439W,,NGC346,,,14.75875,-72.175278,5678,,,49623.472412,49623.472459,4.0,,,,,POLYGON J2000 14.768772595604167 -72.191397344351373 14.848028468985106 -72.155997378107145 14.731110866314733 -72.131409280379458 14.6517364277544 -72.166762025643251 14.768772595604167 -72.191397344351373,,,,,,,u2i10105t,10,SSN2007Sc12
image,HST,WFPC2/WFC,,F439W,,NGC346,,,14.75875,-72.175278,5678,,,49623.473801,49623.473894,8.0,,,,,POLYGON J2000 14.768772595604167 -72.191397344351373 14.848028468985106 -72.155997378107145 14.731110866314733 -72.131409280379458 14.6517364277544 -72.166762025643251 14.768772595604167 -72.191397344351373,,,,,,,u2i10106t,10,SSN2007Sc12
image,HST,WFPC2/WFC,,F555W,,BRUCK-83,,,13.876833,-73.072861,6229,,,49910.173809,49910.177281000004,300.0,,,,,POLYGON J2000 14.007281885497436 -73.072501541663698 13.903069874852076 -73.042177111219956 13.797545117912751 -73.072865684566551 13.90175701965817 -73.103243576744106 14.007281885497436 -73.072501541663698,,,,,,,u2o90301t,1.0,Bruck83
